v001,currentlymarried,fp_cruse_mod,
1,13,12,0.923076923
2,11,6,0.545454545
3,7,3,0.428571429
4,13,8,0.615384615
5,13,9,0.692307692
6,13,6,0.461538462
7,5,3,0.6
8,12,4,0.333333333
9,11,5,0.454545455
10,9,6,0.666666667
11,16,13,0.8125
12,20,13,0.65
13,14,9,0.642857143
14,6,3,0.5
15,13,7,0.538461538
16,16,5,0.3125
17,10,6,0.6
18,10,5,0.5
19,15,6,0.4
20,11,4,0.363636364
21,10,6,0.6
22,8,2,0.25
23,12,4,0.333333333
24,8,3,0.375
25,13,9,0.692307692
26,5,1,0.2
27,10,6,0.6
28,18,9,0.5
29,15,1,0.066666667
30,11,4,0.363636364
31,3,1,0.333333333
32,9,3,0.333333333
33,11,4,0.363636364
34,9,5,0.555555556
35,9,3,0.333333333
36,16,7,0.4375
37,11,4,0.363636364
38,13,10,0.769230769
39,10,5,0.5
40,16,9,0.5625
41,16,10,0.625
42,13,7,0.538461538
43,18,4,0.222222222
44,17,8,0.470588235
45,8,4,0.5
46,17,3,0.176470588
47,12,1,0.083333333
48,18,6,0.333333333
49,5,2,0.4
50,15,3,0.2
51,12,6,0.5
52,14,4,0.285714286
53,16,9,0.5625
54,14,4,0.285714286
55,14,3,0.214285714
56,17,9,0.529411765
57,6,5,0.833333333
58,8,1,0.125
59,10,6,0.6
60,11,5,0.454545455
61,7,3,0.428571429
62,11,6,0.545454545
63,14,9,0.642857143
64,9,2,0.222222222
65,15,7,0.466666667
66,12,3,0.25
67,5,1,0.2
68,15,3,0.2
69,19,9,0.473684211
70,9,1,0.111111111
71,10,6,0.6
72,19,4,0.210526316
73,6,2,0.333333333
74,10,4,0.4
75,12,5,0.416666667
76,14,5,0.357142857
77,11,3,0.272727273
78,11,7,0.636363636
79,12,7,0.583333333
80,6,4,0.666666667
81,7,1,0.142857143
82,15,10,0.666666667
83,7,2,0.285714286
84,12,7,0.583333333
85,13,10,0.769230769
86,4,0,0
87,8,3,0.375
88,10,2,0.2
89,13,5,0.384615385
90,8,3,0.375
91,16,10,0.625
92,10,6,0.6
93,7,6,0.857142857
94,8,4,0.5
95,5,4,0.8
96,11,3,0.272727273
97,16,5,0.3125
98,14,10,0.714285714
99,9,4,0.444444444
100,11,3,0.272727273
101,15,9,0.6
102,11,6,0.545454545
103,8,8,1
104,12,9,0.75
105,13,5,0.384615385
106,5,2,0.4
107,11,7,0.636363636
108,6,2,0.333333333
109,13,6,0.461538462
110,9,4,0.444444444
111,13,6,0.461538462
112,17,2,0.117647059
113,15,0,0
114,10,5,0.5
115,12,1,0.083333333
116,15,1,0.066666667
117,11,0,0
118,16,0,0
119,10,3,0.3
120,15,3,0.2
121,13,2,0.153846154
122,17,2,0.117647059
123,11,5,0.454545455
124,16,0,0
125,18,1,0.055555556
126,12,7,0.583333333
127,17,5,0.294117647
