hv001,Relevantpop,improvedwater,
173,25,22,0.88
174,25,22,0.88
175,23,17,0.739130435
176,25,22,0.88
177,21,8,0.380952381
178,24,3,0.125
179,24,2,0.083333333
180,22,12,0.545454545
181,18,18,1
182,24,12,0.5
183,23,22,0.956521739
184,24,15,0.625
185,24,15,0.625
186,24,12,0.5
187,22,21,0.954545455
188,23,17,0.739130435
189,22,13,0.590909091
190,21,10,0.476190476
191,22,21,0.954545455
192,25,19,0.76
193,25,22,0.88
194,22,22,1
195,20,19,0.95
196,14,14,1
197,25,23,0.92
198,21,21,1
199,25,25,1
200,20,20,1
201,23,23,1
202,23,19,0.826086957
203,20,20,1
204,21,21,1
205,22,22,1
206,17,17,1
207,17,17,1
208,21,20,0.952380952
209,19,19,1
210,18,18,1
211,22,22,1
212,21,20,0.952380952
213,25,8,0.32
214,25,17,0.68
215,24,1,0.041666667
216,22,22,1
217,20,20,1
218,21,21,1
219,9,9,1
220,22,22,1
221,24,24,1
222,21,21,1
223,21,21,1
224,23,23,1
225,21,21,1
226,22,22,1
227,23,21,0.913043478
228,25,16,0.64
229,25,21,0.84
230,23,23,1
231,24,22,0.916666667
232,23,22,0.956521739
233,21,21,1
234,22,22,1
235,24,24,1
236,23,23,1
237,21,21,1
238,23,23,1
239,22,22,1
240,24,23,0.958333333
241,22,20,0.909090909
242,23,23,1
243,24,24,1
244,23,23,1
245,23,23,1
246,20,20,1
247,24,24,1
248,22,22,1
249,20,20,1
250,24,24,1
251,21,21,1
252,21,21,1
253,23,23,1
254,23,23,1
255,21,21,1
256,23,23,1
257,23,23,1
258,23,23,1
259,23,23,1
260,21,21,1
261,22,22,1
262,23,23,1
263,21,21,1
264,24,24,1
265,22,22,1
266,23,23,1
267,22,22,1
268,24,24,1
269,21,0,0
270,25,5,0.2
271,23,23,1
272,23,21,0.913043478
273,20,17,0.85
274,25,25,1
275,23,13,0.565217391
276,25,24,0.96
277,21,1,0.047619048
278,25,24,0.96
279,24,21,0.875
280,24,1,0.041666667
281,25,1,0.04
282,25,7,0.28
283,22,21,0.954545455
284,22,16,0.727272727
285,18,18,1
286,23,23,1
287,17,17,1
288,21,21,1
289,21,18,0.857142857
290,24,22,0.916666667
291,21,21,1
292,23,21,0.913043478
293,22,2,0.090909091
294,23,11,0.47826087
295,22,8,0.363636364
296,22,1,0.045454545
297,22,0,0
298,22,21,0.954545455
299,24,24,1
300,25,4,0.16
301,23,12,0.52173913
302,20,19,0.95
303,24,24,1
304,22,22,1
305,25,24,0.96
306,25,25,1
307,20,20,1
308,23,6,0.260869565
309,20,20,1
310,23,23,1
311,25,24,0.96
312,24,1,0.041666667
313,25,25,1
314,24,17,0.708333333
315,20,20,1
316,23,11,0.47826087
317,25,9,0.36
318,23,23,1
319,25,25,1
320,20,20,1
321,22,19,0.863636364
322,24,3,0.125
323,24,24,1
324,25,25,1
325,22,22,1
326,23,23,1
327,24,24,1
328,25,25,1
329,25,25,1
330,23,23,1
331,24,21,0.875
332,25,17,0.68
333,22,8,0.363636364
334,24,24,1
335,20,2,0.1
336,24,0,0
338,23,3,0.130434783
339,22,0,0
340,21,20,0.952380952
341,25,0,0
342,20,13,0.65
343,24,19,0.791666667
344,23,23,1
345,23,3,0.130434783
346,24,0,0
347,21,9,0.428571429
348,24,20,0.833333333
349,20,15,0.75
350,23,17,0.739130435
351,24,22,0.916666667
352,23,20,0.869565217
353,25,23,0.92
354,24,6,0.25
355,24,0,0
356,24,23,0.958333333
357,25,23,0.92
358,25,25,1
359,24,24,1
360,25,18,0.72
361,24,22,0.916666667
362,19,1,0.052631579
363,24,7,0.291666667
364,23,9,0.391304348
365,23,2,0.086956522
366,20,13,0.65
367,20,15,0.75
368,21,21,1
369,21,21,1
370,21,19,0.904761905
371,22,15,0.681818182
372,22,19,0.863636364
373,23,15,0.652173913
374,22,13,0.590909091
375,23,23,1
376,22,20,0.909090909
377,21,20,0.952380952
378,17,16,0.941176471
379,24,23,0.958333333
380,20,17,0.85
381,19,9,0.473684211
382,23,4,0.173913043
383,24,14,0.583333333
384,23,23,1
385,22,21,0.954545455
386,15,3,0.2
387,21,19,0.904761905
388,23,22,0.956521739
389,20,17,0.85
390,23,22,0.956521739
391,24,22,0.916666667
392,22,17,0.772727273
393,25,22,0.88
394,24,2,0.083333333
395,25,5,0.2
396,23,0,0
397,23,23,1
398,19,0,0
399,24,24,1
400,20,20,1
401,25,24,0.96
402,22,22,1
403,24,24,1
404,22,19,0.863636364
405,21,19,0.904761905
406,23,21,0.913043478
407,21,21,1
408,22,21,0.954545455
409,21,14,0.666666667
410,23,23,1
411,22,16,0.727272727
412,22,1,0.045454545
413,23,13,0.565217391
414,24,5,0.208333333
415,24,15,0.625
416,24,19,0.791666667
417,25,6,0.24
418,24,11,0.458333333
419,25,9,0.36
420,25,21,0.84
421,24,23,0.958333333
422,22,20,0.909090909
423,25,25,1
424,25,25,1
425,24,22,0.916666667
426,20,20,1
427,24,22,0.916666667
428,25,14,0.56
429,24,24,1
430,25,24,0.96
431,25,25,1
432,23,22,0.956521739
433,25,25,1
434,25,25,1
435,22,1,0.045454545
436,23,0,0
437,22,8,0.363636364
438,24,4,0.166666667
439,23,2,0.086956522
440,20,1,0.05
441,21,9,0.428571429
442,15,2,0.133333333
443,24,17,0.708333333
444,16,14,0.875
445,23,16,0.695652174
446,23,5,0.217391304
447,22,0,0
448,24,23,0.958333333
449,22,16,0.727272727
450,24,14,0.583333333
451,23,13,0.565217391
452,17,0,0
453,22,17,0.772727273
454,21,18,0.857142857
455,22,11,0.5
456,22,18,0.818181818
457,21,16,0.761904762
458,23,17,0.739130435
459,20,19,0.95
460,25,16,0.64
461,21,5,0.238095238
462,22,13,0.590909091
463,21,21,1
464,24,23,0.958333333
465,23,23,1
466,25,25,1
467,23,23,1
468,22,22,1
469,24,18,0.75
470,23,17,0.739130435
471,25,6,0.24
472,23,0,0
473,24,14,0.583333333
474,23,23,1
475,24,24,1
476,24,22,0.916666667
477,25,24,0.96
478,24,0,0
479,25,0,0
480,23,4,0.173913043
481,24,24,1
482,24,20,0.833333333
483,23,22,0.956521739
484,22,22,1
485,24,24,1
486,24,22,0.916666667
487,20,2,0.1
489,22,21,0.954545455
490,23,21,0.913043478
491,24,24,1
492,24,24,1
493,25,24,0.96
494,22,22,1
495,24,22,0.916666667
496,25,24,0.96
497,22,16,0.727272727
498,24,5,0.208333333
499,22,19,0.863636364
500,24,23,0.958333333
501,23,19,0.826086957
502,22,21,0.954545455
503,23,14,0.608695652
504,23,18,0.782608696
505,23,22,0.956521739
506,23,22,0.956521739
507,21,19,0.904761905
508,23,22,0.956521739
509,22,20,0.909090909
510,24,24,1
511,22,22,1
512,21,21,1
513,23,10,0.434782609
514,25,13,0.52
515,24,16,0.666666667
516,25,16,0.64
517,25,14,0.56
518,25,12,0.48
519,23,11,0.47826087
520,22,17,0.772727273
521,22,3,0.136363636
522,22,20,0.909090909
523,24,11,0.458333333
524,24,11,0.458333333
525,20,1,0.05
526,25,13,0.52
527,20,10,0.5
528,22,18,0.818181818
529,20,9,0.45
530,24,21,0.875
531,21,12,0.571428571
532,20,18,0.9
533,24,7,0.291666667
534,20,16,0.8
535,23,2,0.086956522
536,19,16,0.842105263
537,24,12,0.5
538,25,3,0.12
539,24,2,0.083333333
540,24,10,0.416666667
541,23,6,0.260869565
542,25,17,0.68
543,23,3,0.130434783
544,25,0,0
545,25,23,0.92
546,23,1,0.043478261
547,21,13,0.619047619
548,23,22,0.956521739
549,24,20,0.833333333
550,23,20,0.869565217
551,24,24,1
552,24,17,0.708333333
553,24,16,0.666666667
554,23,18,0.782608696
555,20,19,0.95
556,25,20,0.8
557,23,2,0.086956522
558,24,16,0.666666667
559,22,16,0.727272727
560,23,1,0.043478261
561,24,0,0
562,25,6,0.24
563,24,19,0.791666667
564,25,22,0.88
565,25,25,1
566,23,23,1
567,24,24,1
568,25,24,0.96
569,23,21,0.913043478
570,23,14,0.608695652
571,24,21,0.875
572,24,21,0.875
573,24,23,0.958333333
574,24,20,0.833333333
575,25,22,0.88
576,24,15,0.625
577,23,13,0.565217391
578,25,7,0.28
579,24,13,0.541666667
580,24,13,0.541666667
581,25,23,0.92
582,24,11,0.458333333
583,25,14,0.56
584,24,11,0.458333333
585,25,21,0.84
586,25,16,0.64
587,24,13,0.541666667
588,25,18,0.72
589,25,0,0
590,25,16,0.64
591,25,4,0.16
592,25,5,0.2
593,25,5,0.2
594,25,1,0.04
595,24,19,0.791666667
596,20,1,0.05
597,24,5,0.208333333
598,25,7,0.28
599,22,22,1
600,21,19,0.904761905
601,24,12,0.5
602,25,21,0.84
603,24,1,0.041666667
604,24,24,1
605,24,23,0.958333333
606,25,20,0.8
607,24,15,0.625
608,25,5,0.2
609,24,19,0.791666667
610,25,25,1
611,23,2,0.086956522
612,23,16,0.695652174
613,24,13,0.541666667
614,23,0,0
615,25,0,0
616,24,1,0.041666667
617,24,2,0.083333333
618,25,25,1
619,22,22,1
620,25,25,1
621,25,0,0
622,24,4,0.166666667
623,25,24,0.96
624,25,16,0.64
625,25,0,0
626,24,1,0.041666667
627,24,0,0
628,25,0,0
629,24,6,0.25
630,18,17,0.944444444
631,24,24,1
632,23,23,1
633,24,24,1
634,23,23,1
635,24,8,0.333333333
636,24,18,0.75
637,23,7,0.304347826
638,25,6,0.24
639,24,24,1
640,20,16,0.8
641,18,18,1
642,24,9,0.375
643,25,13,0.52
644,25,2,0.08
645,23,3,0.130434783
646,24,10,0.416666667
647,23,6,0.260869565
648,24,11,0.458333333
649,23,20,0.869565217
650,24,16,0.666666667
651,23,13,0.565217391
652,24,24,1
653,25,4,0.16
654,24,0,0
655,23,1,0.043478261
656,22,1,0.045454545
657,24,2,0.083333333
658,25,18,0.72
659,24,1,0.041666667
660,22,11,0.5
661,25,18,0.72
662,25,16,0.64
663,20,20,1
664,25,19,0.76
665,24,7,0.291666667
666,25,16,0.64
667,23,9,0.391304348
668,24,0,0
669,24,23,0.958333333
670,23,8,0.347826087
671,21,1,0.047619048
672,24,20,0.833333333
673,24,8,0.333333333
674,25,24,0.96
675,23,3,0.130434783
676,25,0,0
677,25,1,0.04
678,24,1,0.041666667
679,25,0,0
680,24,12,0.5
681,25,13,0.52
682,25,2,0.08
683,23,21,0.913043478
684,21,19,0.904761905
685,23,20,0.869565217
686,22,11,0.5
687,23,23,1
688,24,24,1
689,23,23,1
690,25,24,0.96
691,24,8,0.333333333
692,22,22,1
693,25,19,0.76
694,25,25,1
695,24,23,0.958333333
696,24,19,0.791666667
697,25,23,0.92
698,21,21,1
699,22,17,0.772727273
700,21,21,1
701,20,20,1
702,24,24,1
703,21,21,1
704,23,23,1
705,23,23,1
706,21,21,1
707,20,20,1
708,24,24,1
709,20,0,0
710,24,22,0.916666667
712,12,9,0.75
713,15,0,0
714,17,8,0.470588235
715,20,0,0
716,19,4,0.210526316
717,20,4,0.2
718,22,20,0.909090909
719,22,22,1
720,21,21,1
721,21,21,1
722,22,22,1
724,22,21,0.954545455
726,16,16,1
727,22,0,0
728,21,1,0.047619048
729,23,1,0.043478261
730,16,16,1
731,20,20,1
732,22,1,0.045454545
733,9,1,0.111111111
734,23,23,1
735,21,21,1
736,22,22,1
737,24,24,1
738,21,20,0.952380952
739,22,22,1
741,18,0,0
742,22,21,0.954545455
743,19,8,0.421052632
744,23,4,0.173913043
745,23,0,0
746,16,16,1
747,21,5,0.238095238
748,21,1,0.047619048
749,20,7,0.35
750,23,6,0.260869565
751,21,8,0.380952381
752,20,18,0.9
753,22,8,0.363636364
754,19,1,0.052631579
755,25,11,0.44
756,21,4,0.19047619
757,21,13,0.619047619
760,17,17,1
761,22,6,0.272727273
762,19,19,1
764,22,14,0.636363636
766,20,20,1
768,18,14,0.777777778
769,17,15,0.882352941
770,18,4,0.222222222
771,21,9,0.428571429
772,17,3,0.176470588
773,18,16,0.888888889
774,22,17,0.772727273
775,19,19,1
776,20,17,0.85
777,5,3,0.6
778,23,21,0.913043478
779,23,5,0.217391304
780,12,0,0
781,20,20,1
782,5,4,0.8
783,23,23,1
784,24,24,1
785,23,23,1
786,12,7,0.583333333
787,9,7,0.777777778
788,25,11,0.44
789,20,20,1
790,21,21,1
791,19,19,1
792,25,24,0.96
793,25,25,1
794,24,0,0
795,23,1,0.043478261
796,24,1,0.041666667
797,24,0,0
798,19,0,0
799,24,24,1
801,24,1,0.041666667
802,25,19,0.76
803,23,18,0.782608696
804,24,11,0.458333333
805,23,19,0.826086957
806,21,21,1
807,24,10,0.416666667
808,24,10,0.416666667
809,25,9,0.36
810,23,19,0.826086957
811,24,24,1
812,25,22,0.88
813,23,23,1
814,23,14,0.608695652
815,24,18,0.75
816,24,24,1
817,25,21,0.84
818,25,20,0.8
819,20,5,0.25
820,22,1,0.045454545
821,25,13,0.52
822,23,23,1
823,22,22,1
824,25,25,1
825,23,16,0.695652174
826,22,18,0.818181818
827,25,4,0.16
828,25,14,0.56
829,22,4,0.181818182
830,25,19,0.76
831,18,18,1
832,25,21,0.84
833,24,4,0.166666667
834,25,24,0.96
835,25,1,0.04
836,22,22,1
837,22,22,1
838,23,23,1
839,24,24,1
840,24,24,1
841,24,24,1
842,22,22,1
843,24,23,0.958333333
844,23,20,0.869565217
845,20,20,1
846,20,20,1
847,20,11,0.55
848,23,23,1
849,24,20,0.833333333
850,24,24,1
851,23,1,0.043478261
852,25,25,1
853,24,1,0.041666667
854,22,15,0.681818182
855,25,6,0.24
856,24,9,0.375
857,23,15,0.652173913
858,22,1,0.045454545
859,23,16,0.695652174
860,24,24,1
861,22,3,0.136363636
862,23,12,0.52173913
863,25,0,0
864,24,6,0.25
865,23,15,0.652173913
866,21,13,0.619047619
867,24,17,0.708333333
868,21,19,0.904761905
869,23,3,0.130434783
870,22,17,0.772727273
871,25,25,1
872,25,3,0.12
873,25,21,0.84
874,20,19,0.95
875,23,5,0.217391304
876,25,2,0.08
877,25,4,0.16
878,24,2,0.083333333
879,22,1,0.045454545
880,25,3,0.12
881,25,2,0.08
882,20,5,0.25
883,23,12,0.52173913
884,25,4,0.16
885,25,11,0.44
886,23,0,0
887,24,18,0.75
888,25,8,0.32
889,17,3,0.176470588
890,25,17,0.68
891,25,14,0.56
892,25,3,0.12
893,20,15,0.75
894,24,8,0.333333333
895,20,15,0.75
896,25,12,0.48
897,20,4,0.2
898,21,6,0.285714286
899,24,1,0.041666667
900,21,5,0.238095238
901,25,5,0.2
902,23,18,0.782608696
903,25,4,0.16
904,25,5,0.2
905,25,2,0.08
906,24,15,0.625
907,25,25,1
908,25,25,1
909,23,23,1
910,21,17,0.80952381
911,24,23,0.958333333
912,24,21,0.875
913,24,5,0.208333333
914,25,10,0.4
915,22,6,0.272727273
916,24,8,0.333333333
917,23,14,0.608695652
918,25,13,0.52
919,25,10,0.4
920,22,7,0.318181818
921,22,8,0.363636364
922,23,15,0.652173913
923,25,25,1
924,23,15,0.652173913
925,23,13,0.565217391
926,23,0,0
927,23,13,0.565217391
928,23,4,0.173913043
929,21,10,0.476190476
930,23,11,0.47826087
931,23,8,0.347826087
932,25,3,0.12
933,25,12,0.48
934,22,18,0.818181818
935,24,20,0.833333333
936,24,3,0.125
937,23,23,1
938,25,17,0.68
939,23,12,0.52173913
940,25,25,1
941,18,17,0.944444444
942,19,19,1
943,25,25,1
944,25,25,1
945,23,19,0.826086957
946,25,25,1
947,25,3,0.12
948,25,25,1
949,23,22,0.956521739
950,24,24,1
951,23,22,0.956521739
952,21,20,0.952380952
953,25,25,1
954,25,25,1
955,25,25,1
956,25,25,1
957,24,14,0.583333333
958,17,17,1
959,22,22,1
960,23,23,1
961,25,25,1
962,25,25,1
963,25,25,1
964,25,25,1
965,25,23,0.92
966,21,21,1
967,25,7,0.28
968,25,21,0.84
969,23,3,0.130434783
970,22,22,1
971,25,25,1
972,22,21,0.954545455
973,22,22,1
974,23,23,1
975,25,18,0.72
976,23,23,1
977,22,14,0.636363636
978,19,19,1
979,22,3,0.136363636
980,22,6,0.272727273
981,22,20,0.909090909
982,25,19,0.76
983,22,7,0.318181818
984,22,14,0.636363636
985,24,23,0.958333333
986,22,2,0.090909091
987,21,9,0.428571429
988,22,9,0.409090909
989,20,19,0.95
990,23,19,0.826086957
991,24,13,0.541666667
992,24,19,0.791666667
993,21,6,0.285714286
994,22,3,0.136363636
995,23,10,0.434782609
996,23,7,0.304347826
997,21,18,0.857142857
998,22,17,0.772727273
999,19,14,0.736842105
1000,25,14,0.56
1001,23,21,0.913043478
1002,24,23,0.958333333
1003,24,24,1
1004,19,16,0.842105263
1005,23,20,0.869565217
1006,22,14,0.636363636
1007,22,9,0.409090909
1008,23,12,0.52173913
1009,21,17,0.80952381
1010,23,23,1
1011,18,5,0.277777778
1012,22,19,0.863636364
1013,25,5,0.2
1014,24,8,0.333333333
1015,23,0,0
1016,17,12,0.705882353
1017,19,2,0.105263158
1018,24,2,0.083333333
1019,22,0,0
1020,24,0,0
1021,23,19,0.826086957
1022,22,4,0.181818182
1023,17,1,0.058823529
1024,22,17,0.772727273
1025,22,0,0
1026,11,2,0.181818182
1027,23,23,1
1028,24,0,0
1029,23,20,0.869565217
1030,24,16,0.666666667
1031,22,20,0.909090909
1032,24,21,0.875
1034,25,4,0.16
1035,24,0,0
1036,21,12,0.571428571
1037,24,24,1
1038,24,24,1
1039,24,24,1
1040,25,5,0.2
1041,23,0,0
1042,22,8,0.363636364
1043,22,19,0.863636364
1044,23,4,0.173913043
1045,20,15,0.75
1046,22,4,0.181818182
1047,19,12,0.631578947
1048,24,6,0.25
1049,23,15,0.652173913
1050,22,16,0.727272727
1051,23,8,0.347826087
1052,22,14,0.636363636
1053,22,15,0.681818182
1054,22,12,0.545454545
1055,25,3,0.12
1056,23,7,0.304347826
1058,20,7,0.35
1059,23,1,0.043478261
1060,22,9,0.409090909
1061,13,0,0
1062,25,8,0.32
1063,22,5,0.227272727
1064,24,19,0.791666667
1065,24,10,0.416666667
1067,22,1,0.045454545
1068,23,3,0.130434783
1069,19,16,0.842105263
1070,24,5,0.208333333
1071,21,3,0.142857143
1072,15,0,0
1073,20,19,0.95
1074,23,23,1
1075,20,20,1
1076,24,15,0.625
1077,22,22,1
1078,25,1,0.04
1079,20,20,1
1080,25,1,0.04
1081,23,8,0.347826087
1082,24,3,0.125
1083,25,16,0.64
1084,25,12,0.48
1085,23,0,0
1086,23,0,0
1087,22,0,0
1088,23,18,0.782608696
1089,25,23,0.92
1090,24,21,0.875
1091,20,0,0
1092,22,9,0.409090909
1093,17,0,0
1094,23,0,0
1095,20,0,0
1096,25,25,1
1097,20,2,0.1
1098,14,14,1
1099,23,5,0.217391304
1100,23,14,0.608695652
1101,21,3,0.142857143
1103,23,22,0.956521739
1104,24,24,1
1105,24,22,0.916666667
1106,23,22,0.956521739
1107,24,24,1
1108,23,20,0.869565217
1109,24,23,0.958333333
1110,23,23,1
1111,23,21,0.913043478
1112,23,23,1
1113,24,23,0.958333333
1114,25,25,1
1115,24,20,0.833333333
1116,25,20,0.8
1117,25,23,0.92
1118,24,23,0.958333333
1119,24,23,0.958333333
1120,24,22,0.916666667
1121,21,19,0.904761905
1122,24,22,0.916666667
1123,25,24,0.96
1124,23,11,0.47826087
1125,23,19,0.826086957
1126,23,12,0.52173913
1127,24,15,0.625
1128,22,19,0.863636364
1129,24,15,0.625
1130,23,22,0.956521739
1131,23,14,0.608695652
1132,23,13,0.565217391
1133,24,6,0.25
1134,25,19,0.76
1135,20,19,0.95
1136,24,18,0.75
1137,25,16,0.64
1138,24,19,0.791666667
1139,22,4,0.181818182
1140,12,0,0
1141,22,0,0
1142,21,21,1
1143,21,20,0.952380952
1144,21,16,0.761904762
1145,22,13,0.590909091
1146,24,15,0.625
1147,23,20,0.869565217
1148,24,18,0.75
1149,22,0,0
1150,25,8,0.32
1151,25,0,0
1152,11,1,0.090909091
1153,23,1,0.043478261
1154,23,5,0.217391304
1155,22,0,0
1156,16,0,0
1157,22,2,0.090909091
1158,21,1,0.047619048
1159,16,0,0
1160,18,0,0
1161,23,10,0.434782609
1162,24,14,0.583333333
1163,23,20,0.869565217
1164,23,12,0.52173913
1165,22,22,1
1166,24,17,0.708333333
1167,23,18,0.782608696
1168,23,12,0.52173913
1169,25,17,0.68
1170,25,5,0.2
1171,24,12,0.5
1172,25,12,0.48
1173,24,24,1
1174,25,24,0.96
1175,25,15,0.6
1176,24,9,0.375
1177,22,18,0.818181818
1178,23,23,1
1179,22,22,1
1180,22,21,0.954545455
1181,23,23,1
1182,25,24,0.96
1183,23,18,0.782608696
1184,22,12,0.545454545
1185,24,18,0.75
1186,23,12,0.52173913
1187,23,8,0.347826087
1188,24,24,1
1189,24,24,1
1190,21,12,0.571428571
1191,22,12,0.545454545
1192,24,9,0.375
1193,21,21,1
1194,24,24,1
1195,25,16,0.64
1196,22,11,0.5
1197,24,12,0.5
1198,25,12,0.48
1199,23,8,0.347826087
1200,23,16,0.695652174
1201,24,24,1
1202,23,23,1
1203,24,23,0.958333333
1204,24,24,1
1205,22,22,1
1206,24,11,0.458333333
1207,9,0,0
1208,24,6,0.25
1209,25,21,0.84
1210,25,18,0.72
1212,25,0,0
1213,25,21,0.84
1214,25,11,0.44
1215,24,2,0.083333333
1216,23,23,1
1217,25,8,0.32
1218,25,4,0.16
1219,12,0,0
1220,25,1,0.04
1221,25,9,0.36
1222,22,18,0.818181818
1223,23,9,0.391304348
1224,24,20,0.833333333
1225,25,25,1
1226,25,24,0.96
1227,22,21,0.954545455
1228,24,22,0.916666667
1229,25,15,0.6
1230,25,3,0.12
1231,22,12,0.545454545
1232,25,16,0.64
1233,23,20,0.869565217
1234,23,17,0.739130435
1235,24,10,0.416666667
1236,25,21,0.84
1237,25,24,0.96
1238,25,13,0.52
1239,24,13,0.541666667
1240,24,13,0.541666667
1241,21,8,0.380952381
1242,25,17,0.68
1243,24,22,0.916666667
1244,23,23,1
1245,22,22,1
1246,24,11,0.458333333
1247,22,13,0.590909091
1248,24,24,1
1249,22,17,0.772727273
1250,22,6,0.272727273
1251,23,8,0.347826087
1252,20,9,0.45
1253,23,11,0.47826087
1254,24,17,0.708333333
1255,24,16,0.666666667
1256,23,15,0.652173913
1257,24,24,1
1258,24,24,1
1259,23,17,0.739130435
1260,24,22,0.916666667
1261,24,20,0.833333333
1262,25,16,0.64
1263,24,20,0.833333333
1264,23,13,0.565217391
1265,25,7,0.28
1266,23,17,0.739130435
1267,25,12,0.48
1268,24,7,0.291666667
1269,25,25,1
1270,25,9,0.36
1272,22,17,0.772727273
1273,23,22,0.956521739
1274,23,23,1
1275,22,18,0.818181818
1276,25,25,1
1277,24,24,1
1278,25,19,0.76
1279,25,20,0.8
1280,23,23,1
1281,23,23,1
1282,25,25,1
1283,24,24,1
1284,24,24,1
1285,24,24,1
1286,21,18,0.857142857
1287,24,23,0.958333333
1288,25,25,1
1289,25,18,0.72
1290,25,25,1
1291,24,11,0.458333333
1292,24,22,0.916666667
1293,21,0,0
1294,24,9,0.375
1295,23,11,0.47826087
1296,25,7,0.28
1297,25,7,0.28
1298,23,0,0
1299,25,9,0.36
1300,24,13,0.541666667
1301,25,15,0.6
1302,24,12,0.5
1303,25,24,0.96
1304,24,24,1
1305,22,21,0.954545455
1306,24,24,1
1307,23,23,1
1308,24,24,1
1309,24,24,1
1310,22,19,0.863636364
1311,24,23,0.958333333
1312,24,23,0.958333333
1313,20,19,0.95
1314,23,10,0.434782609
1315,25,23,0.92
1316,25,20,0.8
1317,23,16,0.695652174
1318,24,19,0.791666667
1319,25,7,0.28
1320,25,22,0.88
1321,25,15,0.6
1322,25,24,0.96
1323,24,20,0.833333333
1324,25,23,0.92
1325,25,25,1
1326,23,23,1
1327,24,9,0.375
1328,23,23,1
1329,25,19,0.76
1330,24,24,1
1331,25,5,0.2
1332,20,10,0.5
1333,22,16,0.727272727
1334,23,7,0.304347826
1335,24,24,1
1336,25,19,0.76
1337,25,23,0.92
1338,24,20,0.833333333
1339,25,23,0.92
1340,23,3,0.130434783
1341,25,4,0.16
1342,24,23,0.958333333
1343,25,25,1
1344,22,21,0.954545455
1345,22,22,1
1346,23,23,1
1347,24,24,1
1348,23,3,0.130434783
1349,25,0,0
1350,25,6,0.24
1351,25,8,0.32
1352,24,1,0.041666667
1353,25,0,0
1354,24,3,0.125
1355,23,11,0.47826087
