hv001,Relevantpop,improvedwater,
1,22,21,0.954545455
2,23,23,1
3,25,25,1
4,21,20,0.952380952
5,21,20,0.952380952
6,24,24,1
7,19,19,1
8,23,23,1
9,19,19,1
10,23,23,1
11,19,19,1
12,23,23,1
13,22,22,1
14,18,18,1
15,20,20,1
16,22,22,1
17,22,22,1
18,22,21,0.954545455
19,17,17,1
20,21,21,1
21,20,18,0.9
22,21,19,0.904761905
23,21,21,1
24,24,24,1
25,25,25,1
26,22,21,0.954545455
27,23,21,0.913043478
28,23,23,1
29,19,19,1
30,22,19,0.863636364
31,22,20,0.909090909
32,23,23,1
33,24,24,1
34,24,23,0.958333333
35,22,21,0.954545455
36,24,24,1
37,22,22,1
38,24,24,1
39,24,24,1
40,24,24,1
41,23,23,1
42,24,24,1
43,21,20,0.952380952
44,21,20,0.952380952
45,20,20,1
46,21,21,1
47,24,24,1
48,24,24,1
49,22,22,1
50,25,25,1
51,21,21,1
52,24,24,1
53,23,23,1
54,24,24,1
55,21,20,0.952380952
56,23,23,1
57,23,16,0.695652174
58,25,13,0.52
59,24,22,0.916666667
60,21,20,0.952380952
61,23,12,0.52173913
62,22,16,0.727272727
63,25,16,0.64
64,22,15,0.681818182
65,24,17,0.708333333
66,19,16,0.842105263
67,24,15,0.625
68,23,21,0.913043478
69,23,19,0.826086957
70,24,15,0.625
71,21,17,0.80952381
72,24,19,0.791666667
73,22,18,0.818181818
74,23,14,0.608695652
75,23,21,0.913043478
76,23,10,0.434782609
77,21,19,0.904761905
78,21,17,0.80952381
79,23,21,0.913043478
80,25,25,1
81,22,22,1
82,25,23,0.92
83,24,24,1
84,21,21,1
85,21,19,0.904761905
86,21,18,0.857142857
87,21,18,0.857142857
88,25,14,0.56
89,20,15,0.75
90,25,25,1
91,25,17,0.68
92,24,24,1
93,23,9,0.391304348
94,22,22,1
95,25,25,1
96,23,23,1
97,23,22,0.956521739
98,24,20,0.833333333
99,25,25,1
100,22,8,0.363636364
101,25,20,0.8
102,25,24,0.96
103,25,13,0.52
104,25,25,1
105,25,10,0.4
106,25,17,0.68
107,25,24,0.96
108,25,24,0.96
109,24,15,0.625
110,24,22,0.916666667
111,25,22,0.88
112,22,12,0.545454545
113,24,12,0.5
114,25,13,0.52
115,25,9,0.36
116,25,24,0.96
117,25,24,0.96
118,25,25,1
119,25,25,1
120,25,23,0.92
121,25,25,1
122,23,23,1
123,25,25,1
124,25,24,0.96
125,25,19,0.76
126,25,19,0.76
127,25,1,0.04
128,22,1,0.045454545
129,25,0,0
130,22,1,0.045454545
131,20,14,0.7
132,25,19,0.76
133,25,0,0
134,24,2,0.083333333
135,25,20,0.8
136,23,23,1
137,22,18,0.818181818
138,23,17,0.739130435
139,24,24,1
140,19,19,1
141,22,16,0.727272727
142,25,21,0.84
143,23,18,0.782608696
144,25,24,0.96
145,25,16,0.64
146,22,18,0.818181818
147,22,20,0.909090909
148,21,19,0.904761905
149,25,19,0.76
150,23,23,1
151,24,15,0.625
152,23,12,0.52173913
153,20,5,0.25
154,23,22,0.956521739
155,24,18,0.75
156,25,23,0.92
157,21,21,1
158,21,21,1
159,22,22,1
160,23,23,1
161,24,12,0.5
162,20,2,0.1
163,23,14,0.608695652
164,25,15,0.6
165,25,21,0.84
166,23,16,0.695652174
167,24,16,0.666666667
168,25,19,0.76
169,24,5,0.208333333
170,24,16,0.666666667
171,25,20,0.8
172,25,11,0.44
