hv001,nonflaggedchildren,wasted,
596,7,0,0
597,15,1,0.066666667
598,13,0,0
599,7,0,0
600,7,0,0
601,14,0,0
602,10,0,0
603,12,1,0.083333333
604,6,0,0
605,17,1,0.058823529
606,26,1,0.038461538
607,15,0,0
608,11,0,0
609,9,0,0
610,13,0,0
611,5,0,0
612,11,0,0
613,1,0,0
614,16,1,0.0625
615,19,0,0
616,29,1,0.034482759
617,25,1,0.04
618,9,1,0.111111111
619,3,0,0
620,10,0,0
621,12,0,0
622,15,1,0.066666667
623,10,0,0
624,13,1,0.076923077
625,18,2,0.111111111
626,13,0,0
627,29,2,0.068965517
628,15,0,0
629,14,0,0
630,3,0,0
631,11,1,0.090909091
632,10,0,0
633,6,1,0.166666667
634,14,3,0.214285714
635,9,0,0
636,13,1,0.076923077
637,9,1,0.111111111
638,17,0,0
639,9,1,0.111111111
640,7,0,0
641,4,1,0.25
642,14,2,0.142857143
643,12,0,0
644,9,1,0.111111111
645,16,1,0.0625
646,14,0,0
647,10,1,0.1
648,11,0,0
649,16,0,0
650,22,1,0.045454545
651,10,1,0.1
652,12,1,0.083333333
653,12,1,0.083333333
654,9,1,0.111111111
655,11,0,0
656,8,0,0
657,9,0,0
658,11,0,0
659,15,0,0
660,5,0,0
661,13,0,0
662,14,1,0.071428571
663,6,0,0
664,9,0,0
665,16,0,0
666,12,1,0.083333333
667,10,0,0
668,19,1,0.052631579
669,14,1,0.071428571
670,3,0,0
671,8,0,0
672,7,0,0
673,16,0,0
674,12,0,0
675,11,0,0
676,14,0,0
677,14,2,0.142857143
678,9,0,0
679,13,0,0
680,11,1,0.090909091
681,21,0,0
682,18,0,0
683,6,0,0
684,14,0,0
685,23,0,0
686,12,0,0
687,8,0,0
688,7,0,0
689,9,0,0
690,16,0,0
691,22,1,0.045454545
692,14,0,0
693,10,1,0.1
694,13,0,0
695,7,0,0
696,16,0,0
697,14,0,0
698,6,0,0
699,7,0,0
700,10,1,0.1
701,9,1,0.111111111
702,21,2,0.095238095
703,15,2,0.133333333
704,24,3,0.125
705,12,0,0
706,14,1,0.071428571
707,25,2,0.08
708,24,4,0.166666667
709,18,3,0.166666667
710,19,3,0.157894737
712,18,4,0.222222222
713,10,2,0.2
714,20,3,0.15
715,14,2,0.142857143
716,14,1,0.071428571
717,17,4,0.235294118
718,24,2,0.083333333
719,25,3,0.12
720,21,1,0.047619048
721,8,1,0.125
722,13,3,0.230769231
724,24,4,0.166666667
726,17,1,0.058823529
727,13,2,0.153846154
728,20,2,0.1
729,24,2,0.083333333
730,8,1,0.125
731,17,0,0
732,22,3,0.136363636
733,11,1,0.090909091
734,23,1,0.043478261
735,27,9,0.333333333
736,18,2,0.111111111
737,21,6,0.285714286
738,13,1,0.076923077
739,13,1,0.076923077
741,17,3,0.176470588
742,21,3,0.142857143
743,20,1,0.05
744,22,1,0.045454545
745,31,3,0.096774194
746,6,1,0.166666667
747,17,3,0.176470588
748,16,2,0.125
749,10,1,0.1
750,23,5,0.217391304
751,23,6,0.260869565
752,18,1,0.055555556
753,24,1,0.041666667
754,26,7,0.269230769
755,20,2,0.1
756,21,2,0.095238095
757,20,5,0.25
760,14,4,0.285714286
761,19,2,0.105263158
762,13,4,0.307692308
764,22,6,0.272727273
766,14,1,0.071428571
768,11,2,0.181818182
769,11,1,0.090909091
770,24,4,0.166666667
771,13,0,0
772,13,0,0
773,7,1,0.142857143
774,17,1,0.058823529
775,20,3,0.15
776,16,2,0.125
777,2,0,0
778,7,5,0.714285714
779,16,6,0.375
780,0,0,.
781,20,9,0.45
782,1,0,0
783,11,2,0.181818182
784,18,4,0.222222222
785,15,3,0.2
786,4,0,0
787,5,2,0.4
788,12,1,0.083333333
789,15,1,0.066666667
790,14,1,0.071428571
791,18,1,0.055555556
792,15,0,0
793,18,3,0.166666667
794,16,6,0.375
795,9,2,0.222222222
796,15,1,0.066666667
797,16,4,0.25
798,14,1,0.071428571
799,23,4,0.173913043
801,13,2,0.153846154
802,11,0,0
803,11,0,0
804,16,0,0
805,12,0,0
806,16,0,0
807,6,0,0
808,23,0,0
809,22,0,0
810,13,0,0
811,17,0,0
812,14,0,0
813,15,0,0
814,13,0,0
815,15,0,0
816,10,0,0
817,14,0,0
818,9,0,0
819,13,0,0
820,18,0,0
821,11,0,0
822,18,0,0
823,14,0,0
824,10,0,0
825,12,0,0
826,14,0,0
827,16,0,0
828,6,0,0
829,11,0,0
830,11,0,0
831,9,2,0.222222222
832,22,0,0
833,17,0,0
834,14,0,0
835,13,0,0
836,10,0,0
837,10,0,0
838,9,0,0
839,7,0,0
840,15,1,0.066666667
841,8,0,0
842,7,0,0
843,18,0,0
844,11,0,0
845,5,0,0
846,10,0,0
847,13,1,0.076923077
848,11,0,0
849,9,0,0
850,15,0,0
851,16,0,0
852,15,1,0.066666667
853,24,0,0
854,10,0,0
855,14,0,0
856,17,0,0
857,8,0,0
858,14,0,0
859,24,1,0.041666667
860,12,0,0
861,7,0,0
862,9,0,0
863,14,0,0
864,9,0,0
865,17,0,0
866,12,0,0
867,7,0,0
868,20,0,0
869,19,0,0
870,14,0,0
871,9,0,0
872,18,0,0
873,20,0,0
874,16,1,0.0625
875,13,0,0
876,15,0,0
877,25,2,0.08
878,25,1,0.04
879,20,2,0.1
880,17,1,0.058823529
881,19,2,0.105263158
882,8,1,0.125
883,18,1,0.055555556
884,13,0,0
885,9,0,0
886,16,3,0.1875
887,21,1,0.047619048
888,18,0,0
889,13,1,0.076923077
890,20,0,0
891,13,0,0
892,23,0,0
893,11,0,0
894,19,2,0.105263158
895,14,0,0
896,21,0,0
897,16,0,0
898,11,1,0.090909091
899,22,1,0.045454545
900,16,1,0.0625
901,19,0,0
902,22,0,0
903,20,1,0.05
904,18,0,0
905,28,0,0
906,11,0,0
907,15,1,0.066666667
908,11,1,0.090909091
909,8,0,0
910,14,2,0.142857143
911,17,1,0.058823529
912,19,1,0.052631579
913,4,0,0
914,23,0,0
915,19,0,0
916,12,0,0
917,17,0,0
918,20,0,0
919,24,0,0
920,14,2,0.142857143
921,9,0,0
922,21,0,0
923,20,1,0.05
924,21,0,0
925,20,0,0
926,17,1,0.058823529
927,24,0,0
928,12,1,0.083333333
929,17,1,0.058823529
930,19,1,0.052631579
931,15,0,0
932,8,0,0
933,18,2,0.111111111
934,14,0,0
935,17,0,0
936,21,0,0
937,17,0,0
938,10,0,0
939,12,0,0
940,14,0,0
941,6,0,0
942,10,0,0
943,7,0,0
944,12,0,0
945,13,1,0.076923077
946,22,1,0.045454545
947,10,0,0
948,19,0,0
949,13,0,0
950,13,0,0
951,4,0,0
952,11,1,0.090909091
953,21,1,0.047619048
954,9,0,0
955,15,1,0.066666667
956,17,0,0
957,9,0,0
958,8,0,0
959,12,0,0
960,13,0,0
961,13,0,0
962,22,0,0
963,15,2,0.133333333
964,8,0,0
965,19,0,0
966,11,0,0
967,14,1,0.071428571
968,11,0,0
969,8,0,0
970,15,0,0
971,12,0,0
972,10,0,0
973,11,0,0
974,19,0,0
975,16,1,0.0625
976,9,1,0.111111111
977,11,0,0
978,6,1,0.166666667
979,11,0,0
980,10,1,0.1
981,7,0,0
982,16,2,0.125
983,7,0,0
984,17,0,0
985,13,2,0.153846154
986,16,1,0.0625
987,7,0,0
988,6,0,0
989,10,0,0
990,10,0,0
991,13,0,0
992,11,1,0.090909091
993,16,0,0
994,8,1,0.125
995,8,0,0
996,9,0,0
997,8,0,0
998,14,0,0
999,11,0,0
1000,17,1,0.058823529
1001,9,1,0.111111111
1002,19,1,0.052631579
1003,11,0,0
1004,9,0,0
1005,8,0,0
1006,12,0,0
1007,6,0,0
1008,9,0,0
1009,16,1,0.0625
1010,16,1,0.0625
1011,14,1,0.071428571
1012,19,3,0.157894737
1013,28,5,0.178571429
1014,25,6,0.24
1015,17,4,0.235294118
1016,5,0,0
1017,15,2,0.133333333
1018,16,4,0.25
1019,21,5,0.238095238
1020,24,2,0.083333333
1021,5,2,0.4
1022,18,7,0.388888889
1023,20,6,0.3
1024,21,3,0.142857143
1025,14,1,0.071428571
1026,7,0,0
1027,30,3,0.1
1028,13,5,0.384615385
1029,15,1,0.066666667
1030,22,5,0.227272727
1031,9,2,0.222222222
1032,20,4,0.2
1034,25,6,0.24
1035,21,9,0.428571429
1036,9,1,0.111111111
1037,26,3,0.115384615
1038,17,4,0.235294118
1039,19,2,0.105263158
1040,8,2,0.25
1041,23,2,0.086956522
1042,9,1,0.111111111
1043,9,1,0.111111111
1044,26,3,0.115384615
1045,6,0,0
1046,16,1,0.0625
1047,10,0,0
1048,16,1,0.0625
1049,17,3,0.176470588
1050,18,0,0
1051,31,6,0.193548387
1052,30,5,0.166666667
1053,17,2,0.117647059
1054,17,3,0.176470588
1055,22,3,0.136363636
1056,18,2,0.111111111
1058,23,3,0.130434783
1059,31,6,0.193548387
1060,22,4,0.181818182
1061,5,1,0.2
1062,30,4,0.133333333
1063,21,3,0.142857143
1064,26,2,0.076923077
1065,19,1,0.052631579
1067,17,2,0.117647059
1068,25,5,0.2
1069,14,2,0.142857143
1070,20,1,0.05
1071,21,5,0.238095238
1072,15,2,0.133333333
1073,13,1,0.076923077
1074,11,0,0
1075,5,0,0
1076,26,5,0.192307692
1077,19,2,0.105263158
1078,21,1,0.047619048
1079,12,2,0.166666667
1080,21,2,0.095238095
1081,28,5,0.178571429
1082,24,3,0.125
1083,19,3,0.157894737
1084,20,3,0.15
1085,16,1,0.0625
1086,26,2,0.076923077
1087,19,1,0.052631579
1088,15,1,0.066666667
1089,9,1,0.111111111
1090,20,8,0.4
1091,14,0,0
1092,15,4,0.266666667
1093,22,7,0.318181818
1094,14,2,0.142857143
1095,20,7,0.35
1096,10,2,0.2
1097,21,2,0.095238095
1098,2,0,0
1099,21,2,0.095238095
1100,13,2,0.153846154
1101,13,3,0.230769231
1103,28,3,0.107142857
1104,17,2,0.117647059
1105,10,0,0
1106,17,1,0.058823529
1107,15,0,0
1108,12,0,0
1109,14,1,0.071428571
1110,10,0,0
1111,8,0,0
1112,5,0,0
1113,5,0,0
1114,9,2,0.222222222
1115,10,0,0
1116,5,0,0
1117,13,0,0
1118,22,0,0
1119,11,1,0.090909091
1120,13,0,0
1121,9,0,0
1122,18,3,0.166666667
1123,17,1,0.058823529
1124,14,2,0.142857143
1125,17,0,0
1126,15,0,0
1127,14,1,0.071428571
1128,17,0,0
1129,17,2,0.117647059
1130,11,0,0
1131,16,0,0
1132,26,0,0
1133,19,1,0.052631579
1134,20,0,0
1135,15,0,0
1136,13,0,0
1137,28,0,0
1138,14,1,0.071428571
1139,11,1,0.090909091
1140,3,0,0
1141,16,1,0.0625
1142,19,0,0
1143,8,0,0
1144,17,1,0.058823529
1145,4,1,0.25
1146,17,2,0.117647059
1147,12,3,0.25
1148,10,1,0.1
1149,18,3,0.166666667
1150,13,0,0
1151,30,1,0.033333333
1152,7,0,0
1153,18,2,0.111111111
1154,9,0,0
1155,26,4,0.153846154
1156,15,1,0.066666667
1157,21,7,0.333333333
1158,6,0,0
1159,17,0,0
1160,12,0,0
1161,10,0,0
1162,11,0,0
1163,8,0,0
1164,9,1,0.111111111
1165,4,0,0
1166,13,1,0.076923077
1167,19,0,0
1168,14,0,0
1169,21,3,0.142857143
1170,13,0,0
1171,20,1,0.05
1172,11,0,0
1173,9,0,0
1174,20,1,0.05
1175,16,1,0.0625
1176,19,0,0
1177,10,0,0
1178,8,0,0
1179,7,0,0
1180,8,1,0.125
1181,10,1,0.1
1182,13,0,0
1183,11,1,0.090909091
1184,9,1,0.111111111
1185,11,0,0
1186,5,0,0
1187,15,0,0
1188,11,1,0.090909091
1189,11,0,0
1190,14,1,0.071428571
1191,13,0,0
1192,9,1,0.111111111
1193,5,0,0
1194,10,0,0
1195,21,0,0
1196,18,1,0.055555556
1197,15,0,0
1198,15,0,0
1199,22,1,0.045454545
1200,11,1,0.090909091
1201,11,0,0
1202,4,0,0
1203,9,1,0.111111111
1204,9,0,0
1205,8,0,0
1206,25,2,0.08
1207,1,0,0
1208,15,1,0.066666667
1209,13,1,0.076923077
1210,11,2,0.181818182
1212,16,0,0
1213,22,0,0
1214,14,1,0.071428571
1215,11,0,0
1216,6,0,0
1217,10,0,0
1218,11,0,0
1219,6,1,0.166666667
1220,14,2,0.142857143
1221,13,0,0
1222,14,1,0.071428571
1223,14,0,0
1224,12,0,0
1225,9,0,0
1226,14,1,0.071428571
1227,8,0,0
1228,15,0,0
1229,20,2,0.1
1230,12,1,0.083333333
1231,17,0,0
1232,16,0,0
1233,18,0,0
1234,11,0,0
1235,23,2,0.086956522
1236,5,0,0
1237,14,0,0
1238,17,1,0.058823529
1239,20,2,0.1
1240,14,0,0
1241,14,0,0
1242,18,1,0.055555556
1243,12,0,0
1244,2,0,0
1245,10,0,0
1246,14,0,0
1247,11,0,0
1248,13,0,0
1249,9,0,0
1250,14,2,0.142857143
1251,8,0,0
1252,15,0,0
1253,12,0,0
1254,20,0,0
1255,11,0,0
1256,8,0,0
1257,2,0,0
1258,7,0,0
1259,20,1,0.05
1260,14,0,0
1261,19,0,0
1262,17,0,0
1263,15,3,0.2
1264,10,0,0
1265,12,0,0
1266,16,0,0
1267,16,2,0.125
1268,27,1,0.037037037
1269,30,2,0.066666667
1270,21,1,0.047619048
1272,14,1,0.071428571
1273,10,0,0
1274,10,0,0
1275,6,0,0
1276,15,0,0
1277,9,0,0
1278,8,0,0
1279,8,0,0
1280,27,2,0.074074074
1281,10,0,0
1282,8,0,0
1283,12,0,0
1284,12,0,0
1285,11,0,0
1286,9,0,0
1287,4,0,0
1288,5,0,0
1289,4,0,0
1290,11,0,0
1291,14,2,0.142857143
1292,35,6,0.171428571
1293,11,1,0.090909091
1294,12,0,0
1295,11,0,0
1296,14,1,0.071428571
1297,22,3,0.136363636
1298,17,0,0
1299,11,1,0.090909091
1300,18,1,0.055555556
1301,12,0,0
1302,15,1,0.066666667
1303,5,0,0
1304,6,0,0
1305,9,0,0
1306,12,0,0
1307,8,0,0
1308,8,0,0
1309,12,0,0
1310,6,1,0.166666667
1311,8,1,0.125
1312,3,0,0
1313,10,3,0.3
1314,13,0,0
1315,14,0,0
1316,6,0,0
1317,11,0,0
1318,7,1,0.142857143
1319,11,1,0.090909091
1320,9,0,0
1321,11,0,0
1322,11,0,0
1323,9,1,0.111111111
1324,26,2,0.076923077
1325,15,0,0
1326,7,1,0.142857143
1327,11,1,0.090909091
1328,2,0,0
1329,13,1,0.076923077
1330,15,0,0
1331,11,0,0
1332,18,0,0
1333,21,1,0.047619048
1334,19,3,0.157894737
1335,12,0,0
1336,12,1,0.083333333
1337,17,0,0
1338,6,0,0
1339,20,0,0
1340,21,0,0
1341,26,0,0
1342,7,0,0
1343,14,0,0
1344,10,0,0
1345,8,0,0
1346,7,1,0.142857143
1347,10,1,0.1
1348,32,0,0
1349,26,0,0
1350,23,0,0
1351,6,0,0
1352,26,0,0
1353,27,1,0.037037037
1354,23,1,0.043478261
1355,16,0,0
1356,17,1,0.058823529
1357,19,1,0.052631579
1358,13,1,0.076923077
1359,10,0,0
1360,25,1,0.04
1361,27,0,0
1362,28,0,0
1363,15,0,0
1364,28,1,0.035714286
1365,31,1,0.032258065
1366,20,1,0.05
1367,13,0,0
1368,9,0,0
1369,16,1,0.0625
1370,21,0,0
1371,20,0,0
1372,37,1,0.027027027
1373,16,0,0
1374,32,1,0.03125
1375,21,0,0
1376,20,0,0
1377,17,0,0
1378,28,1,0.035714286
1379,8,0,0
1380,8,0,0
1381,15,3,0.2
1382,26,2,0.076923077
1383,20,1,0.05
1384,20,0,0
1385,8,1,0.125
1386,15,0,0
1387,18,0,0
1388,20,3,0.15
1389,7,0,0
1390,9,0,0
1391,9,0,0
1392,7,0,0
1393,9,0,0
1394,20,0,0
1395,19,3,0.157894737
1396,13,0,0
1397,5,0,0
1398,6,0,0
1399,12,0,0
1400,7,0,0
1401,7,0,0
1402,15,0,0
1403,11,0,0
1404,8,0,0
1405,4,0,0
1406,9,0,0
1407,11,0,0
1408,7,1,0.142857143
1409,11,0,0
1410,7,0,0
1411,14,2,0.142857143
1412,15,1,0.066666667
1413,7,0,0
1414,4,0,0
1415,12,0,0
1416,11,1,0.090909091
1417,9,1,0.111111111
1418,7,0,0
1419,12,0,0
1420,8,0,0
1421,13,0,0
1422,9,1,0.111111111
1423,12,1,0.083333333
1424,11,1,0.090909091
1425,17,0,0
1426,6,0,0
1427,21,3,0.142857143
1428,11,1,0.090909091
1429,15,0,0
1430,16,0,0
1431,10,0,0
1432,10,0,0
1433,23,2,0.086956522
1434,7,0,0
1435,12,1,0.083333333
1436,15,4,0.266666667
1437,13,0,0
1438,21,1,0.047619048
1439,12,0,0
1440,18,2,0.111111111
1441,7,0,0
1442,13,0,0
1443,16,0,0
1444,7,0,0
1445,22,0,0
1446,3,0,0
1447,18,0,0
1448,16,0,0
1449,12,0,0
1450,17,0,0
1451,5,0,0
1452,7,0,0
1453,18,0,0
1454,13,0,0
1455,16,0,0
1456,25,2,0.08
