Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
1491,20,20,1,,,,
1492,24,20,0.833333333,,,,
1493,21,21,1,,,,
1494,20,14,0.7,,,,
1495,22,22,1,,,,
1496,19,16,0.842105263,,,,
1497,22,7,0.318181818,,,,
1498,23,2,0.086956522,,,,
1499,23,9,0.391304348,,,,
1500,24,5,0.208333333,,,,
1501,25,15,0.6,,,,
1502,20,19,0.95,,,,
1503,23,12,0.52173913,,,,
1504,25,8,0.32,,,,
1505,21,9,0.428571429,,,,
1506,25,13,0.52,,,,
1507,23,5,0.217391304,,,,
1508,24,11,0.458333333,,,,
1509,24,8,0.333333333,,,,
1510,23,2,0.086956522,,,,
1511,24,16,0.666666667,,,,
1512,25,18,0.72,,,,
1513,25,25,1,,,,
1514,22,22,1,,,,
1515,22,10,0.454545455,,,,
1516,24,19,0.791666667,,,,
1517,25,11,0.44,,,,
1518,25,17,0.68,,,,
1519,25,8,0.32,,,,
1520,23,12,0.52173913,,,,
1521,25,15,0.6,,,,
1522,22,21,0.954545455,,,,
1523,21,19,0.904761905,,,,
1524,20,14,0.7,,,,
1525,22,7,0.318181818,,,,
1526,25,5,0.2,,,,
1527,24,7,0.291666667,,,,
1528,23,20,0.869565217,,,,
1529,25,4,0.16,,,,
1530,22,8,0.363636364,,,,
1531,25,5,0.2,,,,
1532,25,6,0.24,,,,
1533,25,2,0.08,,,,
1534,21,17,0.80952381,,,,
1535,22,17,0.772727273,,,,
1536,22,17,0.772727273,,,,
1537,23,3,0.130434783,,,,
1538,25,2,0.08,,,,
1539,24,7,0.291666667,,,,
