Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
280,23,19,0.826086957,,,,
281,23,19,0.826086957,,,,
282,23,1,0.043478261,,,,
283,21,18,0.857142857,,,,
284,23,10,0.434782609,,,,
285,23,10,0.434782609,,,,
286,23,1,0.043478261,,,,
287,23,8,0.347826087,,,,
288,10,7,0.7,,,,
289,22,20,0.909090909,,,,
290,24,21,0.875,,,,
291,22,21,0.954545455,,,,
292,24,21,0.875,,,,
293,21,15,0.714285714,,,,
294,24,24,1,,,,
295,24,21,0.875,,,,
296,23,17,0.739130435,,,,
297,23,15,0.652173913,,,,
298,22,11,0.5,,,,
299,24,9,0.375,,,,
300,23,19,0.826086957,,,,
301,23,21,0.913043478,,,,
302,19,18,0.947368421,,,,
303,23,23,1,,,,
304,23,19,0.826086957,,,,
305,20,20,1,,,,
307,14,0,0,,,,
308,23,20,0.869565217,,,,
309,23,15,0.652173913,,,,
310,21,17,0.80952381,,,,
311,21,0,0,,,,
312,25,1,0.04,,,,
313,19,14,0.736842105,,,,
314,23,1,0.043478261,,,,
315,22,21,0.954545455,,,,
316,21,17,0.80952381,,,,
317,23,21,0.913043478,,,,
318,17,16,0.941176471,,,,
319,17,17,1,,,,
320,21,19,0.904761905,,,,
321,24,17,0.708333333,,,,
322,24,0,0,,,,
323,24,12,0.5,,,,
324,20,16,0.8,,,,
325,23,0,0,,,,
326,22,0,0,,,,
327,23,13,0.565217391,,,,
328,18,2,0.111111111,,,,
329,23,22,0.956521739,,,,
330,25,18,0.72,,,,
331,23,23,1,,,,
332,22,20,0.909090909,,,,
333,23,21,0.913043478,,,,
334,21,20,0.952380952,,,,
335,24,22,0.916666667,,,,
336,22,6,0.272727273,,,,
337,22,7,0.318181818,,,,
338,11,0,0,,,,
339,24,21,0.875,,,,
340,24,0,0,,,,
341,24,15,0.625,,,,
342,21,19,0.904761905,,,,
343,11,0,0,,,,
344,22,12,0.545454545,,,,
345,20,17,0.85,,,,
346,23,18,0.782608696,,,,
347,24,6,0.25,,,,
348,23,17,0.739130435,,,,
349,25,5,0.2,,,,
350,23,8,0.347826087,,,,
351,24,10,0.416666667,,,,
352,21,21,1,,,,
353,21,10,0.476190476,,,,
354,25,6,0.24,,,,
355,24,20,0.833333333,,,,
356,21,16,0.761904762,,,,
357,23,15,0.652173913,,,,
358,21,16,0.761904762,,,,
359,22,14,0.636363636,,,,
360,22,19,0.863636364,,,,
361,22,20,0.909090909,,,,
362,22,20,0.909090909,,,,
363,22,16,0.727272727,,,,
364,20,15,0.75,,,,
365,22,16,0.727272727,,,,
366,24,20,0.833333333,,,,
367,21,17,0.80952381,,,,
368,23,2,0.086956522,,,,
369,22,2,0.090909091,,,,
370,13,0,0,,,,
371,20,1,0.05,,,,
372,21,11,0.523809524,,,,
373,23,13,0.565217391,,,,
374,21,16,0.761904762,,,,
375,23,17,0.739130435,,,,
376,22,13,0.590909091,,,,
377,19,17,0.894736842,,,,
378,25,13,0.52,,,,
379,24,15,0.625,,,,
380,20,18,0.9,,,,
381,22,19,0.863636364,,,,
382,24,4,0.166666667,,,,
383,24,14,0.583333333,,,,
384,24,10,0.416666667,,,,
385,21,2,0.095238095,,,,
386,22,9,0.409090909,,,,
387,16,12,0.75,,,,
388,22,10,0.454545455,,,,
389,24,6,0.25,,,,
390,21,10,0.476190476,,,,
391,19,8,0.421052632,,,,
392,19,17,0.894736842,,,,
393,24,15,0.625,,,,
394,23,20,0.869565217,,,,
395,19,19,1,,,,
396,23,22,0.956521739,,,,
397,19,19,1,,,,
398,23,20,0.869565217,,,,
399,24,21,0.875,,,,
400,20,20,1,,,,
401,22,15,0.681818182,,,,
402,25,22,0.88,,,,
403,25,19,0.76,,,,
404,19,19,1,,,,
405,25,21,0.84,,,,
406,25,19,0.76,,,,
407,25,20,0.8,,,,
408,23,19,0.826086957,,,,
409,22,7,0.318181818,,,,
410,24,9,0.375,,,,
411,22,7,0.318181818,,,,
412,23,10,0.434782609,,,,
413,24,20,0.833333333,,,,
414,25,14,0.56,,,,
415,24,13,0.541666667,,,,
416,25,8,0.32,,,,
417,22,21,0.954545455,,,,
418,25,19,0.76,,,,
419,24,24,1,,,,
420,20,20,1,,,,
421,25,24,0.96,,,,
422,24,18,0.75,,,,
423,25,23,0.92,,,,
424,24,16,0.666666667,,,,
425,24,15,0.625,,,,
426,22,19,0.863636364,,,,
427,25,18,0.72,,,,
428,25,19,0.76,,,,
429,24,9,0.375,,,,
430,18,16,0.888888889,,,,
431,18,18,1,,,,
432,24,23,0.958333333,,,,
433,19,19,1,,,,
434,23,23,1,,,,
435,21,21,1,,,,
436,24,10,0.416666667,,,,
437,23,21,0.913043478,,,,
438,25,18,0.72,,,,
439,22,8,0.363636364,,,,
440,20,3,0.15,,,,
441,23,16,0.695652174,,,,
442,20,13,0.65,,,,
443,17,5,0.294117647,,,,
444,21,20,0.952380952,,,,
445,25,8,0.32,,,,
446,25,11,0.44,,,,
447,24,14,0.583333333,,,,
448,21,17,0.80952381,,,,
449,24,17,0.708333333,,,,
450,23,15,0.652173913,,,,
451,23,20,0.869565217,,,,
452,20,10,0.5,,,,
453,19,16,0.842105263,,,,
454,23,13,0.565217391,,,,
455,24,15,0.625,,,,
456,24,11,0.458333333,,,,
457,24,3,0.125,,,,
458,24,20,0.833333333,,,,
459,20,16,0.8,,,,
460,18,18,1,,,,
461,25,25,1,,,,
462,21,21,1,,,,
463,24,24,1,,,,
464,22,18,0.818181818,,,,
465,23,20,0.869565217,,,,
466,23,5,0.217391304,,,,
467,22,21,0.954545455,,,,
468,23,23,1,,,,
469,20,20,1,,,,
470,25,13,0.52,,,,
471,22,13,0.590909091,,,,
472,25,8,0.32,,,,
473,24,24,1,,,,
474,25,16,0.64,,,,
475,24,16,0.666666667,,,,
476,23,8,0.347826087,,,,
477,25,11,0.44,,,,
478,25,21,0.84,,,,
479,25,18,0.72,,,,
480,23,13,0.565217391,,,,
481,25,8,0.32,,,,
482,22,13,0.590909091,,,,
483,23,18,0.782608696,,,,
484,23,10,0.434782609,,,,
485,25,18,0.72,,,,
486,25,20,0.8,,,,
487,23,16,0.695652174,,,,
488,24,22,0.916666667,,,,
489,17,17,1,,,,
490,24,24,1,,,,
491,19,19,1,,,,
492,22,22,1,,,,
493,21,9,0.428571429,,,,
494,19,18,0.947368421,,,,
495,22,17,0.772727273,,,,
496,25,12,0.48,,,,
497,25,13,0.52,,,,
498,24,12,0.5,,,,
499,8,8,1,,,,
500,24,12,0.5,,,,
501,22,17,0.772727273,,,,
502,23,14,0.608695652,,,,
503,22,18,0.818181818,,,,
504,24,16,0.666666667,,,,
505,25,11,0.44,,,,
506,24,13,0.541666667,,,,
507,23,11,0.47826087,,,,
508,24,19,0.791666667,,,,
509,22,15,0.681818182,,,,
510,17,17,1,,,,
511,25,25,1,,,,
512,23,23,1,,,,
513,23,17,0.739130435,,,,
514,24,14,0.583333333,,,,
515,25,14,0.56,,,,
516,24,5,0.208333333,,,,
517,22,8,0.363636364,,,,
518,25,12,0.48,,,,
519,22,22,1,,,,
520,21,21,1,,,,
521,19,19,1,,,,
522,24,24,1,,,,
523,23,23,1,,,,
524,24,24,1,,,,
525,17,17,1,,,,
526,13,13,1,,,,
527,23,22,0.956521739,,,,
528,22,20,0.909090909,,,,
529,23,23,1,,,,
530,22,22,1,,,,
531,23,23,1,,,,
532,18,3,0.166666667,,,,
533,22,20,0.909090909,,,,
534,24,22,0.916666667,,,,
535,24,19,0.791666667,,,,
536,25,22,0.88,,,,
537,23,15,0.652173913,,,,
538,20,19,0.95,,,,
539,21,19,0.904761905,,,,
540,20,20,1,,,,
541,22,19,0.863636364,,,,
542,23,18,0.782608696,,,,
543,25,24,0.96,,,,
544,25,17,0.68,,,,
545,22,14,0.636363636,,,,
546,24,17,0.708333333,,,,
547,23,13,0.565217391,,,,
548,21,20,0.952380952,,,,
549,24,23,0.958333333,,,,
550,21,21,1,,,,
551,24,23,0.958333333,,,,
552,24,20,0.833333333,,,,
553,24,19,0.791666667,,,,
554,23,14,0.608695652,,,,
555,22,20,0.909090909,,,,
556,24,16,0.666666667,,,,
557,23,12,0.52173913,,,,
558,18,16,0.888888889,,,,
559,24,9,0.375,,,,
560,19,18,0.947368421,,,,
561,25,22,0.88,,,,
562,24,17,0.708333333,,,,
563,23,17,0.739130435,,,,
564,25,13,0.52,,,,
565,23,23,1,,,,
566,25,16,0.64,,,,
567,22,17,0.772727273,,,,
568,22,13,0.590909091,,,,
569,25,12,0.48,,,,
570,24,23,0.958333333,,,,
571,23,22,0.956521739,,,,
572,24,10,0.416666667,,,,
573,24,12,0.5,,,,
574,23,7,0.304347826,,,,
575,20,12,0.6,,,,
576,23,23,1,,,,
577,17,16,0.941176471,,,,
578,23,18,0.782608696,,,,
579,23,23,1,,,,
580,24,21,0.875,,,,
581,24,19,0.791666667,,,,
582,22,16,0.727272727,,,,
583,23,12,0.52173913,,,,
584,25,15,0.6,,,,
585,19,15,0.789473684,,,,
586,24,22,0.916666667,,,,
587,25,22,0.88,,,,
588,23,16,0.695652174,,,,
589,25,21,0.84,,,,
590,24,14,0.583333333,,,,
591,24,24,1,,,,
592,23,20,0.869565217,,,,
593,23,18,0.782608696,,,,
594,23,21,0.913043478,,,,
595,17,17,1,,,,
596,23,15,0.652173913,,,,
597,23,20,0.869565217,,,,
598,25,8,0.32,,,,
599,21,16,0.761904762,,,,
600,23,10,0.434782609,,,,
601,23,6,0.260869565,,,,
602,22,8,0.363636364,,,,
603,23,4,0.173913043,,,,
604,25,13,0.52,,,,
605,24,5,0.208333333,,,,
606,25,0,0,,,,
607,21,21,1,,,,
608,24,13,0.541666667,,,,
609,24,7,0.291666667,,,,
610,26,22,0.846153846,,,,
611,19,15,0.789473684,,,,
612,23,23,1,,,,
613,24,14,0.583333333,,,,
614,23,12,0.52173913,,,,
615,24,3,0.125,,,,
616,23,11,0.47826087,,,,
617,24,19,0.791666667,,,,
618,24,14,0.583333333,,,,
619,23,22,0.956521739,,,,
620,23,18,0.782608696,,,,
621,24,13,0.541666667,,,,
622,19,17,0.894736842,,,,
623,24,0,0,,,,
624,25,12,0.48,,,,
625,21,16,0.761904762,,,,
626,23,5,0.217391304,,,,
627,22,9,0.409090909,,,,
628,19,18,0.947368421,,,,
629,23,18,0.782608696,,,,
630,24,12,0.5,,,,
631,24,22,0.916666667,,,,
632,22,20,0.909090909,,,,
633,24,18,0.75,,,,
634,22,22,1,,,,
635,23,16,0.695652174,,,,
636,25,15,0.6,,,,
637,21,18,0.857142857,,,,
638,22,21,0.954545455,,,,
639,19,17,0.894736842,,,,
640,25,8,0.32,,,,
641,25,21,0.84,,,,
642,22,20,0.909090909,,,,
643,23,20,0.869565217,,,,
644,24,20,0.833333333,,,,
645,20,19,0.95,,,,
646,25,23,0.92,,,,
647,25,11,0.44,,,,
648,23,19,0.826086957,,,,
649,23,22,0.956521739,,,,
650,25,15,0.6,,,,
651,25,17,0.68,,,,
652,24,19,0.791666667,,,,
653,24,18,0.75,,,,
654,24,22,0.916666667,,,,
655,25,20,0.8,,,,
656,25,19,0.76,,,,
657,24,23,0.958333333,,,,
658,21,19,0.904761905,,,,
659,23,21,0.913043478,,,,
660,19,15,0.789473684,,,,
661,24,24,1,,,,
662,25,20,0.8,,,,
663,22,20,0.909090909,,,,
664,24,23,0.958333333,,,,
665,22,21,0.954545455,,,,
666,20,20,1,,,,
667,20,20,1,,,,
668,23,22,0.956521739,,,,
669,25,23,0.92,,,,
670,25,24,0.96,,,,
671,24,23,0.958333333,,,,
672,25,24,0.96,,,,
673,23,22,0.956521739,,,,
674,25,25,1,,,,
675,24,23,0.958333333,,,,
676,18,17,0.944444444,,,,
677,24,22,0.916666667,,,,
678,23,21,0.913043478,,,,
679,22,21,0.954545455,,,,
680,24,22,0.916666667,,,,
681,24,21,0.875,,,,
682,20,20,1,,,,
683,21,21,1,,,,
684,18,18,1,,,,
685,24,23,0.958333333,,,,
686,25,22,0.88,,,,
687,24,24,1,,,,
688,19,19,1,,,,
689,24,24,1,,,,
690,24,21,0.875,,,,
691,21,21,1,,,,
692,22,22,1,,,,
693,23,22,0.956521739,,,,
694,23,23,1,,,,
695,25,24,0.96,,,,
696,25,23,0.92,,,,
697,21,21,1,,,,
698,25,25,1,,,,
699,23,21,0.913043478,,,,
700,24,20,0.833333333,,,,
701,25,24,0.96,,,,
702,21,21,1,,,,
703,21,21,1,,,,
704,21,21,1,,,,
705,25,20,0.8,,,,
706,20,17,0.85,,,,
707,21,17,0.80952381,,,,
708,23,20,0.869565217,,,,
709,25,22,0.88,,,,
710,25,18,0.72,,,,
711,24,24,1,,,,
712,25,17,0.68,,,,
713,24,20,0.833333333,,,,
714,14,14,1,,,,
715,20,19,0.95,,,,
716,25,22,0.88,,,,
717,23,23,1,,,,
718,20,15,0.75,,,,
719,16,16,1,,,,
720,23,17,0.739130435,,,,
721,21,20,0.952380952,,,,
722,23,15,0.652173913,,,,
723,22,20,0.909090909,,,,
724,21,16,0.761904762,,,,
725,19,18,0.947368421,,,,
726,25,24,0.96,,,,
727,24,15,0.625,,,,
728,22,12,0.545454545,,,,
729,25,17,0.68,,,,
730,24,21,0.875,,,,
731,22,15,0.681818182,,,,
732,23,19,0.826086957,,,,
733,16,16,1,,,,
734,19,18,0.947368421,,,,
735,23,21,0.913043478,,,,
736,23,21,0.913043478,,,,
737,22,19,0.863636364,,,,
738,24,21,0.875,,,,
739,25,19,0.76,,,,
740,21,18,0.857142857,,,,
741,21,21,1,,,,
742,22,20,0.909090909,,,,
743,25,25,1,,,,
744,25,24,0.96,,,,
745,23,19,0.826086957,,,,
746,22,20,0.909090909,,,,
747,24,22,0.916666667,,,,
748,19,18,0.947368421,,,,
749,19,19,1,,,,
750,24,20,0.833333333,,,,
751,21,17,0.80952381,,,,
752,23,22,0.956521739,,,,
753,22,21,0.954545455,,,,
754,22,20,0.909090909,,,,
755,21,19,0.904761905,,,,
756,21,20,0.952380952,,,,
757,24,24,1,,,,
758,20,18,0.9,,,,
759,24,20,0.833333333,,,,
760,21,21,1,,,,
761,18,18,1,,,,
762,24,20,0.833333333,,,,
763,20,19,0.95,,,,
764,21,16,0.761904762,,,,
765,21,16,0.761904762,,,,
766,22,21,0.954545455,,,,
767,22,22,1,,,,
768,15,14,0.933333333,,,,
769,15,15,1,,,,
770,24,24,1,,,,
771,13,13,1,,,,
772,17,17,1,,,,
773,23,23,1,,,,
774,24,24,1,,,,
775,24,19,0.791666667,,,,
776,24,23,0.958333333,,,,
777,23,23,1,,,,
778,24,5,0.208333333,,,,
779,25,2,0.08,,,,
780,25,0,0,,,,
781,25,0,0,,,,
782,24,1,0.041666667,,,,
783,22,22,1,,,,
784,23,22,0.956521739,,,,
785,23,21,0.913043478,,,,
786,20,19,0.95,,,,
787,22,6,0.272727273,,,,
788,23,1,0.043478261,,,,
789,23,15,0.652173913,,,,
790,18,15,0.833333333,,,,
791,22,0,0,,,,
792,20,4,0.2,,,,
793,24,0,0,,,,
794,25,0,0,,,,
795,23,7,0.304347826,,,,
796,11,0,0,,,,
797,24,4,0.166666667,,,,
798,25,0,0,,,,
799,23,0,0,,,,
800,21,18,0.857142857,,,,
801,24,9,0.375,,,,
802,25,0,0,,,,
803,7,2,0.285714286,,,,
804,23,8,0.347826087,,,,
805,24,0,0,,,,
806,19,16,0.842105263,,,,
807,23,20,0.869565217,,,,
808,24,0,0,,,,
809,22,9,0.409090909,,,,
810,18,0,0,,,,
811,25,0,0,,,,
812,19,0,0,,,,
813,22,17,0.772727273,,,,
814,25,4,0.16,,,,
815,25,3,0.12,,,,
816,25,1,0.04,,,,
817,24,16,0.666666667,,,,
818,25,7,0.28,,,,
819,23,0,0,,,,
820,24,0,0,,,,
821,25,1,0.04,,,,
822,24,0,0,,,,
823,25,0,0,,,,
824,24,0,0,,,,
825,23,0,0,,,,
826,21,1,0.047619048,,,,
827,25,0,0,,,,
828,22,0,0,,,,
829,25,2,0.08,,,,
830,24,7,0.291666667,,,,
831,24,12,0.5,,,,
832,24,2,0.083333333,,,,
833,25,3,0.12,,,,
834,25,0,0,,,,
835,22,11,0.5,,,,
836,22,21,0.954545455,,,,
837,24,16,0.666666667,,,,
838,24,24,1,,,,
839,22,19,0.863636364,,,,
840,24,17,0.708333333,,,,
841,25,4,0.16,,,,
842,22,21,0.954545455,,,,
843,24,19,0.791666667,,,,
844,22,18,0.818181818,,,,
845,25,25,1,,,,
846,25,24,0.96,,,,
847,22,3,0.136363636,,,,
848,21,19,0.904761905,,,,
849,19,19,1,,,,
850,22,22,1,,,,
851,21,21,1,,,,
852,20,19,0.95,,,,
853,24,8,0.333333333,,,,
854,18,18,1,,,,
855,21,20,0.952380952,,,,
856,20,20,1,,,,
857,20,0,0,,,,
858,23,11,0.47826087,,,,
859,23,3,0.130434783,,,,
860,20,20,1,,,,
861,22,2,0.090909091,,,,
862,18,0,0,,,,
863,20,19,0.95,,,,
864,24,4,0.166666667,,,,
865,23,6,0.260869565,,,,
866,23,8,0.347826087,,,,
867,21,0,0,,,,
868,18,0,0,,,,
869,23,0,0,,,,
870,16,1,0.0625,,,,
871,23,16,0.695652174,,,,
872,17,17,1,,,,
873,22,18,0.818181818,,,,
874,15,0,0,,,,
875,25,13,0.52,,,,
876,22,0,0,,,,
877,25,7,0.28,,,,
878,25,0,0,,,,
879,22,11,0.5,,,,
880,22,19,0.863636364,,,,
881,24,16,0.666666667,,,,
882,25,19,0.76,,,,
883,24,23,0.958333333,,,,
884,19,18,0.947368421,,,,
885,21,21,1,,,,
886,12,12,1,,,,
887,23,23,1,,,,
888,24,24,1,,,,
889,25,20,0.8,,,,
890,25,19,0.76,,,,
891,19,18,0.947368421,,,,
892,23,23,1,,,,
893,25,20,0.8,,,,
894,23,21,0.913043478,,,,
895,24,14,0.583333333,,,,
896,22,20,0.909090909,,,,
897,25,23,0.92,,,,
898,23,20,0.869565217,,,,
899,22,21,0.954545455,,,,
900,24,24,1,,,,
901,20,19,0.95,,,,
902,24,23,0.958333333,,,,
903,25,20,0.8,,,,
904,24,21,0.875,,,,
905,22,22,1,,,,
906,22,22,1,,,,
907,22,20,0.909090909,,,,
908,21,21,1,,,,
909,24,24,1,,,,
910,19,19,1,,,,
911,25,23,0.92,,,,
912,22,22,1,,,,
913,24,23,0.958333333,,,,
914,25,25,1,,,,
915,23,23,1,,,,
916,25,12,0.48,,,,
917,25,25,1,,,,
918,24,22,0.916666667,,,,
919,22,10,0.454545455,,,,
920,21,16,0.761904762,,,,
921,25,13,0.52,,,,
922,21,19,0.904761905,,,,
923,25,25,1,,,,
924,22,22,1,,,,
925,23,22,0.956521739,,,,
926,22,21,0.954545455,,,,
927,23,22,0.956521739,,,,
