Definition,Percent distribution of live births and current pregnancies to women in the 3 years preceding the survey by planning status of the pregnancy and percent distribution of all pregnancy outcomes to women in the 3 years preceding the survey by planning status of the pregnancy,,,,,,
Numerator,Live births (m10) and current pregnancies (v225) in the three years preceding the survey according to planning status of the birth,,,,,,
Denominator,"Births in the three years preceding the survey, including current pregnancy (v213 = 1)",,,,,,
,,,,,,,
Average,0.386261466,,Weighted National Average=41.6,,,StatCompiler ,37.40%
,,,,,,,
v001,currentlypregw,unwantedpregnancy,,,,,
553,4,1,0.25,,,,
554,5,4,0.8,,,,
555,4,1,0.25,,,,
556,3,2,0.666666667,,,,
557,5,2,0.4,,,,
558,3,1,0.333333333,,,,
559,8,3,0.375,,,,
560,2,0,0,,,,
561,9,2,0.222222222,,,,
562,7,3,0.428571429,,,,
563,10,6,0.6,,,,
564,7,2,0.285714286,,,,
565,2,1,0.5,,,,
566,5,2,0.4,,,,
567,7,2,0.285714286,,,,
568,5,2,0.4,,,,
569,6,2,0.333333333,,,,
570,10,5,0.5,,,,
571,8,2,0.25,,,,
572,3,0,0,,,,
573,8,6,0.75,,,,
574,4,2,0.5,,,,
575,1,1,1,,,,
576,8,4,0.5,,,,
577,1,0,0,,,,
578,4,3,0.75,,,,
579,4,2,0.5,,,,
580,4,0,0,,,,
581,4,1,0.25,,,,
582,9,2,0.222222222,,,,
583,3,2,0.666666667,,,,
584,1,1,1,,,,
585,2,1,0.5,,,,
586,3,1,0.333333333,,,,
587,5,2,0.4,,,,
588,5,2,0.4,,,,
589,11,7,0.636363636,,,,
590,5,3,0.6,,,,
591,6,0,0,,,,
592,6,4,0.666666667,,,,
593,9,3,0.333333333,,,,
594,7,3,0.428571429,,,,
595,4,1,0.25,,,,
596,3,1,0.333333333,,,,
597,8,2,0.25,,,,
598,3,2,0.666666667,,,,
599,3,1,0.333333333,,,,
600,3,1,0.333333333,,,,
601,4,0,0,,,,
602,3,1,0.333333333,,,,
603,6,5,0.833333333,,,,
604,5,5,1,,,,
605,7,3,0.428571429,,,,
606,5,4,0.8,,,,
607,6,2,0.333333333,,,,
608,4,3,0.75,,,,
609,2,0,0,,,,
610,5,0,0,,,,
611,6,1,0.166666667,,,,
612,3,1,0.333333333,,,,
613,5,1,0.2,,,,
614,4,0,0,,,,
615,3,0,0,,,,
616,5,1,0.2,,,,
617,4,0,0,,,,
618,5,4,0.8,,,,
619,7,2,0.285714286,,,,
620,5,4,0.8,,,,
621,7,0,0,,,,
622,7,4,0.571428571,,,,
623,6,3,0.5,,,,
624,2,0,0,,,,
625,7,1,0.142857143,,,,
626,2,1,0.5,,,,
627,2,1,0.5,,,,
628,3,3,1,,,,
629,4,2,0.5,,,,
630,3,1,0.333333333,,,,
631,1,1,1,,,,
632,6,4,0.666666667,,,,
633,3,2,0.666666667,,,,
634,3,0,0,,,,
635,4,2,0.5,,,,
636,4,2,0.5,,,,
637,8,0,0,,,,
638,3,0,0,,,,
639,1,1,1,,,,
640,5,2,0.4,,,,
641,6,1,0.166666667,,,,
642,4,0,0,,,,
643,4,3,0.75,,,,
644,3,3,1,,,,
645,1,1,1,,,,
646,4,1,0.25,,,,
647,4,1,0.25,,,,
648,7,4,0.571428571,,,,
649,7,0,0,,,,
650,4,1,0.25,,,,
651,1,0,0,,,,
652,8,5,0.625,,,,
653,4,2,0.5,,,,
654,4,3,0.75,,,,
655,4,3,0.75,,,,
656,2,2,1,,,,
657,7,2,0.285714286,,,,
658,3,0,0,,,,
659,1,1,1,,,,
660,0,0,.,,,,
661,9,0,0,,,,
662,6,4,0.666666667,,,,
663,7,2,0.285714286,,,,
664,2,0,0,,,,
665,6,2,0.333333333,,,,
666,5,1,0.2,,,,
667,5,2,0.4,,,,
668,4,0,0,,,,
669,5,1,0.2,,,,
670,5,1,0.2,,,,
671,3,0,0,,,,
672,3,1,0.333333333,,,,
673,2,0,0,,,,
674,3,0,0,,,,
675,5,2,0.4,,,,
676,6,3,0.5,,,,
677,6,0,0,,,,
678,3,0,0,,,,
679,5,2,0.4,,,,
680,2,1,0.5,,,,
681,1,1,1,,,,
682,10,2,0.2,,,,
683,3,1,0.333333333,,,,
684,2,1,0.5,,,,
685,8,4,0.5,,,,
686,7,2,0.285714286,,,,
687,5,1,0.2,,,,
688,6,2,0.333333333,,,,
689,10,6,0.6,,,,
690,5,1,0.2,,,,
691,4,1,0.25,,,,
692,5,2,0.4,,,,
693,5,1,0.2,,,,
694,5,1,0.2,,,,
695,6,4,0.666666667,,,,
696,4,1,0.25,,,,
697,4,0,0,,,,
698,4,1,0.25,,,,
699,3,2,0.666666667,,,,
700,6,2,0.333333333,,,,
701,3,2,0.666666667,,,,
702,8,1,0.125,,,,
703,5,3,0.6,,,,
704,4,2,0.5,,,,
705,6,2,0.333333333,,,,
706,5,2,0.4,,,,
707,2,1,0.5,,,,
708,4,1,0.25,,,,
709,6,1,0.166666667,,,,
710,4,2,0.5,,,,
711,6,5,0.833333333,,,,
712,3,2,0.666666667,,,,
713,4,1,0.25,,,,
714,1,0,0,,,,
715,5,2,0.4,,,,
716,4,2,0.5,,,,
717,4,1,0.25,,,,
718,8,5,0.625,,,,
719,3,0,0,,,,
720,4,2,0.5,,,,
721,7,3,0.428571429,,,,
722,3,2,0.666666667,,,,
723,3,1,0.333333333,,,,
724,4,3,0.75,,,,
725,5,1,0.2,,,,
726,4,0,0,,,,
727,4,2,0.5,,,,
728,5,3,0.6,,,,
729,2,0,0,,,,
730,4,1,0.25,,,,
731,4,1,0.25,,,,
732,4,2,0.5,,,,
733,4,1,0.25,,,,
734,5,1,0.2,,,,
735,3,2,0.666666667,,,,
736,3,1,0.333333333,,,,
737,5,3,0.6,,,,
738,4,1,0.25,,,,
739,6,3,0.5,,,,
740,7,0,0,,,,
741,2,0,0,,,,
742,5,3,0.6,,,,
743,8,0,0,,,,
744,3,0,0,,,,
745,5,3,0.6,,,,
746,4,3,0.75,,,,
747,4,2,0.5,,,,
748,6,3,0.5,,,,
749,8,1,0.125,,,,
750,3,1,0.333333333,,,,
751,5,2,0.4,,,,
752,5,1,0.2,,,,
753,6,2,0.333333333,,,,
754,3,1,0.333333333,,,,
755,4,2,0.5,,,,
756,6,2,0.333333333,,,,
757,3,0,0,,,,
758,5,2,0.4,,,,
759,7,3,0.428571429,,,,
760,8,2,0.25,,,,
761,4,2,0.5,,,,
762,5,0,0,,,,
763,5,3,0.6,,,,
764,4,3,0.75,,,,
765,4,0,0,,,,
766,2,1,0.5,,,,
767,5,3,0.6,,,,
768,5,3,0.6,,,,
769,3,0,0,,,,
770,9,2,0.222222222,,,,
771,4,1,0.25,,,,
772,3,0,0,,,,
773,4,0,0,,,,
774,5,0,0,,,,
775,8,4,0.5,,,,
776,6,3,0.5,,,,
777,8,4,0.5,,,,
778,11,1,0.090909091,,,,
779,14,2,0.142857143,,,,
780,12,1,0.083333333,,,,
781,7,5,0.714285714,,,,
782,15,4,0.266666667,,,,
783,7,3,0.428571429,,,,
784,13,5,0.384615385,,,,
785,8,1,0.125,,,,
786,5,2,0.4,,,,
787,10,4,0.4,,,,
788,4,2,0.5,,,,
789,8,3,0.375,,,,
790,4,3,0.75,,,,
791,11,2,0.181818182,,,,
792,9,2,0.222222222,,,,
793,12,2,0.166666667,,,,
794,13,1,0.076923077,,,,
795,6,1,0.166666667,,,,
796,5,1,0.2,,,,
797,10,0,0,,,,
798,10,1,0.1,,,,
799,15,1,0.066666667,,,,
800,7,2,0.285714286,,,,
801,14,4,0.285714286,,,,
802,9,3,0.333333333,,,,
803,2,0,0,,,,
804,11,5,0.454545455,,,,
805,13,2,0.153846154,,,,
806,4,1,0.25,,,,
807,13,7,0.538461538,,,,
808,11,2,0.181818182,,,,
809,5,1,0.2,,,,
810,9,1,0.111111111,,,,
811,10,3,0.3,,,,
812,10,1,0.1,,,,
813,8,2,0.25,,,,
814,17,6,0.352941176,,,,
815,18,5,0.277777778,,,,
816,16,4,0.25,,,,
817,12,7,0.583333333,,,,
818,16,9,0.5625,,,,
819,14,1,0.071428571,,,,
820,17,0,0,,,,
821,13,3,0.230769231,,,,
822,17,1,0.058823529,,,,
823,15,4,0.266666667,,,,
824,18,1,0.055555556,,,,
825,11,1,0.090909091,,,,
826,11,1,0.090909091,,,,
827,16,1,0.0625,,,,
828,16,1,0.0625,,,,
829,12,2,0.166666667,,,,
830,7,1,0.142857143,,,,
831,17,7,0.411764706,,,,
832,12,3,0.25,,,,
833,10,5,0.5,,,,
834,15,0,0,,,,
835,11,5,0.454545455,,,,
836,14,3,0.214285714,,,,
837,12,6,0.5,,,,
838,7,1,0.142857143,,,,
839,3,3,1,,,,
840,9,3,0.333333333,,,,
841,17,3,0.176470588,,,,
842,7,4,0.571428571,,,,
843,12,2,0.166666667,,,,
844,9,4,0.444444444,,,,
845,10,3,0.3,,,,
846,13,9,0.692307692,,,,
847,16,2,0.125,,,,
848,4,0,0,,,,
849,6,2,0.333333333,,,,
850,10,5,0.5,,,,
851,7,2,0.285714286,,,,
852,5,2,0.4,,,,
853,10,3,0.3,,,,
854,8,2,0.25,,,,
855,9,4,0.444444444,,,,
856,6,3,0.5,,,,
857,16,5,0.3125,,,,
