hv001,nonflaggedchildren,stuntedchildren,
884,13,2,0.153846154
885,9,1,0.111111111
886,16,1,0.0625
887,21,2,0.095238095
888,18,3,0.166666667
889,13,3,0.230769231
890,20,5,0.25
891,13,4,0.307692308
892,23,8,0.347826087
893,11,1,0.090909091
894,18,3,0.166666667
895,14,3,0.214285714
896,21,6,0.285714286
897,16,5,0.3125
898,11,1,0.090909091
899,22,6,0.272727273
900,16,0,0
901,19,8,0.421052632
902,22,8,0.363636364
903,20,6,0.3
904,18,4,0.222222222
905,28,8,0.285714286
906,11,4,0.363636364
907,15,1,0.066666667
908,11,1,0.090909091
909,8,1,0.125
910,14,4,0.285714286
911,17,7,0.411764706
912,19,6,0.315789474
913,4,1,0.25
914,23,7,0.304347826
915,19,6,0.315789474
916,12,1,0.083333333
917,17,7,0.411764706
918,19,3,0.157894737
919,24,4,0.166666667
920,14,5,0.357142857
921,9,0,0
922,21,3,0.142857143
923,20,1,0.05
924,21,1,0.047619048
925,19,4,0.210526316
926,17,2,0.117647059
927,24,5,0.208333333
928,12,2,0.166666667
929,17,1,0.058823529
930,19,1,0.052631579
931,15,3,0.2
932,8,1,0.125
933,18,3,0.166666667
934,14,2,0.142857143
935,17,5,0.294117647
936,20,6,0.3
937,17,2,0.117647059
938,10,0,0
939,12,1,0.083333333
940,14,4,0.285714286
941,6,1,0.166666667
942,10,1,0.1
943,7,3,0.428571429
944,12,2,0.166666667
945,13,2,0.153846154
946,22,6,0.272727273
947,10,3,0.3
948,19,9,0.473684211
949,13,2,0.153846154
950,13,4,0.307692308
951,4,0,0
952,11,2,0.181818182
953,21,8,0.380952381
954,9,2,0.222222222
955,15,5,0.333333333
956,17,6,0.352941176
957,9,2,0.222222222
958,8,1,0.125
959,12,4,0.333333333
960,13,1,0.076923077
961,13,3,0.230769231
962,22,3,0.136363636
963,15,2,0.133333333
964,8,1,0.125
965,19,6,0.315789474
966,11,5,0.454545455
967,14,6,0.428571429
968,11,1,0.090909091
969,8,2,0.25
970,15,5,0.333333333
971,12,3,0.25
972,10,2,0.2
973,11,4,0.363636364
974,19,9,0.473684211
975,16,7,0.4375
976,9,2,0.222222222
977,11,2,0.181818182
978,6,1,0.166666667
979,11,7,0.636363636
980,10,6,0.6
981,7,1,0.142857143
982,16,4,0.25
983,7,5,0.714285714
984,17,1,0.058823529
985,13,2,0.153846154
986,16,4,0.25
987,7,2,0.285714286
988,6,0,0
989,10,1,0.1
990,10,3,0.3
991,13,1,0.076923077
992,11,1,0.090909091
993,16,6,0.375
994,8,2,0.25
995,8,3,0.375
996,9,2,0.222222222
997,8,3,0.375
998,14,0,0
999,11,7,0.636363636
1000,17,6,0.352941176
1001,9,2,0.222222222
1002,19,3,0.157894737
1003,11,4,0.363636364
1004,9,3,0.333333333
1005,8,2,0.25
1006,12,1,0.083333333
1007,6,2,0.333333333
1008,9,3,0.333333333
1009,16,4,0.25
1010,16,4,0.25
1011,14,2,0.142857143
1012,19,4,0.210526316
1013,28,9,0.321428571
1014,25,2,0.08
1015,17,2,0.117647059
1016,5,2,0.4
1017,15,3,0.2
1018,15,5,0.333333333
1019,21,5,0.238095238
1020,24,1,0.041666667
1021,5,2,0.4
1022,18,5,0.277777778
1023,20,6,0.3
1024,20,7,0.35
1025,13,2,0.153846154
1026,7,3,0.428571429
1027,30,2,0.066666667
1028,12,2,0.166666667
1029,15,4,0.266666667
1030,22,5,0.227272727
1031,9,2,0.222222222
1032,20,7,0.35
1034,25,12,0.48
1035,21,2,0.095238095
1036,9,3,0.333333333
1037,26,6,0.230769231
1038,16,1,0.0625
1039,19,4,0.210526316
1040,8,1,0.125
1041,23,14,0.608695652
1042,9,4,0.444444444
1043,9,5,0.555555556
1044,26,14,0.538461538
1045,6,1,0.166666667
1046,16,3,0.1875
1047,10,3,0.3
1048,16,7,0.4375
1049,16,3,0.1875
1050,18,5,0.277777778
1051,31,20,0.64516129
1052,30,14,0.466666667
1053,17,10,0.588235294
1054,17,8,0.470588235
1055,22,5,0.227272727
1056,18,10,0.555555556
1058,23,8,0.347826087
1059,31,12,0.387096774
1060,22,9,0.409090909
1061,5,3,0.6
1062,30,16,0.533333333
1063,21,12,0.571428571
1064,26,9,0.346153846
1065,19,13,0.684210526
1067,17,6,0.352941176
1068,25,11,0.44
1069,14,5,0.357142857
1070,20,11,0.55
1071,21,12,0.571428571
1072,15,6,0.4
1073,13,4,0.307692308
1074,11,1,0.090909091
1075,5,1,0.2
1076,26,10,0.384615385
1077,19,5,0.263157895
1078,21,4,0.19047619
1079,12,2,0.166666667
1080,21,9,0.428571429
1081,28,10,0.357142857
1082,24,13,0.541666667
1083,19,5,0.263157895
1084,20,4,0.2
1085,16,5,0.3125
1086,26,3,0.115384615
1087,19,5,0.263157895
1088,15,4,0.266666667
1089,9,3,0.333333333
1090,20,7,0.35
1091,14,8,0.571428571
1092,15,7,0.466666667
1093,22,4,0.181818182
1094,14,2,0.142857143
1095,20,7,0.35
1096,10,2,0.2
1097,21,6,0.285714286
1098,2,0,0
1099,21,9,0.428571429
1100,13,4,0.307692308
1101,13,6,0.461538462
1103,28,8,0.285714286
1104,17,4,0.235294118
1105,10,1,0.1
1106,17,2,0.117647059
1107,15,5,0.333333333
1108,12,1,0.083333333
1109,14,4,0.285714286
1110,10,2,0.2
1111,8,1,0.125
1112,5,2,0.4
1113,5,1,0.2
1114,9,3,0.333333333
1115,10,1,0.1
1116,5,0,0
1117,13,4,0.307692308
1118,22,7,0.318181818
1119,11,2,0.181818182
1120,13,5,0.384615385
1121,9,1,0.111111111
1122,18,6,0.333333333
1123,17,2,0.117647059
1124,14,2,0.142857143
1125,17,6,0.352941176
1126,15,2,0.133333333
1127,14,5,0.357142857
1128,17,4,0.235294118
1129,17,5,0.294117647
1130,11,2,0.181818182
1131,16,5,0.3125
1132,26,10,0.384615385
1133,19,7,0.368421053
1134,20,7,0.35
1135,15,3,0.2
1136,13,4,0.307692308
1137,28,13,0.464285714
1138,14,9,0.642857143
1139,11,5,0.454545455
1140,3,1,0.333333333
1141,16,4,0.25
1142,19,2,0.105263158
1143,8,1,0.125
1144,17,4,0.235294118
1145,4,1,0.25
1146,17,8,0.470588235
1147,12,0,0
1148,10,1,0.1
1149,18,5,0.277777778
1150,13,5,0.384615385
1151,30,9,0.3
1152,7,4,0.571428571
1153,18,7,0.388888889
1154,9,0,0
1155,26,10,0.384615385
1156,15,4,0.266666667
1157,21,6,0.285714286
1158,6,1,0.166666667
1159,17,2,0.117647059
1160,12,4,0.333333333
1161,10,2,0.2
1162,11,4,0.363636364
1163,8,0,0
1164,9,4,0.444444444
1165,4,1,0.25
1166,13,4,0.307692308
1167,19,13,0.684210526
1168,14,2,0.142857143
1169,21,4,0.19047619
1170,13,2,0.153846154
1171,20,1,0.05
1172,11,5,0.454545455
1173,9,4,0.444444444
1174,20,6,0.3
1175,16,7,0.4375
1176,19,3,0.157894737
1177,10,3,0.3
1178,8,2,0.25
1179,7,4,0.571428571
1180,8,1,0.125
1181,10,1,0.1
1182,13,7,0.538461538
1183,11,4,0.363636364
1184,9,2,0.222222222
1185,11,4,0.363636364
1186,5,2,0.4
1187,15,6,0.4
1188,11,1,0.090909091
1189,11,3,0.272727273
1190,14,6,0.428571429
1191,13,5,0.384615385
1192,9,3,0.333333333
1193,5,2,0.4
1194,10,0,0
1195,21,4,0.19047619
1196,18,6,0.333333333
1197,15,5,0.333333333
1198,15,7,0.466666667
1199,22,10,0.454545455
1200,11,5,0.454545455
1201,11,3,0.272727273
1202,4,1,0.25
1203,9,2,0.222222222
1204,9,0,0
1205,8,3,0.375
1206,25,10,0.4
1207,1,1,1
1208,15,7,0.466666667
1209,13,1,0.076923077
1210,11,3,0.272727273
1212,16,8,0.5
1213,22,6,0.272727273
1214,14,7,0.5
1215,11,4,0.363636364
1216,6,3,0.5
1217,10,2,0.2
1218,11,4,0.363636364
1219,6,3,0.5
1220,14,5,0.357142857
1221,13,1,0.076923077
1222,14,5,0.357142857
1223,14,1,0.071428571
1224,12,1,0.083333333
1225,9,2,0.222222222
1226,14,4,0.285714286
1227,8,2,0.25
1228,15,1,0.066666667
1229,20,9,0.45
1230,12,4,0.333333333
1231,17,10,0.588235294
1232,16,4,0.25
1233,18,3,0.166666667
1234,11,5,0.454545455
1235,23,5,0.217391304
1236,5,1,0.2
1237,14,3,0.214285714
1238,17,7,0.411764706
1239,20,7,0.35
1240,14,7,0.5
1241,14,5,0.357142857
1242,18,8,0.444444444
1243,12,3,0.25
1244,2,1,0.5
1245,10,1,0.1
1246,14,3,0.214285714
1247,11,1,0.090909091
1248,13,1,0.076923077
1249,9,2,0.222222222
1250,14,3,0.214285714
1251,8,0,0
1252,15,6,0.4
1253,12,6,0.5
1254,20,8,0.4
1255,11,4,0.363636364
1256,8,4,0.5
1257,2,0,0
1258,7,0,0
1259,20,11,0.55
1260,14,6,0.428571429
1261,19,7,0.368421053
1262,17,4,0.235294118
1263,14,1,0.071428571
