Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
1071,1,1,1,,,,
1072,1,1,1,,,,
1073,0,0,.,,,,
1074,0,0,.,,,,
1075,0,0,.,,,,
1076,0,0,.,,,,
1077,0,0,.,,,,
1078,0,0,.,,,,
1079,0,0,.,,,,
1080,0,0,.,,,,
1081,0,0,.,,,,
1082,0,0,.,,,,
1083,0,0,.,,,,
1084,2,1,0.5,,,,
1085,0,0,.,,,,
1086,1,0,0,,,,
1087,0,0,.,,,,
1088,0,0,.,,,,
1089,0,0,.,,,,
1090,0,0,.,,,,
1091,0,0,.,,,,
1092,1,0,0,,,,
1093,1,1,1,,,,
1094,0,0,.,,,,
1095,2,1,0.5,,,,
1096,0,0,.,,,,
1097,0,0,.,,,,
1098,1,0,0,,,,
1099,0,0,.,,,,
1100,0,0,.,,,,
1101,0,0,.,,,,
1102,0,0,.,,,,
1103,0,0,.,,,,
1104,1,1,1,,,,
1105,1,1,1,,,,
1106,1,0,0,,,,
1107,0,0,.,,,,
1108,0,0,.,,,,
1109,0,0,.,,,,
1110,1,0,0,,,,
1111,1,1,1,,,,
1112,0,0,.,,,,
1113,0,0,.,,,,
1114,0,0,.,,,,
1115,0,0,.,,,,
1116,0,0,.,,,,
1117,0,0,.,,,,
1118,0,0,.,,,,
1119,0,0,.,,,,
1120,0,0,.,,,,
1121,0,0,.,,,,
1122,2,1,0.5,,,,
1123,2,1,0.5,,,,
1124,0,0,.,,,,
1125,0,0,.,,,,
1126,0,0,.,,,,
1127,2,1,0.5,,,,
1128,0,0,.,,,,
1129,1,0,0,,,,
1130,2,1,0.5,,,,
1131,0,0,.,,,,
1132,0,0,.,,,,
1133,1,0,0,,,,
1134,4,4,1,,,,
1135,1,1,1,,,,
1136,3,2,0.666666667,,,,
1137,1,0,0,,,,
1138,0,0,.,,,,
1139,0,0,.,,,,
1140,1,1,1,,,,
1141,0,0,.,,,,
1142,2,1,0.5,,,,
1143,0,0,.,,,,
1144,0,0,.,,,,
1145,2,1,0.5,,,,
1146,1,0,0,,,,
1147,4,3,0.75,,,,
1148,1,1,1,,,,
1149,1,0,0,,,,
1150,2,0,0,,,,
1151,3,2,0.666666667,,,,
1152,0,0,.,,,,
1153,0,0,.,,,,
1154,1,1,1,,,,
1155,2,2,1,,,,
1156,4,1,0.25,,,,
1157,0,0,.,,,,
1158,1,1,1,,,,
1159,0,0,.,,,,
1160,2,2,1,,,,
1161,2,0,0,,,,
1162,0,0,.,,,,
1163,0,0,.,,,,
1164,2,2,1,,,,
1165,0,0,.,,,,
1166,0,0,.,,,,
1167,0,0,.,,,,
1168,0,0,.,,,,
1169,0,0,.,,,,
1170,0,0,.,,,,
1171,0,0,.,,,,
1172,1,0,0,,,,
1173,0,0,.,,,,
1174,1,1,1,,,,
1175,0,0,.,,,,
1176,0,0,.,,,,
1177,1,0,0,,,,
1178,0,0,.,,,,
1179,0,0,.,,,,
1180,2,1,0.5,,,,
1181,0,0,.,,,,
1182,1,0,0,,,,
1183,0,0,.,,,,
1184,0,0,.,,,,
1185,0,0,.,,,,
1186,0,0,.,,,,
1187,1,1,1,,,,
1188,0,0,.,,,,
1189,1,0,0,,,,
1190,0,0,.,,,,
1191,1,0,0,,,,
1192,0,0,.,,,,
1193,2,1,0.5,,,,
1194,0,0,.,,,,
1195,1,1,1,,,,
1196,0,0,.,,,,
1197,1,1,1,,,,
1198,0,0,.,,,,
1199,1,1,1,,,,
1200,0,0,.,,,,
1201,1,0,0,,,,
1202,0,0,.,,,,
1203,1,1,1,,,,
1204,0,0,.,,,,
1205,3,1,0.333333333,,,,
1206,0,0,.,,,,
1207,0,0,.,,,,
1208,1,0,0,,,,
1209,0,0,.,,,,
1210,1,0,0,,,,
1211,2,1,0.5,,,,
1212,0,0,.,,,,
1213,2,1,0.5,,,,
1214,1,0,0,,,,
1215,1,1,1,,,,
1216,0,0,.,,,,
1217,2,2,1,,,,
1218,0,0,.,,,,
1219,3,1,0.333333333,,,,
1220,0,0,.,,,,
1221,0,0,.,,,,
1222,0,0,.,,,,
1223,0,0,.,,,,
1224,0,0,.,,,,
1225,1,1,1,,,,
1226,0,0,.,,,,
1227,1,0,0,,,,
1228,1,0,0,,,,
1229,0,0,.,,,,
1230,0,0,.,,,,
1231,0,0,.,,,,
1232,1,0,0,,,,
1233,3,3,1,,,,
1234,0,0,.,,,,
1235,2,0,0,,,,
1236,0,0,.,,,,
1237,0,0,.,,,,
1238,1,1,1,,,,
1239,2,2,1,,,,
1240,0,0,.,,,,
1241,2,2,1,,,,
1242,0,0,.,,,,
1243,1,1,1,,,,
1244,0,0,.,,,,
1245,1,1,1,,,,
1246,0,0,.,,,,
1247,0,0,.,,,,
1248,0,0,.,,,,
1249,1,1,1,,,,
1250,1,1,1,,,,
1251,0,0,.,,,,
1252,0,0,.,,,,
1253,0,0,.,,,,
1254,0,0,.,,,,
1255,1,1,1,,,,
1256,1,0,0,,,,
1257,2,1,0.5,,,,
1258,1,1,1,,,,
1259,0,0,.,,,,
1260,0,0,.,,,,
1261,0,0,.,,,,
1262,0,0,.,,,,
1263,1,1,1,,,,
1264,0,0,.,,,,
1265,1,0,0,,,,
1266,0,0,.,,,,
1267,2,1,0.5,,,,
1268,1,0,0,,,,
1269,1,1,1,,,,
1270,0,0,.,,,,
1271,0,0,.,,,,
1272,1,1,1,,,,
1273,0,0,.,,,,
1274,1,0,0,,,,
1275,1,1,1,,,,
1276,0,0,.,,,,
1277,0,0,.,,,,
1278,0,0,.,,,,
1279,1,0,0,,,,
1280,2,1,0.5,,,,
1281,2,2,1,,,,
1282,0,0,.,,,,
1283,0,0,.,,,,
1284,1,1,1,,,,
1285,0,0,.,,,,
1286,1,1,1,,,,
1287,3,2,0.666666667,,,,
1288,0,0,.,,,,
1289,0,0,.,,,,
1290,2,0,0,,,,
1291,0,0,.,,,,
1292,0,0,.,,,,
1293,0,0,.,,,,
1294,1,0,0,,,,
1295,1,1,1,,,,
1296,2,1,0.5,,,,
1297,1,1,1,,,,
1298,0,0,.,,,,
1299,0,0,.,,,,
1300,1,0,0,,,,
1301,1,0,0,,,,
1302,1,0,0,,,,
1303,2,0,0,,,,
1304,2,2,1,,,,
1305,0,0,.,,,,
1306,0,1,.,,,,
1307,1,0,0,,,,
1308,1,1,1,,,,
1309,0,0,.,,,,
1310,0,0,.,,,,
1311,1,1,1,,,,
1312,1,1,1,,,,
1313,0,0,.,,,,
1314,0,0,.,,,,
1315,0,0,.,,,,
1316,0,0,.,,,,
1317,0,0,.,,,,
1318,0,0,.,,,,
1319,0,0,.,,,,
1320,0,0,.,,,,
1321,0,0,.,,,,
1322,0,0,.,,,,
1323,2,2,1,,,,
1324,0,0,.,,,,
1325,0,0,.,,,,
1326,0,0,.,,,,
1327,0,0,.,,,,
1328,1,0,0,,,,
1329,0,0,.,,,,
1330,0,0,.,,,,
1331,0,0,.,,,,
1332,1,1,1,,,,
1333,1,1,1,,,,
1334,0,0,.,,,,
1335,0,0,.,,,,
1336,2,2,1,,,,
1337,0,0,.,,,,
1338,2,0,0,,,,
1339,0,0,.,,,,
1340,0,0,.,,,,
1341,2,1,0.5,,,,
1342,2,1,0.5,,,,
1343,1,1,1,,,,
1344,0,0,.,,,,
1345,1,0,0,,,,
1346,1,1,1,,,,
1347,0,0,.,,,,
1348,0,0,.,,,,
1349,1,1,1,,,,
1350,0,0,.,,,,
1351,0,0,.,,,,
1352,0,0,.,,,,
1353,0,0,.,,,,
1354,0,0,.,,,,
1355,2,0,0,,,,
1356,0,0,.,,,,
1357,2,1,0.5,,,,
1358,0,0,.,,,,
1359,0,0,.,,,,
1360,0,0,.,,,,
1361,0,0,.,,,,
1362,1,1,1,,,,
1363,2,2,1,,,,
1364,1,0,0,,,,
1365,0,0,.,,,,
1366,1,1,1,,,,
1367,1,0,0,,,,
1368,0,0,.,,,,
1369,3,1,0.333333333,,,,
1370,0,0,.,,,,
1371,0,0,.,,,,
1372,2,1,0.5,,,,
1373,1,0,0,,,,
1374,0,0,.,,,,
1375,0,0,.,,,,
1376,0,0,.,,,,
1377,2,2,1,,,,
1378,0,0,.,,,,
1379,0,0,.,,,,
1380,0,0,.,,,,
1381,0,0,.,,,,
1382,1,0,0,,,,
1383,1,0,0,,,,
1384,0,0,.,,,,
1385,2,0,0,,,,
1386,0,0,.,,,,
1387,2,1,0.5,,,,
1388,0,0,.,,,,
1389,0,0,.,,,,
1390,0,0,.,,,,
1391,0,0,.,,,,
1392,0,0,.,,,,
1393,1,1,1,,,,
1394,2,1,0.5,,,,
1395,2,2,1,,,,
1396,0,0,.,,,,
1397,2,1,0.5,,,,
1398,2,1,0.5,,,,
1399,1,1,1,,,,
1400,0,0,.,,,,
1401,1,1,1,,,,
1402,0,0,.,,,,
1403,0,0,.,,,,
1404,1,1,1,,,,
1405,0,0,.,,,,
1406,0,0,.,,,,
1407,0,0,.,,,,
1408,2,1,0.5,,,,
1409,2,2,1,,,,
1410,0,0,.,,,,
1411,0,0,.,,,,
1412,1,0,0,,,,
1413,1,0,0,,,,
1414,4,2,0.5,,,,
1415,2,1,0.5,,,,
1416,2,0,0,,,,
1417,2,2,1,,,,
1418,2,0,0,,,,
1419,0,0,.,,,,
1420,1,0,0,,,,
1421,0,0,.,,,,
1422,0,0,.,,,,
1423,1,0,0,,,,
1424,0,0,.,,,,
1425,0,0,.,,,,
1426,0,0,.,,,,
1427,0,0,.,,,,
1428,1,0,0,,,,
1429,0,0,.,,,,
1430,0,0,.,,,,
1431,0,0,.,,,,
1432,0,0,.,,,,
1433,0,0,.,,,,
1434,0,0,.,,,,
1435,0,0,.,,,,
1436,0,0,.,,,,
1437,1,1,1,,,,
1438,0,0,.,,,,
1439,0,0,.,,,,
1440,0,0,.,,,,
1441,1,1,1,,,,
1442,0,0,.,,,,
1443,0,0,.,,,,
1444,3,3,1,,,,
1445,0,0,.,,,,
1446,0,0,.,,,,
1447,0,0,.,,,,
1448,0,0,.,,,,
1449,1,0,0,,,,
1450,1,0,0,,,,
1451,0,0,.,,,,
1452,0,0,.,,,,
1453,0,0,.,,,,
1454,0,0,.,,,,
1455,0,0,.,,,,
1456,0,0,.,,,,
1457,0,0,.,,,,
1458,1,1,1,,,,
1459,0,0,.,,,,
1460,1,1,1,,,,
1461,1,1,1,,,,
1462,1,1,1,,,,
1463,0,0,.,,,,
1464,1,0,0,,,,
1465,0,0,.,,,,
1466,0,0,.,,,,
1467,0,0,.,,,,
1468,0,0,.,,,,
1469,0,0,.,,,,
1470,0,0,.,,,,
1471,0,0,.,,,,
1472,0,0,.,,,,
1473,1,1,1,,,,
1474,0,0,.,,,,
1475,0,0,.,,,,
1476,2,2,1,,,,
1477,0,0,.,,,,
1478,1,0,0,,,,
1479,0,0,.,,,,
1480,0,0,.,,,,
1481,0,0,.,,,,
1482,0,1,.,,,,
1483,1,1,1,,,,
1484,0,0,.,,,,
1485,0,0,.,,,,
1486,1,1,1,,,,
1487,2,1,0.5,,,,
1488,0,0,.,,,,
1489,0,0,.,,,,
1490,1,1,1,,,,
1491,1,1,1,,,,
1492,1,1,1,,,,
1493,0,0,.,,,,
1494,0,0,.,,,,
1495,0,0,.,,,,
1496,0,0,.,,,,
1497,1,0,0,,,,
1498,0,0,.,,,,
1499,0,0,.,,,,
1500,0,0,.,,,,
1501,1,1,1,,,,
1502,0,0,.,,,,
1503,0,0,.,,,,
1504,0,0,.,,,,
1505,1,0,0,,,,
1506,2,2,1,,,,
1507,0,0,.,,,,
1508,2,1,0.5,,,,
1509,0,0,.,,,,
1510,1,0,0,,,,
1511,0,0,.,,,,
1512,2,2,1,,,,
1513,0,0,.,,,,
1514,1,1,1,,,,
1515,0,0,.,,,,
1516,2,1,0.5,,,,
1517,0,0,.,,,,
1518,0,0,.,,,,
1519,0,0,.,,,,
1520,0,0,.,,,,
1521,1,0,0,,,,
1522,0,0,.,,,,
1523,0,0,.,,,,
1524,0,0,.,,,,
1525,2,2,1,,,,
1526,0,0,.,,,,
1527,0,0,.,,,,
1528,0,0,.,,,,
1529,0,0,.,,,,
1530,1,0,0,,,,
1531,2,1,0.5,,,,
1532,4,3,0.75,,,,
1533,0,0,.,,,,
1534,1,0,0,,,,
1535,1,0,0,,,,
1536,1,0,0,,,,
1537,1,1,1,,,,
1538,1,0,0,,,,
1539,3,1,0.333333333,,,,
1540,1,1,1,,,,
1541,0,0,.,,,,
1542,0,0,.,,,,
1543,2,2,1,,,,
1544,1,1,1,,,,
1545,1,1,1,,,,
1546,1,1,1,,,,
1547,0,0,.,,,,
1548,3,3,1,,,,
1549,0,0,.,,,,
1550,0,0,.,,,,
1551,0,0,.,,,,
1552,2,2,1,,,,
1553,1,1,1,,,,
1554,0,0,.,,,,
1555,1,1,1,,,,
1556,1,1,1,,,,
1557,0,0,.,,,,
1558,1,1,1,,,,
1559,2,1,0.5,,,,
1560,0,0,.,,,,
1561,0,0,.,,,,
1562,0,0,.,,,,
1563,1,0,0,,,,
1564,0,0,.,,,,
1565,0,0,.,,,,
1566,0,0,.,,,,
1567,1,0,0,,,,
1568,1,0,0,,,,
1569,1,1,1,,,,
1570,1,1,1,,,,
1571,0,0,.,,,,
1572,1,0,0,,,,
1573,1,0,0,,,,
1574,1,0,0,,,,
1575,1,0,0,,,,
1576,0,0,.,,,,
1577,1,0,0,,,,
1578,0,0,.,,,,
1579,0,0,.,,,,
1580,0,0,.,,,,
1581,0,0,.,,,,
1582,2,1,0.5,,,,
1583,1,0,0,,,,
1584,2,0,0,,,,
1585,0,0,.,,,,
1586,3,1,0.333333333,,,,
1587,0,0,.,,,,
1588,0,0,.,,,,
1589,0,0,.,,,,
1590,0,0,.,,,,
1591,1,1,1,,,,
1592,2,1,0.5,,,,
1593,0,0,.,,,,
1594,2,1,0.5,,,,
1595,0,0,.,,,,
1596,0,0,.,,,,
1597,0,0,.,,,,
1598,2,1,0.5,,,,
1599,0,0,.,,,,
1600,1,0,0,,,,
1601,0,0,.,,,,
1602,0,0,.,,,,
1603,1,0,0,,,,
1604,0,0,.,,,,
1605,0,0,.,,,,
1606,0,0,.,,,,
1607,0,0,.,,,,
1608,1,1,1,,,,
1609,0,0,.,,,,
1610,1,0,0,,,,
1611,2,0,0,,,,
1612,0,0,.,,,,
1613,1,0,0,,,,
1614,0,0,.,,,,
1615,0,0,.,,,,
1616,0,0,.,,,,
1617,0,0,.,,,,
1618,0,0,.,,,,
1619,1,0,0,,,,
1620,2,2,1,,,,
1621,0,0,.,,,,
1622,1,1,1,,,,
1623,1,1,1,,,,
1624,0,0,.,,,,
1625,1,1,1,,,,
1626,0,0,.,,,,
1627,2,0,0,,,,
1628,1,1,1,,,,
1629,1,1,1,,,,
1630,0,0,.,,,,
1631,0,0,.,,,,
1632,0,0,.,,,,
1633,0,0,.,,,,
1634,0,0,.,,,,
1635,1,1,1,,,,
1636,0,0,.,,,,
1637,0,0,.,,,,
1638,0,0,.,,,,
1639,0,0,.,,,,
1640,0,0,.,,,,
1641,0,0,.,,,,
1642,0,0,.,,,,
1643,1,1,1,,,,
1644,0,0,.,,,,
1645,0,0,.,,,,
1646,0,0,.,,,,
1647,0,0,.,,,,
1648,0,0,.,,,,
1649,0,0,.,,,,
1650,0,0,.,,,,
1651,1,1,1,,,,
1652,1,0,0,,,,
1653,0,0,.,,,,
1654,0,0,.,,,,
1655,0,0,.,,,,
1656,0,0,.,,,,
1657,1,0,0,,,,
1658,0,0,.,,,,
1659,0,0,.,,,,
1660,0,0,.,,,,
1661,2,1,0.5,,,,
1662,1,1,1,,,,
1663,0,0,.,,,,
1664,1,1,1,,,,
1665,0,0,.,,,,
1666,1,1,1,,,,
1667,1,1,1,,,,
1668,1,1,1,,,,
1669,0,0,.,,,,
1670,0,0,.,,,,
1671,0,0,.,,,,
1672,0,0,.,,,,
1673,0,0,.,,,,
1674,0,0,.,,,,
1675,0,0,.,,,,
1676,0,0,.,,,,
1677,1,0,0,,,,
1678,0,0,.,,,,
1679,0,0,.,,,,
1680,0,0,.,,,,
1681,0,0,.,,,,
1682,1,0,0,,,,
1683,0,0,.,,,,
1684,0,0,.,,,,
1685,0,0,.,,,,
1686,0,0,.,,,,
1687,0,0,.,,,,
1688,1,0,0,,,,
1689,2,0,0,,,,
1690,1,1,1,,,,
1691,0,0,.,,,,
1692,0,0,.,,,,
,1029,593,0.56420765,,,,
