hv001,Relevantpop,improvedwater,
612,23,23,1
613,24,19,0.791666667
614,23,18,0.782608696
615,24,22,0.916666667
616,23,22,0.956521739
617,24,18,0.75
618,24,17,0.708333333
619,23,23,1
620,23,18,0.782608696
621,24,21,0.875
622,19,19,1
623,24,22,0.916666667
624,25,25,1
625,21,21,1
626,23,22,0.956521739
627,22,21,0.954545455
628,19,18,0.947368421
629,23,23,1
630,24,21,0.875
631,24,23,0.958333333
632,22,21,0.954545455
633,24,24,1
634,22,22,1
635,23,20,0.869565217
636,25,24,0.96
637,21,21,1
638,22,22,1
639,19,18,0.947368421
640,25,17,0.68
641,25,15,0.6
642,22,19,0.863636364
643,23,22,0.956521739
644,24,24,1
645,20,20,1
646,25,21,0.84
647,25,25,1
648,23,22,0.956521739
649,23,23,1
650,25,19,0.76
651,25,22,0.88
652,24,23,0.958333333
653,24,13,0.541666667
654,24,20,0.833333333
655,25,25,1
656,25,25,1
657,24,24,1
658,21,21,1
659,23,23,1
660,19,18,0.947368421
661,24,24,1
662,25,25,1
663,22,22,1
664,24,22,0.916666667
665,22,22,1
666,20,20,1
667,20,20,1
668,23,20,0.869565217
669,25,21,0.84
670,25,22,0.88
671,24,23,0.958333333
672,25,24,0.96
673,23,23,1
674,25,19,0.76
675,24,17,0.708333333
676,18,16,0.888888889
677,24,22,0.916666667
678,23,23,1
679,22,22,1
680,24,14,0.583333333
681,24,7,0.291666667
682,20,20,1
683,21,17,0.80952381
684,18,14,0.777777778
685,24,23,0.958333333
686,25,10,0.4
687,24,24,1
688,19,19,1
689,24,21,0.875
690,24,22,0.916666667
691,21,21,1
692,22,22,1
693,23,19,0.826086957
694,23,22,0.956521739
695,25,10,0.4
696,25,5,0.2
697,21,16,0.761904762
698,25,6,0.24
699,23,20,0.869565217
700,24,24,1
701,25,25,1
702,21,21,1
703,21,21,1
704,21,21,1
705,25,19,0.76
706,20,16,0.8
707,21,20,0.952380952
708,23,21,0.913043478
709,25,23,0.92
710,25,24,0.96
711,24,18,0.75
712,25,13,0.52
713,24,20,0.833333333
714,14,14,1
715,20,20,1
716,25,22,0.88
717,23,22,0.956521739
718,20,15,0.75
719,16,16,1
720,23,6,0.260869565
721,21,19,0.904761905
722,23,21,0.913043478
723,22,21,0.954545455
724,21,8,0.380952381
725,19,18,0.947368421
726,25,25,1
727,24,18,0.75
728,22,16,0.727272727
729,25,20,0.8
730,24,22,0.916666667
731,22,15,0.681818182
732,23,15,0.652173913
733,16,16,1
734,19,14,0.736842105
735,23,22,0.956521739
736,23,22,0.956521739
737,22,19,0.863636364
738,24,23,0.958333333
739,25,19,0.76
740,21,21,1
741,21,21,1
742,22,22,1
743,25,23,0.92
744,25,24,0.96
745,23,20,0.869565217
746,22,21,0.954545455
747,24,23,0.958333333
748,19,19,1
749,19,19,1
750,24,24,1
751,21,19,0.904761905
752,23,19,0.826086957
753,22,20,0.909090909
754,22,22,1
755,21,20,0.952380952
756,21,21,1
757,24,24,1
758,20,20,1
759,24,24,1
760,21,21,1
761,18,17,0.944444444
762,24,21,0.875
763,20,18,0.9
764,21,21,1
765,21,21,1
766,22,22,1
767,22,22,1
768,15,15,1
769,15,14,0.933333333
770,24,24,1
771,13,12,0.923076923
772,17,17,1
773,23,23,1
774,24,24,1
775,24,23,0.958333333
776,24,24,1
777,23,23,1
778,24,21,0.875
779,25,23,0.92
780,25,5,0.2
781,25,25,1
782,24,0,0
783,22,22,1
784,23,23,1
785,23,23,1
786,20,20,1
787,22,4,0.181818182
788,23,8,0.347826087
789,23,23,1
790,18,14,0.777777778
791,22,22,1
792,20,0,0
793,24,12,0.5
794,25,19,0.76
795,23,7,0.304347826
796,11,2,0.181818182
797,24,16,0.666666667
798,25,23,0.92
799,23,1,0.043478261
800,21,16,0.761904762
801,24,23,0.958333333
802,25,24,0.96
803,7,0,0
804,23,22,0.956521739
805,24,18,0.75
806,19,16,0.842105263
807,23,23,1
808,24,18,0.75
809,22,20,0.909090909
810,18,18,1
811,25,24,0.96
812,19,2,0.105263158
813,22,17,0.772727273
814,25,24,0.96
815,25,3,0.12
816,25,22,0.88
817,24,4,0.166666667
818,25,1,0.04
819,23,21,0.913043478
820,24,4,0.166666667
821,25,3,0.12
822,24,19,0.791666667
823,25,14,0.56
824,24,0,0
825,23,0,0
826,21,5,0.238095238
827,25,14,0.56
828,22,0,0
829,25,11,0.44
830,24,23,0.958333333
831,24,13,0.541666667
832,24,7,0.291666667
833,25,3,0.12
834,25,0,0
835,22,7,0.318181818
836,22,22,1
837,24,16,0.666666667
838,24,22,0.916666667
839,22,22,1
840,24,8,0.333333333
841,25,2,0.08
842,22,21,0.954545455
843,24,18,0.75
844,22,14,0.636363636
845,25,13,0.52
846,25,24,0.96
847,22,0,0
848,21,21,1
849,19,18,0.947368421
850,22,20,0.909090909
851,21,21,1
852,20,17,0.85
853,24,24,1
854,18,15,0.833333333
855,21,20,0.952380952
856,20,20,1
857,20,1,0.05
858,23,18,0.782608696
859,23,1,0.043478261
860,20,17,0.85
861,22,4,0.181818182
862,18,5,0.277777778
863,20,18,0.9
864,24,19,0.791666667
865,23,11,0.47826087
866,23,7,0.304347826
867,21,1,0.047619048
868,18,0,0
869,23,0,0
870,16,0,0
871,23,12,0.52173913
872,17,9,0.529411765
873,22,21,0.954545455
874,15,12,0.8
875,25,0,0
876,22,0,0
877,25,3,0.12
878,25,0,0
879,22,21,0.954545455
880,22,17,0.772727273
881,24,12,0.5
882,25,25,1
883,24,24,1
884,19,19,1
885,21,21,1
886,12,12,1
887,23,23,1
888,24,22,0.916666667
889,25,23,0.92
890,25,19,0.76
891,19,16,0.842105263
892,23,18,0.782608696
893,25,22,0.88
894,23,20,0.869565217
895,24,11,0.458333333
896,22,20,0.909090909
897,25,23,0.92
898,23,16,0.695652174
899,22,22,1
900,24,24,1
901,20,17,0.85
902,24,17,0.708333333
903,25,25,1
904,24,12,0.5
905,22,22,1
906,22,22,1
907,22,22,1
908,21,21,1
909,24,21,0.875
910,19,19,1
911,25,19,0.76
912,22,21,0.954545455
913,24,24,1
914,25,23,0.92
915,23,23,1
916,25,16,0.64
917,25,25,1
918,24,23,0.958333333
919,22,14,0.636363636
920,21,19,0.904761905
921,25,14,0.56
922,21,20,0.952380952
923,25,25,1
924,22,22,1
925,23,23,1
926,22,22,1
927,23,23,1
928,25,25,1
929,25,19,0.76
930,23,23,1
931,24,8,0.333333333
932,25,12,0.48
933,23,23,1
934,22,22,1
935,25,21,0.84
936,24,14,0.583333333
937,23,23,1
938,23,22,0.956521739
939,23,20,0.869565217
940,25,17,0.68
941,25,16,0.64
942,24,15,0.625
943,23,22,0.956521739
944,23,17,0.739130435
945,25,21,0.84
946,17,17,1
947,19,17,0.894736842
948,21,20,0.952380952
949,21,21,1
950,23,21,0.913043478
951,25,15,0.6
952,24,18,0.75
953,20,20,1
954,21,19,0.904761905
955,25,25,1
956,23,20,0.869565217
957,23,21,0.913043478
958,25,20,0.8
959,22,15,0.681818182
960,24,17,0.708333333
961,25,20,0.8
962,24,21,0.875
963,24,21,0.875
964,25,22,0.88
965,25,20,0.8
966,24,18,0.75
967,21,19,0.904761905
968,24,17,0.708333333
969,25,17,0.68
970,23,20,0.869565217
971,21,2,0.095238095
972,21,3,0.142857143
973,23,7,0.304347826
974,23,2,0.086956522
975,22,18,0.818181818
976,23,3,0.130434783
977,25,13,0.52
978,20,14,0.7
979,24,12,0.5
980,10,8,0.8
981,21,20,0.952380952
982,23,23,1
983,23,10,0.434782609
984,25,20,0.8
985,22,19,0.863636364
986,24,14,0.583333333
987,24,7,0.291666667
988,23,8,0.347826087
989,22,19,0.863636364
990,24,21,0.875
991,25,15,0.6
992,25,6,0.24
993,21,2,0.095238095
994,23,13,0.565217391
995,25,6,0.24
996,24,10,0.416666667
997,20,18,0.9
998,22,8,0.363636364
999,23,15,0.652173913
1000,24,22,0.916666667
1001,22,6,0.272727273
1002,24,17,0.708333333
1003,22,9,0.409090909
1004,23,6,0.260869565
1005,21,8,0.380952381
1006,31,31,1
1007,25,14,0.56
1008,25,4,0.16
1009,25,11,0.44
1010,23,1,0.043478261
1011,25,24,0.96
1012,23,15,0.652173913
1013,23,12,0.52173913
1014,24,11,0.458333333
1015,24,10,0.416666667
1016,24,17,0.708333333
1017,23,10,0.434782609
1018,24,5,0.208333333
1019,25,22,0.88
1020,23,5,0.217391304
1021,22,13,0.590909091
1022,23,23,1
1023,22,20,0.909090909
1024,18,18,1
1025,18,16,0.888888889
1026,24,13,0.541666667
1027,21,17,0.80952381
1028,25,3,0.12
1029,25,0,0
1030,22,1,0.045454545
1031,24,1,0.041666667
1032,24,17,0.708333333
1033,21,1,0.047619048
1034,23,19,0.826086957
1035,25,23,0.92
1036,24,11,0.458333333
1037,24,3,0.125
1038,21,21,1
1039,24,24,1
1040,24,24,1
1041,22,19,0.863636364
1042,24,22,0.916666667
1043,22,14,0.636363636
1044,23,13,0.565217391
1045,23,14,0.608695652
1046,20,19,0.95
1047,25,0,0
1048,25,24,0.96
1049,25,12,0.48
1050,22,14,0.636363636
1051,20,19,0.95
1052,25,17,0.68
1053,19,3,0.157894737
1054,25,10,0.4
1055,23,23,1
1056,20,12,0.6
1057,20,20,1
1058,24,24,1
1059,20,20,1
1060,24,24,1
1061,19,19,1
1062,24,12,0.5
1063,21,21,1
1064,16,16,1
1065,17,17,1
1066,24,23,0.958333333
1067,23,22,0.956521739
1068,22,19,0.863636364
1069,22,14,0.636363636
1070,23,22,0.956521739
1071,20,14,0.7
1072,25,16,0.64
1073,25,16,0.64
1074,24,19,0.791666667
1075,22,12,0.545454545
1076,24,4,0.166666667
1077,22,0,0
1078,24,22,0.916666667
1079,22,15,0.681818182
1080,23,15,0.652173913
1081,22,8,0.363636364
1082,14,14,1
1083,23,14,0.608695652
1084,22,18,0.818181818
1085,23,21,0.913043478
1086,21,20,0.952380952
1087,23,23,1
1088,21,21,1
1089,25,7,0.28
1090,25,25,1
1091,22,2,0.090909091
1092,25,4,0.16
1093,22,8,0.363636364
1094,23,15,0.652173913
1095,21,19,0.904761905
1096,22,14,0.636363636
1097,22,0,0
1098,22,19,0.863636364
1099,23,10,0.434782609
1100,23,22,0.956521739
1101,18,18,1
1102,25,23,0.92
1103,19,19,1
1104,22,22,1
1105,25,23,0.92
1106,25,23,0.92
1107,25,25,1
1108,25,25,1
1109,25,25,1
1110,25,25,1
1111,25,25,1
1112,25,23,0.92
1113,25,21,0.84
1114,25,25,1
1115,22,22,1
1116,19,19,1
1117,23,23,1
1118,18,18,1
1119,23,23,1
1120,25,25,1
1121,25,15,0.6
1122,24,5,0.208333333
1123,25,25,1
1124,25,23,0.92
1125,25,23,0.92
1126,25,20,0.8
1127,25,24,0.96
1128,25,20,0.8
1129,25,24,0.96
1130,25,20,0.8
1131,21,19,0.904761905
1132,21,20,0.952380952
1133,25,20,0.8
1134,21,21,1
1135,21,21,1
1136,23,20,0.869565217
1137,17,17,1
1138,20,20,1
1139,20,20,1
1140,20,20,1
1141,21,21,1
1142,25,9,0.36
1143,25,12,0.48
1144,25,15,0.6
1145,24,3,0.125
1146,23,0,0
1147,24,21,0.875
1148,16,16,1
1149,23,10,0.434782609
1150,23,16,0.695652174
1151,24,10,0.416666667
1152,23,21,0.913043478
1153,22,19,0.863636364
1154,23,21,0.913043478
1155,25,18,0.72
1156,25,12,0.48
1157,25,8,0.32
1158,24,17,0.708333333
1159,23,21,0.913043478
1160,25,14,0.56
1161,25,10,0.4
1162,24,21,0.875
1163,25,10,0.4
1164,24,5,0.208333333
1165,21,21,1
1166,19,19,1
1167,23,18,0.782608696
1168,19,19,1
1169,24,24,1
1170,22,22,1
1171,23,23,1
1172,24,24,1
1173,22,22,1
1174,17,15,0.882352941
1175,25,25,1
1176,18,18,1
1177,21,21,1
1178,22,22,1
1179,22,22,1
1180,21,21,1
1181,21,21,1
1182,23,23,1
1183,24,24,1
1184,21,21,1
1185,20,20,1
1186,20,20,1
1187,25,25,1
1188,21,21,1
1189,19,0,0
1190,23,23,1
1191,20,0,0
1192,24,8,0.333333333
1193,24,6,0.25
1194,22,0,0
1195,25,25,1
1196,22,22,1
1197,22,21,0.954545455
1198,14,14,1
1199,24,23,0.958333333
1200,20,20,1
1201,25,25,1
1202,21,21,1
1203,24,22,0.916666667
1204,23,15,0.652173913
1205,20,18,0.9
1206,24,12,0.5
1207,22,22,1
1208,25,16,0.64
1209,24,18,0.75
1210,25,13,0.52
1211,23,21,0.913043478
1212,23,17,0.739130435
1213,24,20,0.833333333
1214,24,18,0.75
1215,22,19,0.863636364
1216,22,13,0.590909091
1217,24,21,0.875
1218,25,20,0.8
1219,25,19,0.76
1220,22,22,1
1221,23,23,1
1222,17,17,1
1223,23,11,0.47826087
1224,23,23,1
1225,19,19,1
1226,23,23,1
1227,25,11,0.44
1228,24,21,0.875
1229,24,17,0.708333333
1230,24,8,0.333333333
1231,24,6,0.25
1232,24,7,0.291666667
1233,25,13,0.52
1234,23,17,0.739130435
1235,22,14,0.636363636
1236,21,21,1
1237,23,14,0.608695652
1238,24,14,0.583333333
1239,25,23,0.92
1240,24,23,0.958333333
1241,25,9,0.36
1242,21,13,0.619047619
1243,23,20,0.869565217
1244,24,20,0.833333333
1245,23,15,0.652173913
1246,23,20,0.869565217
1247,23,16,0.695652174
1248,22,21,0.954545455
1249,24,20,0.833333333
1250,25,14,0.56
1251,24,11,0.458333333
1252,25,15,0.6
1253,20,20,1
1254,24,24,1
1255,25,21,0.84
1256,25,24,0.96
1257,24,16,0.666666667
1258,24,15,0.625
1259,21,19,0.904761905
1260,23,22,0.956521739
1261,24,18,0.75
1262,23,23,1
1263,25,21,0.84
1264,23,22,0.956521739
1265,25,21,0.84
1266,23,21,0.913043478
1267,21,21,1
1268,24,22,0.916666667
1269,23,21,0.913043478
1270,24,20,0.833333333
1271,21,20,0.952380952
1272,25,24,0.96
1273,24,21,0.875
1274,24,24,1
1275,25,24,0.96
1276,25,25,1
1277,23,21,0.913043478
1278,24,20,0.833333333
1279,19,19,1
1280,16,16,1
1281,23,23,1
1282,22,21,0.954545455
1283,22,22,1
1284,22,22,1
1285,19,19,1
1286,20,13,0.65
1287,25,17,0.68
1288,24,23,0.958333333
1289,21,19,0.904761905
1290,22,20,0.909090909
1291,23,21,0.913043478
1292,24,7,0.291666667
1293,22,21,0.954545455
1294,25,25,1
1295,25,25,1
1296,22,20,0.909090909
1297,22,22,1
1298,20,20,1
1299,24,22,0.916666667
1300,24,7,0.291666667
1301,24,23,0.958333333
1302,23,23,1
1303,25,18,0.72
1304,22,20,0.909090909
1305,24,20,0.833333333
1306,24,23,0.958333333
1307,22,22,1
1308,19,18,0.947368421
1309,25,24,0.96
1310,25,25,1
1311,24,19,0.791666667
1312,23,17,0.739130435
1313,25,19,0.76
1314,23,21,0.913043478
1315,22,21,0.954545455
1316,23,21,0.913043478
1317,24,17,0.708333333
1318,22,21,0.954545455
1319,24,23,0.958333333
1320,25,25,1
1321,24,12,0.5
1322,23,23,1
1323,25,25,1
1324,24,24,1
1325,25,23,0.92
1326,24,23,0.958333333
1327,25,25,1
1328,24,24,1
1329,23,23,1
1330,25,25,1
1331,18,18,1
1332,23,23,1
1333,25,17,0.68
1334,25,25,1
1335,23,22,0.956521739
1336,20,20,1
1337,25,14,0.56
1338,23,21,0.913043478
1339,24,22,0.916666667
1340,22,18,0.818181818
1341,24,16,0.666666667
1342,25,23,0.92
1343,22,9,0.409090909
1344,18,15,0.833333333
1345,25,17,0.68
