Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.064747649,,Weighted natioal estimate,,5.4,StatCompiler,6.5
,,,,,,,
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
209,19,5,0.263157895,,,,
210,19,2,0.105263158,,,,
211,20,4,0.2,,,,
212,21,4,0.19047619,,,,
213,9,2,0.222222222,,,,
214,17,2,0.117647059,,,,
215,20,1,0.05,,,,
216,16,2,0.125,,,,
217,17,4,0.235294118,,,,
218,14,2,0.142857143,,,,
219,3,3,1,,,,
220,34,4,0.117647059,,,,
221,29,0,0,,,,
222,14,1,0.071428571,,,,
223,30,2,0.066666667,,,,
224,36,5,0.138888889,,,,
225,26,1,0.038461538,,,,
226,18,1,0.055555556,,,,
227,27,4,0.148148148,,,,
228,33,5,0.151515152,,,,
229,23,3,0.130434783,,,,
230,6,2,0.333333333,,,,
231,10,1,0.1,,,,
232,6,2,0.333333333,,,,
233,14,3,0.214285714,,,,
234,17,3,0.176470588,,,,
235,24,2,0.083333333,,,,
236,10,0,0,,,,
237,25,4,0.16,,,,
238,12,1,0.083333333,,,,
239,35,4,0.114285714,,,,
240,8,4,0.5,,,,
241,13,0,0,,,,
242,16,1,0.0625,,,,
243,21,2,0.095238095,,,,
244,22,2,0.090909091,,,,
245,16,0,0,,,,
246,25,4,0.16,,,,
247,7,1,0.142857143,,,,
248,8,0,0,,,,
249,10,0,0,,,,
250,22,1,0.045454545,,,,
251,11,1,0.090909091,,,,
252,21,2,0.095238095,,,,
253,16,0,0,,,,
254,36,1,0.027777778,,,,
255,18,2,0.111111111,,,,
256,20,2,0.1,,,,
257,24,5,0.208333333,,,,
258,29,0,0,,,,
259,13,1,0.076923077,,,,
260,51,0,0,,,,
261,32,9,0.28125,,,,
262,39,4,0.102564103,,,,
263,28,2,0.071428571,,,,
264,39,4,0.102564103,,,,
265,28,3,0.107142857,,,,
266,29,3,0.103448276,,,,
267,33,7,0.212121212,,,,
268,13,1,0.076923077,,,,
269,19,1,0.052631579,,,,
270,13,5,0.384615385,,,,
271,10,0,0,,,,
272,11,2,0.181818182,,,,
273,16,0,0,,,,
274,29,2,0.068965517,,,,
275,14,1,0.071428571,,,,
276,22,4,0.181818182,,,,
277,20,2,0.1,,,,
278,17,2,0.117647059,,,,
279,13,0,0,,,,
280,20,3,0.15,,,,
281,25,1,0.04,,,,
282,16,2,0.125,,,,
283,17,1,0.058823529,,,,
284,17,4,0.235294118,,,,
285,19,2,0.105263158,,,,
286,23,2,0.086956522,,,,
287,22,5,0.227272727,,,,
288,6,0,0,,,,
289,25,1,0.04,,,,
290,29,1,0.034482759,,,,
291,16,2,0.125,,,,
292,25,1,0.04,,,,
293,20,2,0.1,,,,
294,26,2,0.076923077,,,,
295,29,4,0.137931034,,,,
296,21,3,0.142857143,,,,
297,18,1,0.055555556,,,,
298,20,6,0.3,,,,
299,22,1,0.045454545,,,,
300,33,10,0.303030303,,,,
301,36,5,0.138888889,,,,
302,28,3,0.107142857,,,,
303,25,0,0,,,,
304,19,0,0,,,,
305,27,3,0.111111111,,,,
307,11,2,0.181818182,,,,
308,28,5,0.178571429,,,,
309,28,5,0.178571429,,,,
310,22,3,0.136363636,,,,
311,10,0,0,,,,
312,14,0,0,,,,
313,12,1,0.083333333,,,,
314,18,2,0.111111111,,,,
315,20,0,0,,,,
316,10,1,0.1,,,,
317,17,2,0.117647059,,,,
318,15,0,0,,,,
319,10,0,0,,,,
320,16,2,0.125,,,,
321,16,2,0.125,,,,
322,21,2,0.095238095,,,,
323,19,3,0.157894737,,,,
324,18,4,0.222222222,,,,
325,17,2,0.117647059,,,,
326,12,1,0.083333333,,,,
327,21,0,0,,,,
328,12,1,0.083333333,,,,
329,18,1,0.055555556,,,,
330,21,5,0.238095238,,,,
331,24,2,0.083333333,,,,
332,16,0,0,,,,
333,22,2,0.090909091,,,,
334,11,1,0.090909091,,,,
335,25,5,0.2,,,,
336,18,8,0.444444444,,,,
337,15,3,0.2,,,,
338,7,1,0.142857143,,,,
339,20,4,0.2,,,,
340,19,3,0.157894737,,,,
341,17,0,0,,,,
342,15,1,0.066666667,,,,
343,9,1,0.111111111,,,,
344,22,3,0.136363636,,,,
345,22,3,0.136363636,,,,
346,20,1,0.05,,,,
347,17,4,0.235294118,,,,
348,29,1,0.034482759,,,,
349,19,2,0.105263158,,,,
350,18,5,0.277777778,,,,
351,20,2,0.1,,,,
352,14,1,0.071428571,,,,
353,20,3,0.15,,,,
354,23,4,0.173913043,,,,
355,24,3,0.125,,,,
356,30,0,0,,,,
357,17,1,0.058823529,,,,
358,19,4,0.210526316,,,,
359,11,0,0,,,,
360,15,0,0,,,,
361,21,0,0,,,,
362,28,1,0.035714286,,,,
363,19,3,0.157894737,,,,
364,12,1,0.083333333,,,,
365,19,2,0.105263158,,,,
366,29,1,0.034482759,,,,
367,25,0,0,,,,
368,18,4,0.222222222,,,,
369,7,0,0,,,,
370,6,1,0.166666667,,,,
371,7,1,0.142857143,,,,
372,18,1,0.055555556,,,,
373,19,1,0.052631579,,,,
374,15,3,0.2,,,,
375,19,3,0.157894737,,,,
376,21,2,0.095238095,,,,
377,15,0,0,,,,
378,21,1,0.047619048,,,,
379,21,1,0.047619048,,,,
380,10,1,0.1,,,,
381,14,0,0,,,,
382,16,3,0.1875,,,,
383,24,2,0.083333333,,,,
384,22,3,0.136363636,,,,
385,15,1,0.066666667,,,,
386,9,1,0.111111111,,,,
387,12,1,0.083333333,,,,
388,14,3,0.214285714,,,,
389,31,7,0.225806452,,,,
390,13,1,0.076923077,,,,
391,13,0,0,,,,
392,16,1,0.0625,,,,
393,20,0,0,,,,
394,18,1,0.055555556,,,,
395,12,0,0,,,,
396,11,0,0,,,,
397,9,0,0,,,,
398,17,0,0,,,,
399,16,1,0.0625,,,,
400,19,0,0,,,,
401,12,0,0,,,,
402,10,1,0.1,,,,
403,12,0,0,,,,
404,15,0,0,,,,
405,13,0,0,,,,
406,19,2,0.105263158,,,,
407,13,0,0,,,,
408,15,2,0.133333333,,,,
409,18,1,0.055555556,,,,
410,18,4,0.222222222,,,,
411,20,0,0,,,,
412,18,0,0,,,,
413,13,2,0.153846154,,,,
414,18,0,0,,,,
415,18,1,0.055555556,,,,
416,20,2,0.1,,,,
417,15,0,0,,,,
418,16,0,0,,,,
419,13,0,0,,,,
420,12,0,0,,,,
421,22,1,0.045454545,,,,
422,17,1,0.058823529,,,,
423,25,2,0.08,,,,
424,19,0,0,,,,
425,15,0,0,,,,
426,14,1,0.071428571,,,,
427,16,1,0.0625,,,,
428,17,0,0,,,,
429,19,1,0.052631579,,,,
430,10,0,0,,,,
431,9,0,0,,,,
432,22,0,0,,,,
433,13,0,0,,,,
434,18,0,0,,,,
435,18,0,0,,,,
436,12,1,0.083333333,,,,
437,11,0,0,,,,
438,17,1,0.058823529,,,,
439,15,0,0,,,,
440,10,0,0,,,,
441,19,0,0,,,,
442,18,0,0,,,,
443,12,3,0.25,,,,
444,10,0,0,,,,
445,25,0,0,,,,
446,22,1,0.045454545,,,,
447,16,2,0.125,,,,
448,11,1,0.090909091,,,,
449,16,0,0,,,,
450,16,0,0,,,,
451,9,1,0.111111111,,,,
452,9,0,0,,,,
453,14,0,0,,,,
454,15,2,0.133333333,,,,
455,14,0,0,,,,
456,19,2,0.105263158,,,,
457,18,0,0,,,,
458,14,0,0,,,,
459,18,0,0,,,,
460,15,0,0,,,,
461,23,0,0,,,,
462,19,0,0,,,,
463,21,1,0.047619048,,,,
464,18,0,0,,,,
465,25,0,0,,,,
466,17,0,0,,,,
467,17,0,0,,,,
468,19,0,0,,,,
469,22,0,0,,,,
470,18,3,0.166666667,,,,
471,16,1,0.0625,,,,
472,15,2,0.133333333,,,,
473,13,0,0,,,,
474,14,1,0.071428571,,,,
475,17,1,0.058823529,,,,
476,15,1,0.066666667,,,,
477,23,0,0,,,,
478,18,1,0.055555556,,,,
479,21,0,0,,,,
480,11,0,0,,,,
481,17,1,0.058823529,,,,
482,17,0,0,,,,
483,13,2,0.153846154,,,,
484,14,1,0.071428571,,,,
485,14,0,0,,,,
486,15,0,0,,,,
487,19,0,0,,,,
488,20,1,0.05,,,,
489,9,1,0.111111111,,,,
490,18,0,0,,,,
491,11,0,0,,,,
492,18,0,0,,,,
493,13,0,0,,,,
494,14,0,0,,,,
495,16,0,0,,,,
496,27,1,0.037037037,,,,
497,22,2,0.090909091,,,,
498,15,1,0.066666667,,,,
499,6,0,0,,,,
500,17,0,0,,,,
501,14,2,0.142857143,,,,
502,21,0,0,,,,
503,20,2,0.1,,,,
504,29,2,0.068965517,,,,
505,18,1,0.055555556,,,,
506,26,3,0.115384615,,,,
507,26,0,0,,,,
508,16,0,0,,,,
509,25,1,0.04,,,,
510,17,1,0.058823529,,,,
511,24,0,0,,,,
512,20,1,0.05,,,,
513,30,2,0.066666667,,,,
514,23,1,0.043478261,,,,
515,19,0,0,,,,
516,24,3,0.125,,,,
517,17,2,0.117647059,,,,
518,21,1,0.047619048,,,,
519,28,1,0.035714286,,,,
520,23,0,0,,,,
521,16,0,0,,,,
522,26,1,0.038461538,,,,
523,15,0,0,,,,
524,32,2,0.0625,,,,
525,20,0,0,,,,
526,18,0,0,,,,
527,8,0,0,,,,
528,15,0,0,,,,
529,27,0,0,,,,
530,21,2,0.095238095,,,,
531,25,0,0,,,,
532,8,1,0.125,,,,
533,13,0,0,,,,
534,14,0,0,,,,
535,17,0,0,,,,
536,15,0,0,,,,
537,22,0,0,,,,
538,11,0,0,,,,
539,26,0,0,,,,
540,15,0,0,,,,
541,15,0,0,,,,
542,13,0,0,,,,
543,20,1,0.05,,,,
544,20,0,0,,,,
545,16,0,0,,,,
546,13,0,0,,,,
547,31,0,0,,,,
548,21,1,0.047619048,,,,
549,19,1,0.052631579,,,,
550,17,0,0,,,,
551,17,0,0,,,,
552,16,2,0.125,,,,
553,14,1,0.071428571,,,,
554,14,0,0,,,,
555,21,0,0,,,,
556,17,0,0,,,,
557,25,1,0.04,,,,
558,10,0,0,,,,
559,24,0,0,,,,
560,16,0,0,,,,
561,31,0,0,,,,
562,14,0,0,,,,
563,24,1,0.041666667,,,,
564,27,1,0.037037037,,,,
565,22,1,0.045454545,,,,
566,30,1,0.033333333,,,,
567,22,0,0,,,,
568,22,0,0,,,,
569,21,0,0,,,,
570,22,0,0,,,,
571,17,0,0,,,,
572,18,0,0,,,,
573,22,0,0,,,,
574,13,1,0.076923077,,,,
575,16,1,0.0625,,,,
576,18,0,0,,,,
577,13,0,0,,,,
578,12,0,0,,,,
579,23,0,0,,,,
580,21,0,0,,,,
581,18,1,0.055555556,,,,
582,28,1,0.035714286,,,,
583,17,2,0.117647059,,,,
584,15,2,0.133333333,,,,
585,13,0,0,,,,
586,22,0,0,,,,
587,19,1,0.052631579,,,,
588,10,0,0,,,,
589,30,0,0,,,,
590,24,0,0,,,,
591,22,1,0.045454545,,,,
592,19,0,0,,,,
593,16,0,0,,,,
594,18,1,0.055555556,,,,
595,8,0,0,,,,
596,19,0,0,,,,
597,22,0,0,,,,
598,19,2,0.105263158,,,,
599,15,0,0,,,,
600,15,1,0.066666667,,,,
601,16,0,0,,,,
602,15,0,0,,,,
603,26,4,0.153846154,,,,
604,19,1,0.052631579,,,,
605,16,1,0.0625,,,,
606,18,0,0,,,,
607,15,0,0,,,,
608,19,1,0.052631579,,,,
609,21,1,0.047619048,,,,
610,20,0,0,,,,
611,22,0,0,,,,
612,16,0,0,,,,
613,21,0,0,,,,
614,18,0,0,,,,
615,10,0,0,,,,
616,22,0,0,,,,
617,18,1,0.055555556,,,,
618,19,1,0.052631579,,,,
619,15,0,0,,,,
620,13,1,0.076923077,,,,
621,21,1,0.047619048,,,,
622,14,0,0,,,,
623,14,0,0,,,,
624,11,1,0.090909091,,,,
625,14,0,0,,,,
626,12,1,0.083333333,,,,
627,13,2,0.153846154,,,,
628,10,0,0,,,,
629,17,0,0,,,,
630,16,0,0,,,,
631,8,0,0,,,,
632,11,0,0,,,,
633,13,2,0.153846154,,,,
634,12,0,0,,,,
635,17,0,0,,,,
636,14,0,0,,,,
637,18,0,0,,,,
638,8,0,0,,,,
639,14,0,0,,,,
640,11,1,0.090909091,,,,
641,20,0,0,,,,
642,15,0,0,,,,
643,22,0,0,,,,
644,16,0,0,,,,
645,12,1,0.083333333,,,,
646,11,0,0,,,,
647,22,0,0,,,,
648,13,0,0,,,,
649,22,0,0,,,,
650,14,0,0,,,,
651,14,0,0,,,,
652,19,1,0.052631579,,,,
653,8,0,0,,,,
654,11,1,0.090909091,,,,
655,15,0,0,,,,
656,17,0,0,,,,
657,15,1,0.066666667,,,,
658,19,0,0,,,,
659,12,0,0,,,,
660,9,1,0.111111111,,,,
661,21,0,0,,,,
662,12,0,0,,,,
663,21,0,0,,,,
664,12,0,0,,,,
665,17,1,0.058823529,,,,
666,12,0,0,,,,
667,15,0,0,,,,
668,15,0,0,,,,
669,16,0,0,,,,
670,14,2,0.142857143,,,,
671,16,0,0,,,,
672,21,1,0.047619048,,,,
673,17,0,0,,,,
674,12,0,0,,,,
675,18,0,0,,,,
676,15,2,0.133333333,,,,
677,20,1,0.05,,,,
678,14,1,0.071428571,,,,
679,16,0,0,,,,
680,14,0,0,,,,
681,11,1,0.090909091,,,,
682,24,0,0,,,,
683,17,0,0,,,,
684,17,0,0,,,,
685,20,0,0,,,,
686,13,0,0,,,,
687,17,0,0,,,,
688,17,0,0,,,,
689,24,1,0.041666667,,,,
690,19,1,0.052631579,,,,
691,14,1,0.071428571,,,,
692,27,1,0.037037037,,,,
693,17,1,0.058823529,,,,
694,20,1,0.05,,,,
695,22,0,0,,,,
696,23,0,0,,,,
697,17,1,0.058823529,,,,
698,22,2,0.090909091,,,,
699,14,0,0,,,,
700,17,1,0.058823529,,,,
701,15,0,0,,,,
702,18,0,0,,,,
703,9,0,0,,,,
704,12,0,0,,,,
705,16,1,0.0625,,,,
706,14,0,0,,,,
707,10,0,0,,,,
708,18,1,0.055555556,,,,
709,16,0,0,,,,
710,17,0,0,,,,
711,16,0,0,,,,
712,16,0,0,,,,
713,16,1,0.0625,,,,
714,12,0,0,,,,
715,16,1,0.0625,,,,
716,16,0,0,,,,
717,15,0,0,,,,
718,17,0,0,,,,
719,11,2,0.181818182,,,,
720,18,0,0,,,,
721,20,3,0.15,,,,
722,13,0,0,,,,
723,19,1,0.052631579,,,,
724,10,0,0,,,,
725,16,1,0.0625,,,,
726,29,0,0,,,,
727,12,0,0,,,,
728,13,0,0,,,,
729,12,0,0,,,,
730,14,0,0,,,,
731,16,1,0.0625,,,,
732,12,0,0,,,,
733,12,0,0,,,,
734,15,0,0,,,,
735,15,0,0,,,,
736,16,0,0,,,,
737,21,1,0.047619048,,,,
738,18,0,0,,,,
739,16,1,0.0625,,,,
740,22,0,0,,,,
741,18,0,0,,,,
742,18,0,0,,,,
743,14,0,0,,,,
744,14,0,0,,,,
745,17,0,0,,,,
746,8,1,0.125,,,,
747,21,1,0.047619048,,,,
748,16,0,0,,,,
749,14,0,0,,,,
750,19,0,0,,,,
751,16,1,0.0625,,,,
752,13,0,0,,,,
753,16,1,0.0625,,,,
754,9,0,0,,,,
755,12,0,0,,,,
756,15,0,0,,,,
757,21,0,0,,,,
758,16,0,0,,,,
759,24,1,0.041666667,,,,
760,17,0,0,,,,
761,17,0,0,,,,
762,11,0,0,,,,
763,13,0,0,,,,
764,11,0,0,,,,
765,14,0,0,,,,
766,12,2,0.166666667,,,,
767,27,0,0,,,,
768,12,0,0,,,,
769,13,1,0.076923077,,,,
770,25,1,0.04,,,,
771,10,0,0,,,,
772,8,0,0,,,,
773,13,0,0,,,,
774,15,0,0,,,,
775,21,2,0.095238095,,,,
776,18,0,0,,,,
777,17,0,0,,,,
778,19,0,0,,,,
779,18,1,0.055555556,,,,
780,23,6,0.260869565,,,,
781,18,3,0.166666667,,,,
782,26,2,0.076923077,,,,
783,22,1,0.045454545,,,,
784,27,3,0.111111111,,,,
785,21,2,0.095238095,,,,
786,15,1,0.066666667,,,,
787,17,0,0,,,,
788,13,3,0.230769231,,,,
789,21,2,0.095238095,,,,
790,12,0,0,,,,
791,21,1,0.047619048,,,,
792,19,3,0.157894737,,,,
793,22,0,0,,,,
794,22,0,0,,,,
795,19,1,0.052631579,,,,
796,6,0,0,,,,
797,13,0,0,,,,
798,18,0,0,,,,
799,24,1,0.041666667,,,,
800,15,0,0,,,,
801,20,2,0.1,,,,
802,19,1,0.052631579,,,,
803,4,0,0,,,,
804,22,2,0.090909091,,,,
805,25,0,0,,,,
806,17,1,0.058823529,,,,
807,21,2,0.095238095,,,,
808,15,1,0.066666667,,,,
809,15,0,0,,,,
810,12,0,0,,,,
811,26,1,0.038461538,,,,
812,17,1,0.058823529,,,,
813,15,2,0.133333333,,,,
814,29,5,0.172413793,,,,
815,29,1,0.034482759,,,,
816,29,4,0.137931034,,,,
817,18,1,0.055555556,,,,
818,28,1,0.035714286,,,,
819,23,2,0.086956522,,,,
820,18,3,0.166666667,,,,
821,20,1,0.05,,,,
822,22,2,0.090909091,,,,
823,20,2,0.1,,,,
824,20,4,0.2,,,,
825,18,2,0.111111111,,,,
826,15,2,0.133333333,,,,
827,20,3,0.15,,,,
828,17,3,0.176470588,,,,
829,20,2,0.1,,,,
830,17,1,0.058823529,,,,
831,25,0,0,,,,
832,23,4,0.173913043,,,,
833,25,2,0.08,,,,
834,22,5,0.227272727,,,,
835,19,2,0.105263158,,,,
836,26,1,0.038461538,,,,
837,24,0,0,,,,
838,27,0,0,,,,
839,14,0,0,,,,
840,24,2,0.083333333,,,,
841,19,0,0,,,,
842,25,0,0,,,,
843,25,3,0.12,,,,
844,19,1,0.052631579,,,,
845,32,1,0.03125,,,,
846,29,1,0.034482759,,,,
847,23,6,0.260869565,,,,
848,13,0,0,,,,
849,17,1,0.058823529,,,,
850,19,1,0.052631579,,,,
851,14,0,0,,,,
852,17,3,0.176470588,,,,
853,25,6,0.24,,,,
854,13,0,0,,,,
855,18,1,0.055555556,,,,
856,23,2,0.086956522,,,,
857,20,5,0.25,,,,
858,24,9,0.375,,,,
859,28,5,0.178571429,,,,
860,17,1,0.058823529,,,,
861,18,4,0.222222222,,,,
862,14,4,0.285714286,,,,
863,19,1,0.052631579,,,,
864,17,3,0.176470588,,,,
865,26,9,0.346153846,,,,
866,20,8,0.4,,,,
867,15,1,0.066666667,,,,
868,18,4,0.222222222,,,,
869,24,5,0.208333333,,,,
870,11,1,0.090909091,,,,
871,18,2,0.111111111,,,,
872,15,0,0,,,,
873,14,1,0.071428571,,,,
874,15,5,0.333333333,,,,
875,19,0,0,,,,
876,17,6,0.352941176,,,,
877,18,2,0.111111111,,,,
878,23,5,0.217391304,,,,
879,23,3,0.130434783,,,,
880,26,2,0.076923077,,,,
881,22,0,0,,,,
882,23,0,0,,,,
883,24,0,0,,,,
884,16,3,0.1875,,,,
885,14,1,0.071428571,,,,
886,5,1,0.2,,,,
887,19,1,0.052631579,,,,
888,26,1,0.038461538,,,,
889,27,0,0,,,,
890,12,1,0.083333333,,,,
891,17,2,0.117647059,,,,
892,23,5,0.217391304,,,,
893,22,1,0.045454545,,,,
894,18,2,0.111111111,,,,
895,13,0,0,,,,
896,16,1,0.0625,,,,
897,21,2,0.095238095,,,,
898,19,1,0.052631579,,,,
899,18,0,0,,,,
900,20,0,0,,,,
901,18,1,0.055555556,,,,
902,33,3,0.090909091,,,,
903,33,1,0.03030303,,,,
904,22,0,0,,,,
905,9,0,0,,,,
906,16,0,0,,,,
907,23,0,0,,,,
908,17,1,0.058823529,,,,
909,21,1,0.047619048,,,,
910,22,1,0.045454545,,,,
911,20,1,0.05,,,,
912,19,0,0,,,,
913,25,2,0.08,,,,
914,16,0,0,,,,
915,18,0,0,,,,
916,14,0,0,,,,
917,14,0,0,,,,
918,24,1,0.041666667,,,,
919,23,0,0,,,,
920,13,0,0,,,,
921,18,0,0,,,,
922,27,1,0.037037037,,,,
923,28,0,0,,,,
924,17,0,0,,,,
925,18,0,0,,,,
926,16,1,0.0625,,,,
927,22,1,0.045454545,,,,
928,18,1,0.055555556,,,,
929,22,0,0,,,,
930,14,0,0,,,,
931,19,1,0.052631579,,,,
932,30,0,0,,,,
933,25,0,0,,,,
934,18,1,0.055555556,,,,
935,22,0,0,,,,
936,16,0,0,,,,
937,28,0,0,,,,
938,21,2,0.095238095,,,,
939,20,0,0,,,,
940,32,0,0,,,,
941,27,0,0,,,,
942,20,1,0.05,,,,
943,19,1,0.052631579,,,,
944,22,1,0.045454545,,,,
945,23,1,0.043478261,,,,
946,11,1,0.090909091,,,,
947,11,2,0.181818182,,,,
948,19,0,0,,,,
949,8,1,0.125,,,,
950,14,1,0.071428571,,,,
951,23,0,0,,,,
952,15,0,0,,,,
953,12,0,0,,,,
954,18,1,0.055555556,,,,
955,17,1,0.058823529,,,,
956,17,0,0,,,,
957,19,0,0,,,,
958,20,1,0.05,,,,
959,20,2,0.1,,,,
960,14,0,0,,,,
961,23,0,0,,,,
962,14,0,0,,,,
963,25,0,0,,,,
964,26,1,0.038461538,,,,
