hv001,primaryage,NARPrimary,
920,9,8,0.888888889
921,18,17,0.944444444
922,22,21,0.954545455
923,14,12,0.857142857
924,8,5,0.625
925,9,7,0.777777778
926,6,5,0.833333333
927,26,21,0.807692308
928,2,1,0.5
929,29,24,0.827586207
930,2,2,1
931,23,22,0.956521739
932,26,21,0.807692308
933,9,8,0.888888889
934,7,7,1
935,13,12,0.923076923
936,21,19,0.904761905
937,23,22,0.956521739
938,13,11,0.846153846
939,11,9,0.818181818
940,27,24,0.888888889
941,25,22,0.88
942,19,11,0.578947368
943,17,13,0.764705882
944,23,19,0.826086957
945,34,28,0.823529412
946,4,3,0.75
947,7,6,0.857142857
948,16,12,0.75
949,4,3,0.75
950,14,14,1
951,24,18,0.75
952,17,15,0.882352941
953,6,6,1
954,7,7,1
955,8,7,0.875
956,11,9,0.818181818
957,14,12,0.857142857
958,17,16,0.941176471
959,16,16,1
960,22,20,0.909090909
961,33,31,0.939393939
962,17,16,0.941176471
963,12,11,0.916666667
964,25,22,0.88
965,20,18,0.9
966,19,18,0.947368421
967,19,16,0.842105263
968,16,16,1
969,26,16,0.615384615
970,37,32,0.864864865
971,35,32,0.914285714
972,16,14,0.875
973,15,11,0.733333333
974,23,16,0.695652174
975,28,26,0.928571429
976,21,17,0.80952381
977,30,27,0.9
978,34,31,0.911764706
979,26,19,0.730769231
980,10,9,0.9
981,14,12,0.857142857
982,28,27,0.964285714
983,30,24,0.8
984,31,26,0.838709677
985,32,27,0.84375
986,20,16,0.8
987,21,20,0.952380952
988,14,13,0.928571429
989,12,9,0.75
990,10,9,0.9
991,23,20,0.869565217
992,17,17,1
993,21,19,0.904761905
994,21,19,0.904761905
995,11,9,0.818181818
996,26,24,0.923076923
997,14,13,0.928571429
998,17,13,0.764705882
999,23,21,0.913043478
1000,9,6,0.666666667
1001,24,22,0.916666667
1002,24,21,0.875
1003,15,13,0.866666667
1004,19,17,0.894736842
1005,8,8,1
1006,3,3,1
1007,25,23,0.92
1008,20,20,1
1009,27,21,0.777777778
1010,28,22,0.785714286
1011,24,23,0.958333333
1012,19,17,0.894736842
1013,17,14,0.823529412
1014,30,25,0.833333333
1015,33,28,0.848484848
1016,11,10,0.909090909
1017,21,18,0.857142857
1018,33,27,0.818181818
1019,21,20,0.952380952
1020,16,13,0.8125
1021,11,10,0.909090909
1022,13,13,1
1023,10,8,0.8
1024,9,8,0.888888889
1025,14,12,0.857142857
1026,29,27,0.931034483
1027,20,18,0.9
1028,27,22,0.814814815
1029,32,29,0.90625
1030,17,12,0.705882353
1031,36,30,0.833333333
1032,26,23,0.884615385
1033,46,38,0.826086957
1034,41,35,0.853658537
1035,18,16,0.888888889
1036,21,18,0.857142857
1037,18,14,0.777777778
1038,8,7,0.875
1039,5,5,1
1040,13,11,0.846153846
1041,13,12,0.923076923
1042,29,24,0.827586207
1043,17,14,0.823529412
1044,14,12,0.857142857
1045,10,9,0.9
1046,14,12,0.857142857
1047,54,46,0.851851852
1048,50,40,0.8
1049,22,18,0.818181818
1050,30,25,0.833333333
1051,26,26,1
1052,42,40,0.952380952
1053,31,3,0.096774194
1054,50,12,0.24
1055,13,12,0.923076923
1056,10,8,0.8
1057,16,16,1
1058,26,24,0.923076923
1059,10,9,0.9
1060,19,17,0.894736842
1061,12,12,1
1062,28,26,0.928571429
1063,2,2,1
1064,4,3,0.75
1065,13,8,0.615384615
1066,12,7,0.583333333
1067,7,6,0.857142857
1068,0,0,.
1069,16,15,0.9375
1070,11,11,1
1071,39,25,0.641025641
1072,12,11,0.916666667
1073,25,21,0.84
1074,17,17,1
1075,12,12,1
1076,32,22,0.6875
1077,24,21,0.875
1078,16,15,0.9375
1079,12,12,1
1080,21,20,0.952380952
1081,13,12,0.923076923
1082,5,5,1
1083,19,19,1
1084,3,3,1
1085,18,15,0.833333333
1086,12,12,1
1087,1,1,1
1088,14,11,0.785714286
1089,22,18,0.818181818
1090,15,15,1
1091,20,15,0.75
1092,31,23,0.741935484
1093,32,27,0.84375
1094,21,18,0.857142857
1095,16,13,0.8125
1096,8,5,0.625
1097,22,20,0.909090909
1098,10,8,0.8
1099,27,22,0.814814815
1100,17,16,0.941176471
1101,12,11,0.916666667
1102,16,15,0.9375
1103,4,4,1
1104,16,16,1
1105,15,15,1
1106,13,11,0.846153846
1107,16,14,0.875
1108,13,11,0.846153846
1109,8,5,0.625
1110,17,15,0.882352941
1111,12,11,0.916666667
1112,26,23,0.884615385
1113,13,12,0.923076923
1114,16,16,1
1115,6,4,0.666666667
1116,5,5,1
1117,8,7,0.875
1118,1,1,1
1119,15,14,0.933333333
1120,12,11,0.916666667
1121,18,16,0.888888889
1122,34,29,0.852941176
1123,19,14,0.736842105
1124,10,9,0.9
1125,12,10,0.833333333
1126,15,12,0.8
1127,7,6,0.857142857
1128,24,19,0.791666667
1129,36,27,0.75
1130,37,28,0.756756757
1131,16,14,0.875
1132,16,13,0.8125
1133,31,22,0.709677419
1134,9,9,1
1135,6,5,0.833333333
1136,26,23,0.884615385
1137,4,4,1
1138,16,13,0.8125
1139,11,9,0.818181818
1140,8,6,0.75
1141,14,14,1
1142,39,27,0.692307692
1143,30,26,0.866666667
1144,24,19,0.791666667
1145,30,19,0.633333333
1146,48,16,0.333333333
1147,36,28,0.777777778
1148,11,10,0.909090909
1149,27,23,0.851851852
1150,33,28,0.848484848
1151,33,21,0.636363636
1152,34,24,0.705882353
1153,9,5,0.555555556
1154,33,28,0.848484848
1155,34,29,0.852941176
1156,41,37,0.902439024
1157,51,41,0.803921569
1158,15,12,0.8
1159,23,21,0.913043478
1160,34,32,0.941176471
1161,38,30,0.789473684
1162,16,12,0.75
1163,28,24,0.857142857
1164,29,17,0.586206897
1165,10,9,0.9
1166,7,6,0.857142857
1167,16,14,0.875
1168,8,8,1
1169,6,6,1
1170,7,5,0.714285714
1171,9,7,0.777777778
1172,10,9,0.9
1173,19,19,1
1174,6,6,1
1175,31,25,0.806451613
1176,14,11,0.785714286
1177,9,6,0.666666667
1178,18,15,0.833333333
1179,9,9,1
1180,11,10,0.909090909
1181,14,13,0.928571429
1182,10,9,0.9
1183,13,10,0.769230769
1184,9,5,0.555555556
1185,7,7,1
1186,12,11,0.916666667
1187,11,10,0.909090909
1188,12,10,0.833333333
1189,30,11,0.366666667
1190,23,21,0.913043478
1191,33,16,0.484848485
1192,41,24,0.585365854
1193,27,3,0.111111111
1194,38,24,0.631578947
1195,10,7,0.7
1196,9,8,0.888888889
1197,21,17,0.80952381
1198,18,10,0.555555556
1199,14,9,0.642857143
1200,13,12,0.923076923
1201,39,32,0.820512821
1202,19,17,0.894736842
1203,25,18,0.72
1204,23,22,0.956521739
1205,2,2,1
1206,31,28,0.903225806
1207,13,12,0.923076923
1208,21,19,0.904761905
1209,22,20,0.909090909
1210,18,13,0.722222222
1211,9,8,0.888888889
1212,22,20,0.909090909
1213,19,17,0.894736842
1214,23,21,0.913043478
1215,15,14,0.933333333
1216,22,17,0.772727273
1217,24,22,0.916666667
1218,18,16,0.888888889
1219,32,27,0.84375
1220,5,5,1
1221,13,9,0.692307692
1222,15,13,0.866666667
1223,15,13,0.866666667
1224,0,0,.
1225,17,17,1
1226,16,13,0.8125
1227,29,29,1
1228,31,29,0.935483871
1229,27,27,1
1230,17,16,0.941176471
1231,22,21,0.954545455
1232,27,22,0.814814815
1233,24,24,1
1234,22,21,0.954545455
1235,23,20,0.869565217
1236,9,8,0.888888889
1237,30,26,0.866666667
1238,23,23,1
1239,39,32,0.820512821
1240,28,26,0.928571429
1241,32,25,0.78125
1242,10,9,0.9
1243,16,14,0.875
1244,26,23,0.884615385
1245,18,14,0.777777778
1246,29,28,0.965517241
1247,33,31,0.939393939
1248,5,5,1
1249,17,15,0.882352941
1250,23,20,0.869565217
1251,19,18,0.947368421
1252,32,28,0.875
1253,10,9,0.9
