hv001,Relevantpop,improvedsanitation,
308,23,12,0.52173913
309,20,17,0.85
310,23,15,0.652173913
311,25,2,0.08
312,24,6,0.25
313,25,12,0.48
314,24,6,0.25
315,20,19,0.95
316,23,12,0.52173913
317,25,13,0.52
318,23,12,0.52173913
319,25,21,0.84
320,20,17,0.85
321,22,9,0.409090909
322,24,13,0.541666667
323,24,24,1
324,25,23,0.92
325,22,19,0.863636364
326,23,19,0.826086957
327,24,23,0.958333333
328,25,13,0.52
329,25,22,0.88
330,23,10,0.434782609
331,24,7,0.291666667
332,25,9,0.36
333,22,0,0
334,24,12,0.5
335,20,7,0.35
336,24,0,0
338,23,0,0
339,22,0,0
340,21,0,0
341,25,2,0.08
342,20,11,0.55
343,24,9,0.375
344,23,1,0.043478261
345,23,4,0.173913043
346,24,1,0.041666667
347,21,1,0.047619048
348,24,14,0.583333333
349,20,11,0.55
350,23,17,0.739130435
351,24,9,0.375
352,23,6,0.260869565
353,25,1,0.04
354,24,1,0.041666667
355,24,5,0.208333333
356,24,2,0.083333333
357,25,0,0
358,25,0,0
359,24,6,0.25
360,25,4,0.16
361,24,1,0.041666667
362,19,0,0
363,24,2,0.083333333
364,23,0,0
365,23,0,0
366,20,3,0.15
367,20,14,0.7
368,21,21,1
369,21,21,1
370,21,13,0.619047619
371,22,17,0.772727273
372,22,15,0.681818182
373,23,18,0.782608696
374,22,7,0.318181818
375,23,20,0.869565217
376,22,14,0.636363636
377,21,15,0.714285714
378,17,17,1
379,24,22,0.916666667
380,20,8,0.4
381,19,13,0.684210526
382,23,8,0.347826087
383,24,12,0.5
384,23,16,0.695652174
385,22,14,0.636363636
386,15,1,0.066666667
387,21,5,0.238095238
388,23,0,0
389,20,1,0.05
390,23,2,0.086956522
391,24,0,0
392,22,15,0.681818182
393,25,0,0
394,24,0,0
395,25,7,0.28
396,23,7,0.304347826
397,23,4,0.173913043
398,19,11,0.578947368
399,24,16,0.666666667
400,20,20,1
401,25,21,0.84
402,22,20,0.909090909
403,24,24,1
404,22,21,0.954545455
405,21,21,1
406,23,23,1
407,21,21,1
408,22,22,1
409,21,16,0.761904762
410,23,23,1
411,22,11,0.5
412,22,21,0.954545455
413,23,19,0.826086957
414,24,20,0.833333333
415,24,22,0.916666667
416,24,12,0.5
417,25,21,0.84
418,24,21,0.875
419,25,16,0.64
420,25,17,0.68
421,24,19,0.791666667
422,22,19,0.863636364
423,25,25,1
424,25,14,0.56
425,24,14,0.583333333
426,20,20,1
427,24,20,0.833333333
428,25,19,0.76
429,24,24,1
430,25,9,0.36
431,25,18,0.72
432,23,16,0.695652174
433,25,16,0.64
434,25,18,0.72
435,22,12,0.545454545
436,23,11,0.47826087
437,22,7,0.318181818
438,24,19,0.791666667
439,23,0,0
440,20,0,0
441,21,0,0
442,15,0,0
443,24,10,0.416666667
444,16,1,0.0625
445,23,0,0
446,23,1,0.043478261
447,22,0,0
448,24,13,0.541666667
449,22,1,0.045454545
450,24,0,0
451,23,0,0
452,17,0,0
453,22,0,0
454,21,18,0.857142857
455,22,15,0.681818182
456,22,17,0.772727273
457,21,13,0.619047619
458,23,14,0.608695652
459,20,1,0.05
460,25,2,0.08
461,21,13,0.619047619
462,22,0,0
463,21,19,0.904761905
464,24,22,0.916666667
465,23,8,0.347826087
466,25,25,1
467,23,23,1
468,22,21,0.954545455
469,24,16,0.666666667
470,23,11,0.47826087
471,25,9,0.36
472,23,0,0
473,24,4,0.166666667
474,23,17,0.739130435
475,24,19,0.791666667
476,24,23,0.958333333
477,25,0,0
478,24,9,0.375
479,25,0,0
480,23,1,0.043478261
481,24,20,0.833333333
482,24,10,0.416666667
483,23,16,0.695652174
484,22,18,0.818181818
485,24,1,0.041666667
486,24,18,0.75
487,20,5,0.25
489,22,20,0.909090909
490,23,21,0.913043478
491,24,19,0.791666667
492,24,14,0.583333333
493,25,20,0.8
494,22,19,0.863636364
495,24,10,0.416666667
496,25,16,0.64
497,22,12,0.545454545
498,24,11,0.458333333
499,22,12,0.545454545
500,24,3,0.125
501,23,6,0.260869565
502,22,17,0.772727273
503,23,17,0.739130435
504,23,11,0.47826087
505,23,23,1
506,23,22,0.956521739
507,21,19,0.904761905
508,23,17,0.739130435
509,22,11,0.5
510,24,24,1
511,22,22,1
512,21,11,0.523809524
513,23,7,0.304347826
514,25,5,0.2
515,24,10,0.416666667
516,25,11,0.44
517,25,5,0.2
518,25,3,0.12
519,23,11,0.47826087
520,22,20,0.909090909
521,22,3,0.136363636
522,22,2,0.090909091
523,24,4,0.166666667
524,24,2,0.083333333
525,20,1,0.05
526,25,15,0.6
527,20,11,0.55
528,22,6,0.272727273
529,20,8,0.4
530,24,7,0.291666667
531,21,13,0.619047619
532,20,15,0.75
533,24,20,0.833333333
534,20,11,0.55
535,23,0,0
536,19,10,0.526315789
537,24,10,0.416666667
538,25,5,0.2
539,24,9,0.375
540,24,14,0.583333333
541,23,9,0.391304348
542,25,12,0.48
543,23,5,0.217391304
544,25,8,0.32
545,25,17,0.68
546,23,5,0.217391304
547,21,11,0.523809524
548,23,15,0.652173913
549,24,11,0.458333333
550,23,20,0.869565217
551,24,12,0.5
552,24,14,0.583333333
553,24,12,0.5
554,23,18,0.782608696
555,20,13,0.65
556,25,5,0.2
557,23,2,0.086956522
558,24,3,0.125
559,22,6,0.272727273
560,23,3,0.130434783
561,24,3,0.125
562,25,5,0.2
563,24,6,0.25
564,25,25,1
565,25,25,1
566,23,22,0.956521739
567,24,22,0.916666667
568,25,23,0.92
569,23,17,0.739130435
570,23,17,0.739130435
571,24,12,0.5
572,24,10,0.416666667
573,24,14,0.583333333
574,24,8,0.333333333
575,25,18,0.72
576,24,15,0.625
577,23,5,0.217391304
578,25,6,0.24
579,24,9,0.375
580,24,7,0.291666667
581,25,22,0.88
582,24,12,0.5
583,25,6,0.24
584,24,6,0.25
585,25,10,0.4
586,25,11,0.44
587,24,5,0.208333333
588,25,7,0.28
589,25,5,0.2
590,25,12,0.48
591,25,8,0.32
592,25,4,0.16
593,25,2,0.08
594,25,2,0.08
595,24,1,0.041666667
596,20,8,0.4
597,24,7,0.291666667
598,25,15,0.6
599,22,22,1
600,21,8,0.380952381
601,24,13,0.541666667
602,25,18,0.72
603,24,8,0.333333333
604,24,21,0.875
605,24,13,0.541666667
606,25,4,0.16
607,24,14,0.583333333
608,25,9,0.36
609,24,10,0.416666667
610,25,4,0.16
611,23,8,0.347826087
612,23,7,0.304347826
613,24,21,0.875
614,23,12,0.52173913
615,25,1,0.04
616,24,5,0.208333333
617,24,4,0.166666667
618,25,24,0.96
619,22,22,1
620,25,13,0.52
621,25,3,0.12
622,24,20,0.833333333
623,25,19,0.76
624,25,17,0.68
625,25,11,0.44
626,24,12,0.5
627,24,0,0
628,25,2,0.08
629,24,11,0.458333333
630,18,18,1
631,24,24,1
632,23,17,0.739130435
633,24,22,0.916666667
634,23,23,1
635,24,20,0.833333333
636,24,16,0.666666667
637,23,17,0.739130435
638,25,19,0.76
639,24,19,0.791666667
640,20,12,0.6
641,18,18,1
642,24,13,0.541666667
643,25,14,0.56
644,25,8,0.32
645,23,11,0.47826087
646,24,19,0.791666667
647,23,12,0.52173913
648,24,16,0.666666667
649,23,14,0.608695652
650,24,13,0.541666667
651,23,12,0.52173913
652,24,11,0.458333333
653,25,11,0.44
654,24,9,0.375
655,23,11,0.47826087
656,22,10,0.454545455
657,24,7,0.291666667
658,25,13,0.52
659,24,13,0.541666667
660,22,17,0.772727273
661,25,19,0.76
662,25,15,0.6
663,20,17,0.85
664,25,16,0.64
665,24,14,0.583333333
666,25,8,0.32
667,23,13,0.565217391
668,24,10,0.416666667
669,24,15,0.625
670,23,17,0.739130435
671,21,11,0.523809524
672,24,18,0.75
673,24,9,0.375
674,25,10,0.4
675,23,13,0.565217391
676,25,11,0.44
677,25,12,0.48
678,24,12,0.5
679,25,10,0.4
680,24,9,0.375
681,25,11,0.44
682,25,16,0.64
683,23,20,0.869565217
684,21,9,0.428571429
685,23,11,0.47826087
686,22,5,0.227272727
687,23,14,0.608695652
688,24,14,0.583333333
689,23,6,0.260869565
690,25,4,0.16
691,24,10,0.416666667
692,22,8,0.363636364
693,25,15,0.6
694,25,21,0.84
695,24,20,0.833333333
696,24,10,0.416666667
697,25,15,0.6
698,21,17,0.80952381
699,22,10,0.454545455
700,21,20,0.952380952
701,20,19,0.95
702,24,20,0.833333333
703,21,17,0.80952381
704,23,16,0.695652174
705,23,21,0.913043478
706,21,15,0.714285714
707,20,20,1
708,24,17,0.708333333
709,20,5,0.25
710,24,10,0.416666667
712,12,0,0
713,15,0,0
714,17,0,0
715,20,1,0.05
716,19,0,0
717,20,7,0.35
718,22,10,0.454545455
719,22,20,0.909090909
720,21,7,0.333333333
721,21,15,0.714285714
722,22,5,0.227272727
724,22,3,0.136363636
726,16,4,0.25
727,22,0,0
728,21,0,0
729,23,8,0.347826087
730,16,13,0.8125
731,20,18,0.9
732,22,0,0
733,9,0,0
734,23,7,0.304347826
735,21,4,0.19047619
736,22,13,0.590909091
737,24,14,0.583333333
738,21,4,0.19047619
739,22,13,0.590909091
741,18,0,0
742,22,9,0.409090909
743,19,0,0
744,23,1,0.043478261
745,23,9,0.391304348
746,16,0,0
747,21,0,0
748,21,0,0
749,20,0,0
750,23,3,0.130434783
751,21,0,0
752,20,12,0.6
753,22,0,0
754,19,1,0.052631579
755,25,5,0.2
756,21,2,0.095238095
757,21,0,0
760,17,0,0
761,22,3,0.136363636
762,19,2,0.105263158
764,22,2,0.090909091
766,20,0,0
768,18,0,0
769,17,4,0.235294118
770,18,0,0
771,21,4,0.19047619
772,17,4,0.235294118
773,18,0,0
774,22,3,0.136363636
775,19,1,0.052631579
776,20,4,0.2
777,5,1,0.2
778,23,14,0.608695652
779,23,0,0
780,12,0,0
781,20,7,0.35
782,5,1,0.2
783,23,2,0.086956522
784,24,4,0.166666667
785,23,3,0.130434783
786,12,0,0
787,9,0,0
788,25,17,0.68
789,20,13,0.65
790,21,16,0.761904762
791,19,16,0.842105263
792,25,19,0.76
793,25,12,0.48
794,24,3,0.125
795,23,3,0.130434783
796,24,3,0.125
797,24,3,0.125
798,19,4,0.210526316
799,24,6,0.25
801,24,6,0.25
802,25,13,0.52
803,23,13,0.565217391
804,24,7,0.291666667
805,23,17,0.739130435
806,21,12,0.571428571
807,24,12,0.5
808,24,10,0.416666667
809,25,16,0.64
810,23,9,0.391304348
811,24,5,0.208333333
812,25,16,0.64
813,23,15,0.652173913
814,23,9,0.391304348
815,24,11,0.458333333
816,24,19,0.791666667
817,25,9,0.36
818,25,12,0.48
819,20,9,0.45
820,22,10,0.454545455
821,25,3,0.12
822,23,18,0.782608696
823,22,15,0.681818182
824,25,17,0.68
825,23,9,0.391304348
826,22,12,0.545454545
827,25,13,0.52
828,25,13,0.52
829,22,13,0.590909091
830,25,14,0.56
831,18,16,0.888888889
832,25,16,0.64
833,24,5,0.208333333
834,25,15,0.6
835,25,12,0.48
836,22,22,1
837,22,20,0.909090909
838,23,19,0.826086957
839,24,18,0.75
840,24,21,0.875
841,24,21,0.875
842,22,16,0.727272727
843,24,20,0.833333333
844,23,16,0.695652174
845,20,16,0.8
846,20,13,0.65
847,20,9,0.45
848,23,18,0.782608696
849,24,14,0.583333333
850,24,13,0.541666667
851,23,12,0.52173913
852,25,16,0.64
853,24,8,0.333333333
854,22,13,0.590909091
855,25,18,0.72
856,24,18,0.75
857,23,9,0.391304348
858,22,10,0.454545455
859,23,8,0.347826087
860,24,24,1
861,22,16,0.727272727
862,23,18,0.782608696
863,25,12,0.48
864,24,15,0.625
865,23,15,0.652173913
866,21,11,0.523809524
867,24,16,0.666666667
868,21,14,0.666666667
869,23,10,0.434782609
870,22,18,0.818181818
871,25,16,0.64
872,25,14,0.56
873,25,15,0.6
874,20,19,0.95
875,23,15,0.652173913
876,25,1,0.04
877,25,9,0.36
878,24,5,0.208333333
879,22,6,0.272727273
880,25,3,0.12
881,25,5,0.2
882,20,18,0.9
883,23,17,0.739130435
884,25,9,0.36
885,25,16,0.64
886,23,12,0.52173913
887,24,14,0.583333333
888,25,17,0.68
889,17,11,0.647058824
890,25,13,0.52
891,25,13,0.52
892,25,8,0.32
893,20,16,0.8
894,24,17,0.708333333
895,20,17,0.85
896,25,14,0.56
897,20,12,0.6
898,21,19,0.904761905
899,24,12,0.5
900,21,15,0.714285714
901,25,8,0.32
902,23,11,0.47826087
903,25,11,0.44
904,25,18,0.72
905,25,11,0.44
906,24,14,0.583333333
907,25,14,0.56
908,25,17,0.68
909,23,20,0.869565217
910,21,12,0.571428571
911,24,8,0.333333333
912,24,8,0.333333333
913,24,7,0.291666667
914,25,3,0.12
915,22,3,0.136363636
916,24,5,0.208333333
917,23,14,0.608695652
918,25,4,0.16
919,25,8,0.32
920,22,9,0.409090909
921,22,16,0.727272727
922,23,6,0.260869565
923,25,12,0.48
924,23,8,0.347826087
925,23,2,0.086956522
926,23,14,0.608695652
927,23,6,0.260869565
928,23,12,0.52173913
929,21,7,0.333333333
930,23,12,0.52173913
931,23,9,0.391304348
932,25,9,0.36
933,25,13,0.52
934,22,7,0.318181818
935,24,11,0.458333333
936,24,3,0.125
937,23,18,0.782608696
938,25,7,0.28
939,23,6,0.260869565
940,25,6,0.24
941,18,14,0.777777778
942,19,17,0.894736842
943,25,20,0.8
944,25,11,0.44
945,23,6,0.260869565
946,25,2,0.08
947,25,4,0.16
948,25,2,0.08
949,23,6,0.260869565
950,24,3,0.125
951,23,11,0.47826087
952,21,13,0.619047619
953,25,2,0.08
954,25,21,0.84
955,25,12,0.48
956,25,4,0.16
957,24,12,0.5
958,17,6,0.352941176
959,22,7,0.318181818
960,23,4,0.173913043
961,25,1,0.04
962,25,7,0.28
963,25,7,0.28
964,25,14,0.56
965,25,2,0.08
966,21,2,0.095238095
967,25,5,0.2
968,25,4,0.16
969,23,4,0.173913043
970,22,6,0.272727273
971,25,4,0.16
972,22,12,0.545454545
973,22,8,0.363636364
974,23,1,0.043478261
975,25,8,0.32
976,23,12,0.52173913
977,22,9,0.409090909
978,19,19,1
979,22,4,0.181818182
980,22,4,0.181818182
981,22,10,0.454545455
982,25,7,0.28
983,22,6,0.272727273
984,22,6,0.272727273
985,24,10,0.416666667
986,22,6,0.272727273
987,21,9,0.428571429
988,22,11,0.5
989,20,17,0.85
990,23,7,0.304347826
991,24,10,0.416666667
992,24,9,0.375
993,21,1,0.047619048
994,22,10,0.454545455
995,23,12,0.52173913
996,23,11,0.47826087
997,21,17,0.80952381
998,22,18,0.818181818
999,19,10,0.526315789
1000,25,9,0.36
1001,23,20,0.869565217
1002,24,10,0.416666667
1003,24,12,0.5
1004,19,6,0.315789474
1005,23,18,0.782608696
1006,22,16,0.727272727
1007,22,4,0.181818182
1008,23,7,0.304347826
1009,21,15,0.714285714
1010,23,19,0.826086957
1011,18,0,0
1012,22,10,0.454545455
1013,25,0,0
1014,24,0,0
1015,23,0,0
1016,17,0,0
1017,19,0,0
1018,24,0,0
1019,22,0,0
1020,24,0,0
1021,23,14,0.608695652
1022,22,2,0.090909091
1023,17,0,0
1024,22,2,0.090909091
1025,22,0,0
1026,11,0,0
1027,23,18,0.782608696
1028,24,0,0
1029,23,11,0.47826087
1030,24,1,0.041666667
1031,22,0,0
1032,24,4,0.166666667
1034,25,0,0
1035,24,0,0
1036,21,2,0.095238095
1037,24,1,0.041666667
1038,24,0,0
1039,24,2,0.083333333
1040,25,4,0.16
1041,23,4,0.173913043
1042,22,11,0.5
1043,22,19,0.863636364
1044,23,19,0.826086957
1045,20,20,1
1046,22,8,0.363636364
1047,19,18,0.947368421
1048,24,17,0.708333333
1049,23,19,0.826086957
1050,22,17,0.772727273
1051,23,0,0
1052,22,2,0.090909091
1053,22,0,0
1054,22,10,0.454545455
1055,25,4,0.16
1056,23,15,0.652173913
1058,20,2,0.1
1059,23,1,0.043478261
1060,22,0,0
1061,13,0,0
1062,25,15,0.6
1063,22,3,0.136363636
1064,24,12,0.5
1065,24,9,0.375
1067,22,6,0.272727273
1068,23,0,0
1069,19,9,0.473684211
1070,24,15,0.625
1071,21,1,0.047619048
1072,15,0,0
1073,20,7,0.35
1074,23,13,0.565217391
1075,20,9,0.45
1076,24,0,0
1077,22,14,0.636363636
1078,25,1,0.04
1079,20,8,0.4
1080,25,0,0
1081,23,0,0
1082,24,0,0
1083,25,2,0.08
1084,25,1,0.04
1085,23,1,0.043478261
1086,23,0,0
1087,22,4,0.181818182
1088,23,3,0.130434783
1089,25,23,0.92
1090,24,1,0.041666667
1091,20,0,0
1092,22,0,0
1093,17,0,0
1094,23,0,0
1095,20,0,0
1096,25,20,0.8
1097,20,0,0
1098,14,12,0.857142857
1099,23,0,0
1100,23,2,0.086956522
1101,21,1,0.047619048
1103,23,0,0
1104,24,7,0.291666667
1105,24,23,0.958333333
1106,23,14,0.608695652
1107,24,24,1
1108,23,19,0.826086957
1109,24,14,0.583333333
1110,23,11,0.47826087
1111,23,20,0.869565217
1112,23,22,0.956521739
1113,24,22,0.916666667
1114,25,21,0.84
1115,24,19,0.791666667
1116,25,14,0.56
1117,25,16,0.64
1118,24,11,0.458333333
1119,24,14,0.583333333
1120,24,22,0.916666667
1121,21,4,0.19047619
1122,24,6,0.25
1123,25,11,0.44
1124,23,7,0.304347826
1125,23,11,0.47826087
1126,23,7,0.304347826
1127,24,0,0
1128,22,12,0.545454545
1129,24,10,0.416666667
1130,23,13,0.565217391
1131,23,3,0.130434783
1132,23,3,0.130434783
1133,24,0,0
1134,25,10,0.4
1135,20,9,0.45
1136,24,1,0.041666667
1137,25,0,0
1138,24,4,0.166666667
1139,22,4,0.181818182
1140,12,9,0.75
1141,22,9,0.409090909
1142,21,21,1
1143,21,18,0.857142857
1144,21,20,0.952380952
1145,22,17,0.772727273
1146,24,3,0.125
1147,23,21,0.913043478
1148,24,22,0.916666667
1149,22,0,0
1150,25,19,0.76
1151,25,0,0
1152,11,0,0
1153,23,16,0.695652174
1154,23,15,0.652173913
1155,22,0,0
1156,16,0,0
1157,22,0,0
1158,21,16,0.761904762
1159,16,0,0
1160,18,0,0
1161,23,17,0.739130435
1162,24,23,0.958333333
1163,23,23,1
1164,23,23,1
1165,22,22,1
1166,24,21,0.875
1167,23,23,1
1168,23,16,0.695652174
1169,25,14,0.56
1170,25,7,0.28
1171,24,8,0.333333333
1172,25,12,0.48
1173,24,23,0.958333333
1174,25,6,0.24
1175,25,5,0.2
1176,24,9,0.375
1177,22,6,0.272727273
1178,23,21,0.913043478
1179,22,17,0.772727273
1180,22,15,0.681818182
1181,23,19,0.826086957
1182,25,17,0.68
1183,23,12,0.52173913
1184,22,9,0.409090909
1185,24,17,0.708333333
1186,23,3,0.130434783
1187,23,8,0.347826087
1188,24,24,1
1189,24,11,0.458333333
1190,21,2,0.095238095
1191,22,8,0.363636364
1192,24,3,0.125
1193,21,18,0.857142857
1194,24,12,0.5
1195,25,7,0.28
1196,22,9,0.409090909
1197,24,8,0.333333333
1198,25,6,0.24
1199,23,4,0.173913043
1200,23,14,0.608695652
1201,24,19,0.791666667
1202,23,11,0.47826087
1203,24,9,0.375
1204,24,17,0.708333333
1205,22,9,0.409090909
1206,24,7,0.291666667
1207,9,1,0.111111111
1208,24,8,0.333333333
1209,25,19,0.76
1210,25,12,0.48
1212,25,0,0
1213,25,8,0.32
1214,25,9,0.36
1215,24,7,0.291666667
1216,23,21,0.913043478
1217,25,12,0.48
1218,25,8,0.32
1219,12,0,0
1220,25,1,0.04
1221,25,11,0.44
1222,22,13,0.590909091
1223,23,8,0.347826087
1224,24,21,0.875
1225,25,20,0.8
1226,25,13,0.52
1227,22,13,0.590909091
1228,24,14,0.583333333
1229,25,8,0.32
1230,25,3,0.12
1231,22,4,0.181818182
1232,25,9,0.36
1233,23,11,0.47826087
1234,23,14,0.608695652
1235,24,6,0.25
1236,25,13,0.52
1237,25,13,0.52
1238,25,6,0.24
1239,24,9,0.375
1240,24,13,0.541666667
1241,21,5,0.238095238
1242,25,4,0.16
1243,24,12,0.5
1244,23,20,0.869565217
1245,22,19,0.863636364
1246,24,8,0.333333333
1247,22,14,0.636363636
1248,24,24,1
1249,22,18,0.818181818
1250,22,3,0.136363636
1251,23,7,0.304347826
1252,20,11,0.55
1253,23,8,0.347826087
1254,24,3,0.125
1255,24,5,0.208333333
1256,23,18,0.782608696
1257,24,24,1
1258,24,24,1
1259,23,10,0.434782609
1260,24,10,0.416666667
1261,24,8,0.333333333
1262,25,2,0.08
1263,24,4,0.166666667
1264,23,9,0.391304348
1265,25,7,0.28
1266,23,9,0.391304348
1267,25,8,0.32
1268,24,0,0
1269,25,5,0.2
1270,25,2,0.08
1272,22,2,0.090909091
1273,23,19,0.826086957
1274,23,7,0.304347826
1275,22,14,0.636363636
1276,25,0,0
1277,24,17,0.708333333
1278,25,3,0.12
1279,25,3,0.12
1280,23,1,0.043478261
1281,23,22,0.956521739
1282,25,25,1
1283,24,24,1
1284,24,18,0.75
1285,24,16,0.666666667
1286,21,6,0.285714286
1287,24,24,1
1288,25,25,1
1289,25,22,0.88
1290,25,11,0.44
1291,24,5,0.208333333
1292,24,0,0
1293,21,1,0.047619048
1294,24,1,0.041666667
1295,23,5,0.217391304
1296,25,2,0.08
1297,25,4,0.16
1298,23,4,0.173913043
1299,25,0,0
1300,24,0,0
1301,25,3,0.12
1302,24,0,0
1303,25,17,0.68
