hv001,Primaryage,NARPrimary,
1041,34,25,0.735294118
1042,18,13,0.722222222
1043,12,10,0.833333333
1044,41,38,0.926829268
1045,6,6,1
1046,32,31,0.96875
1047,8,8,1
1048,40,38,0.95
1049,33,29,0.878787879
1050,22,22,1
1051,35,8,0.228571429
1052,29,19,0.655172414
1053,35,6,0.171428571
1054,21,17,0.80952381
1055,49,38,0.775510204
1056,43,36,0.837209302
1058,27,18,0.666666667
1059,33,14,0.424242424
1060,32,13,0.40625
1061,14,8,0.571428571
1062,55,50,0.909090909
1063,37,36,0.972972973
1064,36,27,0.75
1065,43,36,0.837209302
1067,30,25,0.833333333
1068,26,18,0.692307692
1069,19,14,0.736842105
1070,41,39,0.951219512
1071,32,23,0.71875
1072,29,11,0.379310345
1073,18,14,0.777777778
1074,10,10,1
1075,10,10,1
1076,41,27,0.658536585
1077,26,23,0.884615385
1078,41,28,0.682926829
1079,23,16,0.695652174
1080,45,27,0.6
1081,30,10,0.333333333
1082,36,10,0.277777778
1083,40,28,0.7
1084,32,22,0.6875
1085,39,28,0.717948718
1086,41,32,0.780487805
1087,33,22,0.666666667
1088,18,18,1
1089,13,11,0.846153846
1090,34,23,0.676470588
1091,22,12,0.545454545
1092,24,11,0.458333333
1093,31,5,0.161290323
1094,34,13,0.382352941
1095,20,11,0.55
1096,10,9,0.9
1097,34,8,0.235294118
1098,0,0,.
1099,31,17,0.548387097
1100,29,22,0.75862069
1101,22,8,0.363636364
1103,42,18,0.428571429
1104,27,22,0.814814815
1105,20,20,1
1106,15,13,0.866666667
1107,5,4,0.8
1108,11,9,0.818181818
1109,24,23,0.958333333
1110,24,21,0.875
1111,15,14,0.933333333
1112,16,15,0.9375
1113,11,11,1
1114,22,22,1
1115,14,14,1
1116,18,17,0.944444444
1117,41,35,0.853658537
1118,40,36,0.9
1119,25,24,0.96
1120,24,23,0.958333333
1121,28,28,1
1122,39,35,0.897435897
1123,22,17,0.772727273
1124,28,22,0.785714286
1125,35,32,0.914285714
1126,21,16,0.761904762
1127,25,18,0.72
1128,35,32,0.914285714
1129,21,20,0.952380952
1130,26,22,0.846153846
1131,27,24,0.888888889
1132,33,28,0.848484848
1133,43,37,0.860465116
1134,35,28,0.8
1135,6,6,1
1136,47,43,0.914893617
1137,40,37,0.925
1138,33,28,0.848484848
1139,14,12,0.857142857
1140,15,14,0.933333333
1141,31,28,0.903225806
1142,25,25,1
1143,14,14,1
1144,19,19,1
1145,18,17,0.944444444
1146,33,33,1
1147,19,19,1
1148,11,11,1
1149,18,14,0.777777778
1150,28,26,0.928571429
1151,14,8,0.571428571
1152,14,14,1
1153,21,20,0.952380952
1154,22,22,1
1155,32,8,0.25
1156,11,0,0
1157,26,1,0.038461538
1158,14,13,0.928571429
1159,26,6,0.230769231
1160,24,3,0.125
1161,33,31,0.939393939
1162,18,16,0.888888889
1163,6,6,1
1164,19,18,0.947368421
1165,9,9,1
1166,22,20,0.909090909
1167,15,11,0.733333333
1168,22,20,0.909090909
1169,23,21,0.913043478
1170,37,33,0.891891892
1171,40,39,0.975
1172,30,28,0.933333333
1173,8,7,0.875
1174,32,28,0.875
1175,35,32,0.914285714
1176,38,34,0.894736842
1177,8,8,1
1178,10,9,0.9
1179,16,13,0.8125
1180,7,7,1
1181,11,11,1
1182,13,12,0.923076923
1183,27,24,0.888888889
1184,26,25,0.961538462
1185,24,23,0.958333333
1186,17,16,0.941176471
1187,28,25,0.892857143
1188,17,14,0.823529412
1189,13,12,0.923076923
1190,28,25,0.892857143
1191,27,26,0.962962963
1192,26,24,0.923076923
1193,5,5,1
1194,13,13,1
1195,30,29,0.966666667
1196,30,23,0.766666667
1197,26,23,0.884615385
1198,23,21,0.913043478
1199,19,15,0.789473684
1200,13,11,0.846153846
1201,7,6,0.857142857
1202,4,3,0.75
1203,16,14,0.875
1204,14,14,1
1205,4,3,0.75
1206,34,30,0.882352941
1207,5,5,1
1208,29,26,0.896551724
1209,11,11,1
1210,37,33,0.891891892
1212,26,24,0.923076923
1213,25,24,0.96
1214,20,17,0.85
1215,25,24,0.96
1216,5,4,0.8
1217,44,40,0.909090909
1218,25,20,0.8
1219,10,6,0.6
1220,20,18,0.9
1221,27,26,0.962962963
1222,12,10,0.833333333
1223,47,40,0.85106383
1224,14,13,0.928571429
1225,17,15,0.882352941
1226,27,27,1
1227,18,17,0.944444444
1228,24,23,0.958333333
1229,21,17,0.80952381
1230,23,20,0.869565217
1231,24,21,0.875
1232,29,29,1
1233,19,17,0.894736842
1234,28,25,0.892857143
1235,28,27,0.964285714
1236,16,14,0.875
1237,20,19,0.95
1238,36,30,0.833333333
1239,31,28,0.903225806
1240,21,18,0.857142857
1241,27,25,0.925925926
1242,33,29,0.878787879
1243,11,10,0.909090909
1244,12,12,1
1245,13,12,0.923076923
1246,30,26,0.866666667
1247,20,18,0.9
1248,8,7,0.875
1249,12,11,0.916666667
1250,29,25,0.862068966
1251,25,22,0.88
1252,20,18,0.9
1253,20,17,0.85
1254,30,27,0.9
1255,37,34,0.918918919
1256,16,14,0.875
1257,3,3,1
1258,27,20,0.740740741
1259,29,21,0.724137931
1260,18,16,0.888888889
1261,26,22,0.846153846
1262,24,18,0.75
1263,21,18,0.857142857
1264,21,20,0.952380952
1265,30,27,0.9
1266,32,27,0.84375
1267,46,43,0.934782609
1268,35,32,0.914285714
1269,40,39,0.975
1270,34,30,0.882352941
1272,31,14,0.451612903
1273,10,6,0.6
1274,19,17,0.894736842
1275,17,16,0.941176471
1276,25,24,0.96
1277,9,8,0.888888889
1278,21,17,0.80952381
1279,18,17,0.944444444
1280,18,9,0.5
1281,8,8,1
1282,14,13,0.928571429
1283,20,17,0.85
1284,11,9,0.818181818
1285,10,10,1
1286,23,22,0.956521739
1287,4,4,1
1288,4,4,1
1289,11,10,0.909090909
1290,14,14,1
1291,29,21,0.724137931
1292,48,35,0.729166667
1293,21,18,0.857142857
