hv001,nonflaggedchildren,severelywasted,
353,26,8,0.307692308
354,23,4,0.173913043
355,28,0,0
356,19,0,0
357,8,1,0.125
358,11,0,0
359,4,0,0
360,9,1,0.111111111
361,3,0,0
362,10,0,0
363,10,1,0.1
364,6,1,0.166666667
365,15,1,0.066666667
366,7,0,0
367,17,0,0
368,22,0,0
369,21,5,0.238095238
370,18,2,0.111111111
371,16,2,0.125
372,12,0,0
373,22,1,0.045454545
374,11,0,0
375,10,1,0.1
376,14,1,0.071428571
377,3,0,0
378,13,1,0.076923077
379,7,2,0.285714286
380,6,2,0.333333333
381,6,0,0
382,17,1,0.058823529
383,11,0,0
384,11,0,0
385,4,0,0
386,5,0,0
387,7,0,0
388,8,0,0
389,14,0,0
390,10,0,0
391,11,0,0
392,9,0,0
393,13,2,0.153846154
394,4,0,0
395,7,0,0
396,6,2,0.333333333
397,7,0,0
398,4,0,0
399,3,0,0
400,8,0,0
401,4,0,0
402,3,0,0
403,6,1,0.166666667
404,7,0,0
405,5,0,0
406,8,0,0
407,8,0,0
408,10,1,0.1
409,8,1,0.125
410,11,0,0
411,12,0,0
412,9,1,0.111111111
413,7,0,0
414,9,1,0.111111111
415,6,0,0
416,8,1,0.125
417,7,1,0.142857143
418,8,0,0
419,5,0,0
420,6,0,0
421,7,0,0
422,7,0,0
423,7,0,0
424,9,0,0
425,10,0,0
426,7,0,0
427,13,1,0.076923077
428,11,1,0.090909091
429,16,0,0
430,4,0,0
431,2,0,0
432,11,0,0
433,5,0,0
434,9,0,0
435,5,0,0
436,13,0,0
437,2,0,0
438,7,0,0
439,9,0,0
440,7,0,0
441,14,1,0.071428571
442,8,0,0
443,6,0,0
444,7,0,0
445,11,2,0.181818182
446,16,1,0.0625
447,7,0,0
448,5,0,0
449,11,0,0
450,8,0,0
451,3,0,0
452,5,0,0
453,3,0,0
454,5,0,0
455,12,0,0
456,5,0,0
457,3,0,0
458,9,1,0.111111111
459,8,1,0.125
460,4,1,0.25
461,6,0,0
462,13,0,0
463,5,1,0.2
464,5,1,0.2
465,5,1,0.2
466,8,0,0
467,4,0,0
468,4,0,0
469,5,1,0.2
470,5,0,0
471,11,1,0.090909091
472,9,0,0
473,7,0,0
474,8,0,0
475,10,1,0.1
476,13,0,0
477,16,1,0.0625
478,8,2,0.25
479,13,1,0.076923077
480,4,1,0.25
481,6,0,0
482,7,0,0
483,8,1,0.125
484,9,0,0
485,7,0,0
486,6,0,0
487,15,2,0.133333333
488,7,1,0.142857143
489,6,0,0
490,9,0,0
491,9,0,0
492,5,0,0
493,6,1,0.166666667
494,4,1,0.25
495,4,0,0
496,10,2,0.2
497,11,0,0
498,8,0,0
499,2,0,0
500,9,0,0
501,2,0,0
502,10,0,0
503,5,0,0
504,20,2,0.1
505,18,2,0.111111111
506,11,1,0.090909091
507,16,1,0.0625
508,5,0,0
509,8,0,0
510,11,0,0
511,13,0,0
512,10,0,0
513,16,1,0.0625
514,9,0,0
515,21,1,0.047619048
516,15,0,0
517,9,0,0
518,15,0,0
519,12,0,0
520,4,0,0
521,6,1,0.166666667
522,8,2,0.25
523,8,0,0
524,9,0,0
525,5,0,0
526,6,0,0
527,6,0,0
528,10,0,0
529,11,1,0.090909091
530,4,0,0
531,6,0,0
532,5,0,0
533,9,0,0
534,3,0,0
535,7,0,0
536,7,0,0
537,7,0,0
538,2,0,0
539,9,0,0
540,9,0,0
541,4,0,0
542,6,0,0
543,13,0,0
544,7,0,0
545,13,1,0.076923077
546,10,1,0.1
547,14,1,0.071428571
548,11,0,0
549,6,0,0
550,4,0,0
551,5,0,0
552,6,1,0.166666667
553,10,0,0
554,6,0,0
555,9,1,0.111111111
556,7,1,0.142857143
557,11,0,0
558,2,0,0
559,12,0,0
560,4,0,0
561,11,0,0
562,10,1,0.1
563,19,0,0
564,15,1,0.066666667
565,7,1,0.142857143
566,9,0,0
567,5,0,0
568,10,1,0.1
569,15,1,0.066666667
570,10,0,0
571,8,0,0
572,4,0,0
573,14,2,0.142857143
574,11,1,0.090909091
575,1,0,0
576,10,0,0
577,2,1,0.5
578,11,0,0
579,4,0,0
580,10,0,0
581,8,0,0
582,14,0,0
583,9,0,0
584,3,1,0.333333333
585,4,0,0
586,8,0,0
587,9,0,0
588,7,0,0
589,18,2,0.111111111
590,6,0,0
591,12,1,0.083333333
592,9,0,0
593,16,0,0
594,9,0,0
595,4,0,0
596,10,1,0.1
597,8,0,0
598,8,0,0
599,6,0,0
600,8,0,0
601,8,0,0
602,6,0,0
603,7,0,0
604,10,0,0
605,10,1,0.1
606,10,0,0
607,9,0,0
608,11,0,0
609,5,0,0
610,16,0,0
611,8,0,0
612,4,0,0
613,11,0,0
614,7,0,0
615,5,0,0
616,9,1,0.111111111
617,6,1,0.166666667
618,9,1,0.111111111
619,13,0,0
620,7,0,0
621,9,0,0
622,8,0,0
623,10,0,0
624,5,0,0
625,10,0,0
626,2,0,0
627,4,1,0.25
628,5,1,0.2
629,8,0,0
630,10,0,0
631,6,2,0.333333333
632,5,0,0
633,2,0,0
634,5,0,0
635,11,0,0
636,13,0,0
637,8,0,0
638,6,0,0
639,5,0,0
640,6,0,0
641,8,0,0
642,6,0,0
643,3,0,0
644,6,0,0
645,0,0,.
646,5,0,0
647,7,0,0
648,10,0,0
649,6,1,0.166666667
650,7,0,0
651,4,0,0
652,12,0,0
653,8,0,0
654,6,0,0
655,7,2,0.285714286
656,3,0,0
657,9,0,0
658,3,0,0
659,2,0,0
660,3,0,0
661,11,0,0
662,8,0,0
663,9,0,0
664,8,0,0
665,9,1,0.111111111
666,7,0,0
667,8,0,0
668,6,0,0
669,4,0,0
670,7,0,0
671,6,0,0
672,4,1,0.25
673,3,0,0
674,7,0,0
675,10,0,0
676,6,0,0
677,8,0,0
678,6,0,0
679,8,0,0
680,4,0,0
681,5,0,0
682,10,0,0
683,8,0,0
684,2,0,0
685,15,1,0.066666667
686,11,1,0.090909091
687,7,0,0
688,7,0,0
689,13,0,0
690,8,0,0
691,4,0,0
692,8,1,0.125
693,9,0,0
694,7,0,0
695,11,0,0
696,8,0,0
697,8,0,0
698,7,0,0
699,2,0,0
700,12,0,0
701,5,0,0
702,5,1,0.2
703,10,0,0
704,8,0,0
705,6,0,0
706,9,0,0
707,4,0,0
708,4,0,0
709,8,0,0
710,10,0,0
711,10,0,0
712,7,0,0
713,7,0,0
714,2,0,0
715,6,0,0
716,11,1,0.090909091
717,6,1,0.166666667
718,12,0,0
719,5,0,0
720,9,0,0
721,9,0,0
722,9,0,0
723,9,0,0
724,7,0,0
725,6,0,0
726,6,0,0
727,10,1,0.1
728,8,0,0
729,3,0,0
730,9,0,0
731,7,0,0
732,8,1,0.125
733,6,0,0
734,8,0,0
735,4,0,0
736,6,0,0
737,9,0,0
738,5,0,0
739,10,0,0
740,8,1,0.125
741,2,0,0
742,7,0,0
743,11,0,0
744,6,0,0
745,9,0,0
746,4,0,0
747,6,1,0.166666667
748,9,1,0.111111111
749,10,0,0
750,7,0,0
751,7,0,0
752,10,0,0
753,10,2,0.2
754,4,1,0.25
755,5,0,0
756,11,0,0
757,4,1,0.25
758,5,0,0
759,14,0,0
760,7,0,0
761,6,0,0
762,6,0,0
763,8,0,0
764,11,1,0.090909091
765,7,0,0
766,5,0,0
767,9,0,0
768,6,0,0
769,6,0,0
770,9,0,0
771,7,0,0
772,4,0,0
773,5,0,0
774,6,0,0
775,18,0,0
776,6,1,0.166666667
777,9,0,0
778,25,10,0.4
779,29,2,0.068965517
780,19,2,0.105263158
781,17,4,0.235294118
782,20,4,0.2
783,11,1,0.090909091
784,16,4,0.25
785,9,1,0.111111111
786,7,2,0.285714286
787,15,0,0
788,14,5,0.357142857
789,10,2,0.2
790,11,4,0.363636364
791,17,5,0.294117647
792,14,2,0.142857143
793,23,6,0.260869565
794,24,5,0.208333333
795,9,1,0.111111111
796,8,1,0.125
797,14,3,0.214285714
798,24,9,0.375
799,30,7,0.233333333
800,11,2,0.181818182
801,22,4,0.181818182
802,20,10,0.5
803,7,1,0.142857143
804,14,3,0.214285714
805,30,14,0.466666667
806,8,0,0
807,21,3,0.142857143
808,18,2,0.111111111
809,10,3,0.3
810,15,2,0.133333333
811,26,6,0.230769231
812,21,2,0.095238095
813,12,6,0.5
814,33,2,0.060606061
815,40,5,0.125
816,32,6,0.1875
817,26,6,0.230769231
818,33,8,0.242424242
819,33,9,0.272727273
820,31,2,0.064516129
821,15,0,0
822,29,0,0
823,29,2,0.068965517
824,28,4,0.142857143
825,18,0,0
826,28,4,0.142857143
827,31,1,0.032258065
828,30,4,0.133333333
829,23,3,0.130434783
830,16,0,0
831,28,5,0.178571429
832,25,1,0.04
833,29,1,0.034482759
834,24,6,0.25
835,17,1,0.058823529
836,17,0,0
837,21,2,0.095238095
838,12,0,0
839,4,0,0
840,14,0,0
841,25,0,0
842,8,1,0.125
843,13,1,0.076923077
844,17,5,0.294117647
845,12,1,0.083333333
846,28,3,0.107142857
847,27,5,0.185185185
848,3,0,0
849,9,1,0.111111111
850,11,0,0
851,14,0,0
852,14,2,0.142857143
853,26,6,0.230769231
854,11,1,0.090909091
855,13,0,0
856,10,1,0.1
857,22,6,0.272727273
858,23,5,0.217391304
859,19,2,0.105263158
860,8,0,0
861,28,3,0.107142857
862,20,2,0.1
863,7,0,0
864,19,5,0.263157895
865,21,5,0.238095238
866,14,3,0.214285714
867,12,3,0.25
868,17,2,0.117647059
869,30,5,0.166666667
870,14,0,0
871,14,2,0.142857143
872,3,0,0
873,11,0,0
874,17,4,0.235294118
875,21,5,0.238095238
876,22,5,0.227272727
877,24,6,0.25
878,30,2,0.066666667
879,34,6,0.176470588
880,10,1,0.1
881,15,1,0.066666667
882,15,0,0
883,6,0,0
884,5,1,0.2
885,9,0,0
886,6,1,0.166666667
887,12,2,0.166666667
888,12,0,0
889,9,0,0
890,15,1,0.066666667
891,9,0,0
892,15,1,0.066666667
893,14,0,0
894,14,1,0.071428571
895,7,0,0
896,11,0,0
897,13,1,0.076923077
898,5,0,0
899,12,0,0
900,9,0,0
901,11,1,0.090909091
902,21,0,0
903,18,1,0.055555556
904,12,0,0
905,6,0,0
906,10,0,0
907,10,0,0
908,9,0,0
909,18,1,0.055555556
910,8,0,0
911,8,0,0
912,8,0,0
913,10,0,0
914,8,0,0
915,13,0,0
916,8,0,0
917,2,0,0
918,5,0,0
919,11,0,0
920,7,0,0
921,13,0,0
922,6,0,0
923,15,1,0.066666667
924,6,0,0
925,11,0,0
926,6,0,0
927,9,0,0
928,5,1,0.2
929,10,1,0.1
930,4,0,0
931,13,1,0.076923077
932,19,2,0.105263158
933,7,0,0
934,6,0,0
935,10,0,0
936,12,0,0
937,17,1,0.058823529
938,10,0,0
939,6,0,0
940,19,1,0.052631579
941,21,0,0
942,13,0,0
943,11,2,0.181818182
944,18,3,0.166666667
945,23,0,0
946,5,0,0
947,8,0,0
948,14,0,0
949,6,0,0
950,9,0,0
951,11,0,0
952,10,2,0.2
953,10,0,0
954,7,1,0.142857143
955,13,0,0
956,7,1,0.142857143
957,11,1,0.090909091
958,8,0,0
959,10,0,0
960,13,0,0
961,15,2,0.133333333
962,9,0,0
963,15,1,0.066666667
964,16,1,0.0625
965,15,1,0.066666667
966,8,0,0
967,4,1,0.25
968,14,0,0
969,18,4,0.222222222
970,20,0,0
971,12,0,0
972,11,0,0
973,13,5,0.384615385
974,17,0,0
975,10,0,0
976,14,0,0
977,9,0,0
978,14,0,0
979,20,0,0
980,5,0,0
981,13,0,0
982,10,0,0
983,10,1,0.1
984,17,1,0.058823529
985,21,0,0
986,9,0,0
987,9,0,0
988,8,0,0
989,13,0,0
990,6,0,0
991,11,0,0
992,14,0,0
993,17,0,0
994,12,1,0.083333333
995,6,0,0
996,12,1,0.083333333
997,12,0,0
998,14,0,0
999,9,1,0.111111111
1000,10,1,0.1
1001,9,0,0
1002,11,1,0.090909091
1003,11,0,0
1004,4,0,0
1005,3,0,0
1006,2,0,0
1007,10,2,0.2
1008,9,0,0
1009,21,1,0.047619048
1010,15,0,0
1011,16,0,0
1012,9,0,0
1013,9,0,0
1014,11,2,0.181818182
1015,15,0,0
1016,5,0,0
1017,14,0,0
1018,14,1,0.071428571
1019,15,1,0.066666667
1020,14,2,0.142857143
1021,12,1,0.083333333
1022,11,0,0
1023,5,0,0
1024,2,0,0
1025,11,0,0
1026,9,1,0.111111111
1027,16,1,0.0625
1028,20,5,0.25
1029,16,1,0.0625
1030,10,0,0
1031,20,0,0
1032,8,0,0
1033,15,3,0.2
1034,11,5,0.454545455
1035,9,0,0
1036,9,0,0
1037,12,0,0
1038,9,0,0
1039,6,0,0
1040,8,0,0
1041,12,0,0
1042,13,1,0.076923077
1043,11,0,0
1044,14,0,0
1045,11,2,0.181818182
1046,5,0,0
1047,19,3,0.157894737
1048,30,6,0.2
1049,13,1,0.076923077
1050,12,0,0
1051,6,0,0
1052,21,3,0.142857143
1053,22,6,0.272727273
1054,32,14,0.4375
1055,9,0,0
1056,6,0,0
1057,7,1,0.142857143
1058,10,0,0
1059,9,0,0
1060,6,1,0.166666667
1061,5,0,0
1062,11,0,0
1063,6,0,0
1064,11,1,0.090909091
1065,4,0,0
1066,9,0,0
1067,9,0,0
1068,0,0,.
1069,7,1,0.142857143
1070,5,0,0
1071,21,2,0.095238095
1072,7,0,0
1073,8,0,0
1074,7,0,0
1075,11,0,0
1076,15,0,0
1077,7,1,0.142857143
1078,4,0,0
1079,8,0,0
1080,14,0,0
1081,7,0,0
1082,5,0,0
1083,8,0,0
1084,4,0,0
1085,8,0,0
1086,9,0,0
1087,6,0,0
1088,10,0,0
1089,15,1,0.066666667
1090,14,1,0.071428571
1091,11,0,0
1092,19,0,0
1093,12,1,0.083333333
1094,10,1,0.1
1095,5,1,0.2
1096,11,1,0.090909091
1097,16,0,0
1098,6,0,0
1099,13,0,0
1100,12,0,0
1101,7,0,0
1102,6,0,0
1103,6,0,0
1104,9,0,0
1105,14,1,0.071428571
1106,11,0,0
1107,10,0,0
1108,11,0,0
1109,10,0,0
1110,12,2,0.166666667
1111,13,0,0
1112,12,0,0
1113,15,1,0.066666667
1114,12,0,0
1115,9,0,0
1116,10,0,0
1117,8,0,0
1118,6,0,0
1119,7,0,0
1120,9,1,0.111111111
1121,8,0,0
1122,23,1,0.043478261
1123,14,1,0.071428571
1124,8,0,0
1125,8,0,0
1126,10,0,0
1127,6,0,0
1128,14,0,0
1129,22,0,0
1130,22,0,0
1131,5,0,0
1132,11,1,0.090909091
1133,19,0,0
1134,14,0,0
1135,10,0,0
1136,14,3,0.214285714
1137,5,0,0
1138,10,0,0
1139,7,0,0
1140,6,0,0
1141,6,0,0
1142,16,0,0
1143,21,0,0
1144,16,0,0
1145,16,1,0.0625
1146,17,0,0
1147,29,1,0.034482759
1148,6,0,0
1149,9,0,0
1150,12,0,0
1151,25,0,0
1152,17,0,0
1153,12,0,0
1154,30,2,0.066666667
1155,17,0,0
1156,19,0,0
1157,21,1,0.047619048
1158,12,0,0
1159,14,0,0
1160,24,1,0.041666667
1161,22,0,0
1162,12,1,0.083333333
1163,12,0,0
1164,23,1,0.043478261
1165,6,0,0
1166,4,0,0
1167,13,0,0
1168,4,0,0
1169,9,0,0
1170,7,0,0
1171,5,0,0
1172,5,0,0
1173,9,1,0.111111111
1174,8,0,0
1175,22,2,0.090909091
1176,6,0,0
1177,10,1,0.1
1178,11,1,0.090909091
1179,8,0,0
1180,9,0,0
1181,11,0,0
1182,10,1,0.1
1183,9,0,0
1184,5,0,0
1185,4,0,0
1186,9,1,0.111111111
1187,9,0,0
1188,13,0,0
1189,14,2,0.142857143
1190,16,3,0.1875
1191,27,3,0.111111111
1192,27,5,0.185185185
1193,27,7,0.259259259
1194,14,2,0.142857143
1195,9,2,0.222222222
1196,6,1,0.166666667
1197,10,0,0
1198,19,2,0.105263158
1199,10,1,0.1
1200,8,1,0.125
1201,13,2,0.153846154
1202,15,0,0
1203,11,0,0
1204,5,0,0
1205,5,0,0
1206,15,0,0
1207,4,0,0
1208,13,0,0
1209,12,0,0
1210,9,1,0.111111111
1211,10,0,0
1212,10,0,0
1213,17,0,0
1214,15,0,0
1215,5,0,0
1216,5,0,0
1217,14,0,0
1218,6,0,0
1219,17,1,0.058823529
1220,5,1,0.2
1221,10,0,0
1222,6,0,0
1223,9,0,0
1224,1,1,1
1225,7,0,0
1226,12,0,0
1227,15,2,0.133333333
1228,16,0,0
1229,9,0,0
1230,13,0,0
1231,16,0,0
1232,12,0,0
1233,15,0,0
1234,7,0,0
1235,10,0,0
1236,11,0,0
1237,20,0,0
1238,10,2,0.2
1239,12,1,0.083333333
1240,6,0,0
1241,23,0,0
1242,7,0,0
1243,7,0,0
1244,9,0,0
1245,8,1,0.125
1246,23,0,0
1247,11,1,0.090909091
1248,10,0,0
1249,11,1,0.090909091
1250,17,2,0.117647059
1251,10,0,0
1252,12,1,0.083333333
1253,7,0,0
1254,11,1,0.090909091
1255,11,0,0
1256,7,0,0
1257,14,0,0
1258,17,2,0.117647059
1259,10,0,0
1260,18,0,0
1261,16,1,0.0625
1262,12,1,0.083333333
1263,15,0,0
1264,5,0,0
1265,20,1,0.05
1266,12,0,0
1267,14,0,0
1268,10,0,0
1269,8,0,0
1270,4,0,0
1271,6,0,0
1272,11,0,0
1273,4,0,0
1274,10,1,0.1
1275,12,0,0
1276,7,0,0
1277,7,0,0
1278,15,0,0
1279,5,0,0
1280,7,0,0
1281,8,0,0
1282,13,0,0
1283,6,0,0
1284,8,0,0
1285,6,0,0
1286,12,0,0
1287,15,0,0
1288,13,0,0
1289,10,0,0
1290,10,1,0.1
1291,4,0,0
1292,13,0,0
1293,10,1,0.1
1294,10,0,0
1295,8,0,0
1296,19,0,0
1297,14,1,0.071428571
1298,9,0,0
1299,10,0,0
1300,11,0,0
1301,12,0,0
1302,15,0,0
1303,16,0,0
1304,17,0,0
1305,13,0,0
1306,7,0,0
1307,13,0,0
1308,10,0,0
1309,18,0,0
1310,10,1,0.1
1311,21,1,0.047619048
1312,7,0,0
1313,11,0,0
1314,7,0,0
1315,12,0,0
1316,5,0,0
1317,10,2,0.2
1318,10,0,0
1319,9,2,0.222222222
1320,10,1,0.1
1321,14,0,0
1322,7,0,0
1323,11,1,0.090909091
1324,5,0,0
1325,9,0,0
1326,16,0,0
1327,15,0,0
1328,15,0,0
1329,6,0,0
1330,7,0,0
1331,7,0,0
1332,11,0,0
1333,11,0,0
1334,6,0,0
1335,9,0,0
1336,15,0,0
1337,15,1,0.066666667
1338,9,0,0
1339,9,0,0
1340,11,0,0
1341,19,0,0
1342,9,0,0
1343,4,0,0
1344,7,0,0
1345,15,0,0
1346,17,0,0
1347,7,0,0
1348,10,0,0
1349,23,1,0.043478261
1350,17,0,0
1351,13,0,0
1352,9,0,0
1353,14,0,0
1354,10,0,0
1355,13,0,0
1356,8,0,0
1357,14,0,0
1358,12,0,0
1359,8,0,0
1360,14,1,0.071428571
1361,4,0,0
1362,11,0,0
1363,16,5,0.3125
1364,14,0,0
1365,15,0,0
1366,7,0,0
1367,8,0,0
1368,7,1,0.142857143
1369,18,0,0
1370,10,0,0
1371,17,0,0
1372,16,0,0
1373,14,1,0.071428571
1374,8,0,0
1375,16,0,0
1376,21,1,0.047619048
1377,24,3,0.125
1378,13,0,0
1379,14,0,0
1380,12,0,0
1381,17,0,0
1382,9,0,0
1383,12,0,0
1384,12,0,0
1385,13,0,0
1386,15,1,0.066666667
1387,23,1,0.043478261
1388,20,3,0.15
1389,6,0,0
1390,11,0,0
1391,13,0,0
1392,10,0,0
1393,17,0,0
1394,16,0,0
1395,12,0,0
1396,13,1,0.076923077
1397,11,0,0
1398,13,0,0
1399,22,0,0
1400,12,1,0.083333333
1401,12,0,0
1402,7,0,0
1403,12,0,0
1404,13,0,0
1405,9,0,0
1406,10,0,0
1407,10,2,0.2
1408,13,0,0
1409,19,1,0.052631579
1410,15,0,0
1411,15,0,0
1412,22,2,0.090909091
1413,17,0,0
1414,17,1,0.058823529
1415,18,0,0
1416,17,0,0
1417,12,0,0
1418,10,0,0
1419,8,0,0
1420,15,0,0
1421,17,0,0
1422,11,0,0
1423,11,0,0
1424,12,0,0
1425,12,0,0
1426,6,0,0
1427,12,0,0
1428,14,1,0.071428571
1429,14,0,0
1430,4,0,0
1431,25,0,0
1432,16,0,0
1433,9,0,0
1434,9,0,0
1435,10,0,0
1436,7,0,0
1437,11,0,0
1438,8,0,0
1439,9,0,0
1440,9,0,0
1441,10,0,0
1442,8,0,0
1443,11,0,0
1444,11,0,0
