Definition: ," Among women with a live birth or a stillbirth in the last 2 years, the percentage that had a urine sample taken.",,,,,,,
Denominator, Women who have had a live birth or a stillbirth in the 2 years preceding the survey who received antenatal care for their last birth (m80 = 1 or 3 & m2n = 0 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.951048488,,National weighted average,,95.9,,DHS report,96
106,1,1,1,,,,,
107,0,0,.,,,,,
109,4,3,0.75,,,,,
110,1,0,0,,,,,
111,7,7,1,,,,,
112,9,9,1,,,,,
113,8,8,1,,,,,
114,5,5,1,,,,,
115,7,7,1,,,,,
116,10,10,1,,,,,
117,5,5,1,,,,,
118,6,5,0.833333333,,,,,
119,6,6,1,,,,,
120,8,8,1,,,,,
121,7,7,1,,,,,
122,12,12,1,,,,,
123,8,8,1,,,,,
124,10,10,1,,,,,
125,5,5,1,,,,,
126,4,4,1,,,,,
127,11,11,1,,,,,
128,2,2,1,,,,,
129,8,7,0.875,,,,,
130,2,2,1,,,,,
131,8,8,1,,,,,
132,7,7,1,,,,,
133,7,7,1,,,,,
134,7,7,1,,,,,
135,9,8,0.888888889,,,,,
136,14,13,0.928571429,,,,,
137,9,9,1,,,,,
138,3,3,1,,,,,
139,9,9,1,,,,,
140,2,2,1,,,,,
141,6,6,1,,,,,
142,2,2,1,,,,,
143,12,12,1,,,,,
144,4,4,1,,,,,
145,3,3,1,,,,,
146,6,6,1,,,,,
147,10,10,1,,,,,
148,4,4,1,,,,,
149,9,9,1,,,,,
150,4,4,1,,,,,
151,9,9,1,,,,,
152,6,6,1,,,,,
153,3,3,1,,,,,
154,3,3,1,,,,,
155,3,3,1,,,,,
156,1,1,1,,,,,
157,2,2,1,,,,,
158,4,4,1,,,,,
159,1,1,1,,,,,
160,9,9,1,,,,,
161,5,5,1,,,,,
162,10,10,1,,,,,
163,4,4,1,,,,,
164,4,4,1,,,,,
165,11,11,1,,,,,
166,5,5,1,,,,,
167,5,5,1,,,,,
168,2,2,1,,,,,
169,6,6,1,,,,,
170,1,1,1,,,,,
171,9,9,1,,,,,
172,8,8,1,,,,,
173,7,6,0.857142857,,,,,
174,6,6,1,,,,,
175,11,10,0.909090909,,,,,
176,3,3,1,,,,,
177,3,3,1,,,,,
178,4,4,1,,,,,
179,3,3,1,,,,,
180,2,2,1,,,,,
181,6,6,1,,,,,
182,4,4,1,,,,,
183,5,5,1,,,,,
185,4,4,1,,,,,
186,4,4,1,,,,,
187,2,2,1,,,,,
188,1,1,1,,,,,
189,4,4,1,,,,,
190,1,1,1,,,,,
191,4,4,1,,,,,
192,1,1,1,,,,,
193,3,3,1,,,,,
194,5,5,1,,,,,
195,2,1,0.5,,,,,
196,9,8,0.888888889,,,,,
197,3,3,1,,,,,
198,7,7,1,,,,,
199,2,2,1,,,,,
200,3,3,1,,,,,
201,1,1,1,,,,,
202,1,1,1,,,,,
203,2,2,1,,,,,
204,3,3,1,,,,,
205,2,2,1,,,,,
206,3,3,1,,,,,
207,2,2,1,,,,,
208,1,1,1,,,,,
209,8,8,1,,,,,
210,3,1,0.333333333,,,,,
211,7,5,0.714285714,,,,,
212,5,5,1,,,,,
213,2,1,0.5,,,,,
214,9,7,0.777777778,,,,,
215,5,5,1,,,,,
216,5,5,1,,,,,
217,2,2,1,,,,,
218,5,5,1,,,,,
219,0,0,.,,,,,
220,7,7,1,,,,,
221,3,3,1,,,,,
222,3,3,1,,,,,
223,2,2,1,,,,,
224,8,8,1,,,,,
225,7,7,1,,,,,
226,4,4,1,,,,,
