DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,built_volume,distance_coastline,distance_conflict,distance_cultivated,distance_protected,distance_roads,distance_water,elevation,nighttime_lights,precipitation,slope,temperature,travel_time_health,travel_time_urban,traveltime_urban,water_dist
KE201400000001,KE,2014,1,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.282723,36.752958,9999,1801,WGS84,30014.881191758,414.7786384141813,2.8928727759182693,0.7807456513849655,328.1625893524892,0.01513650170527151,0.7449410713467458,1801.7953312714699,9.764753682765788,0.0020320937532962617,2.2549303914205643,284.7428297118991,0.394236426693864,0,0,0.7449410713467458
KE201400000002,KE,2014,2,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.278781,36.758441,9999,1801,WGS84,27980.75812155095,414.39048596501743,2.5324000326489315,0.7392220410494309,328.37786336365497,0.017253279174206843,0.6368606363778583,1795.2957152681092,9.934034105592486,0.0019749627459023935,2.311037206052823,284.90591017933593,0.44343300611133607,0,0,0.6368606363778583
KE201400000003,KE,2014,3,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.279646,36.745931,9999,1808,WGS84,27911.496804349823,415.6313893384036,3.0533460597876814,0.5471211335788042,328.74230195169315,0.017496684805634002,0.6261302024357398,1813.9924662055055,9.620802142178633,0.0021091579783290345,2.503870980649565,284.5228498723287,0.35192406498326845,0,0,0.6261302024357398
KE201400000004,KE,2014,4,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.28038,36.69709,9999,1894,WGS84,9442.994478440538,420.5990707280842,1.749888920549424,-0.1732243439905693,330.4934980605482,0.039488639384451435,0.5344468921691732,1881.8138971860515,2.376640532565383,0.0022201603278517723,3.0111920676523773,284.2059936523438,0.7879047983447234,0.13657174357699028,0.13657174357699028,0.5344468921691732
KE201400000005,KE,2014,5,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.272064,36.743127,9999,1816,WGS84,21882.080416984027,416.2494835999824,3.1325717296377364,0.25261460450641465,329.64102657374497,0.03126133610920213,0.460104461697916,1823.9552920694687,9.532214644545846,0.0021397923174120963,2.9821196311230675,284.43803597366826,0.33010100977725043,0,0,0.460104461697916
KE201400000006,KE,2014,6,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.263006,36.710592,9999,1920,WGS84,13031.143290378706,419.9709489913214,2.1175981631606087,-0.10146451167252163,331.7976255245526,0.04242677298815726,1.0018616895837074,1887.7080598714151,4.089978169977478,0.0022386156791456,3.694858878380901,284.19166335305727,0.797275582732159,0,0,1.0018616895837074
KE201400000007,KE,2014,7,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.341546,36.697188,9999,1887,WGS84,2201.602619820386,417.99951607809976,5.466198463733198,-0.0955816093600978,324.11182786120605,0.0777775613197735,0.3607034147339784,1866.4717156100742,1.3688291155582426,0.0021911821616543087,2.373856828412152,284.18818221266395,2.5911603588318375,3.217675263867186,3.217675263867186,0.3607034147339784
KE201400000008,KE,2014,8,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.312427,36.785408,9999,1702,WGS84,23964.84310221361,410.1677159373743,1.5767613146109747,0.6695722201817224,323.8686422370403,0.03341011336686543,0.371020976587614,1743.1130191056245,10.612893421759843,0.0019090831046924002,2.436932981318453,285.0939636230469,0.10571302630198161,0.03581106117465132,0.03581106117465132,0.371020976587614
KE201400000009,KE,2014,9,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.318072,36.784683,9999,1710,WGS84,19724.414318312254,409.99840794041995,1.8900893904443863,0.44503595640967913,323.3000829578106,0.041470518126280095,0.5101797214241237,1743.1144437434098,9.035534034006773,0.0019090831046923995,2.561671375098676,285.09396362304693,0.20178838607401645,0.13947338026089715,0.13947338026089715,0.5101797214241237
KE201400000010,KE,2014,10,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.315103,36.809522,9999,1700,WGS84,20742.86092449567,407.58298588299033,2.588499772128644,0.6718863376607098,322.73620822062657,0.029644028414668542,0.4595291101644491,1688.3927047918887,10.786887667152897,0.0019090831046923995,1.843355146712078,285.0939636230468,0.39960050886672926,0,0,0.4595291101644491
KE201400000011,KE,2014,11,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.313963,36.810032,9999,1661,WGS84,21831.861750461452,407.5803165057077,2.5270715939215074,0.7451644863735116,322.83879982297225,0.030037492741105277,0.4475020732954824,1688.884304084461,11.332267888597674,0.0019090831046923995,1.8390900043406802,285.09396362304693,0.3780849293942526,0,0,0.4475020732954824
KE201400000012,KE,2014,12,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.315849,36.793355,9999,1724,WGS84,20677.082139278493,409.2058488751941,1.8421473488666593,0.46364873688610475,323.2256740053149,0.03472848634078995,0.39989927885835735,1722.7778335204712,9.955996589726531,0.0019090831046923995,2.431024875794658,285.0939636230468,0.18090421952949867,0.0038949833522945038,0.0038949833522945038,0.39989927885835735
KE201400000013,KE,2014,13,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.262205,36.891566,9999,1603,WGS84,26638.293081145108,401.58347148533744,0.9894793756083355,1.8134460239459251,325.63044721076534,0.016007048274732056,0.3209539168273031,1603.0763083752342,13.239318836696288,0.0018476223233030652,1.1788445211359777,285.52405544276536,0.28775501826062966,0,0,0.3209539168273031
KE201400000014,KE,2014,14,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.255466,36.886767999999996,9999,1597,WGS84,27496.832566124547,402.3779304636741,0.9541465479672162,1.3892257136365371,326.5001962860441,0.022210062517009004,0.22410330859729843,1601.7400115545995,13.705350089272816,0.0018981977086353528,1.5291446314890504,285.5574879242918,0.15817367683712702,0,0,0.22410330859729843
KE201400000015,KE,2014,15,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.254804,36.910137,9999,1584,WGS84,28690.41134377395,400.04266277295136,1.4407920095179545,1.2713218340792816,325.8433226187447,0.011159067415159433,0.2693522828177167,1585.536761172508,10.042470093717728,0.0019036509343647965,1.8606162746229051,285.5610927468257,0.5633700042598254,0,0,0.2693522828177167
KE201400000016,KE,2014,16,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.245692,36.901232,9999,1590,WGS84,22216.008183348862,401.3638991960273,1.463290439775057,0.7943282604534638,327.09134111932826,0.036674300319756055,0.18142560931643695,1586.8712173049107,9.806965440740655,0.001979994360704755,2.369351069294673,285.6115592487859,0.6031538937770656,0,0,0.18142560931643695
KE201400000017,KE,2014,17,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.316275,36.918417,9999,1616,WGS84,11760.19654321264,396.41446171405323,5.171513119316574,1.466389322197176,319.02148107207216,0.08474006576957947,1.1172663422712072,1620.9343291497794,12.495589630274203,0.001815801486372948,0.5725229601476847,285.5030212402343,2.017072423098133,1.128472089737893,1.128472089737893,1.1172663422712072
KE201400000018,KE,2014,18,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.29152,36.936678,9999,1585,WGS84,2518.569793123155,395.6730519374601,3.6837973983065746,0.24984099554934389,321.10886222958527,0.22432644027262832,0.6579085558468127,1603.7950922120926,3.0326489918018775,0.0018215265423043002,0.8314317147917295,285.5170084500154,2.541452571169711,2.0014225748675445,2.0014225748675445,0.6579085558468127
KE201400000019,KE,2014,19,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.262669,36.901168,9999,1593,WGS84,27408.017812315906,400.58929775866574,0.9105538668269073,1.9063964800477542,325.2805999848132,0.012681639486023263,0.3753622105903011,1599.012219520822,11.720364111346614,0.001844641345322902,1.1439387233052662,285.52208489619136,0.390588634141041,0,0,0.3753622105903011
KE201400000020,KE,2014,20,KE,NULL,NULL,NULL,NULL,90,Nairobi,9,Nairobi,CEN,U,-1.276156,36.921201,9999,1587,WGS84,17353.07432994861,397.94257393608603,1.6659873351726926,1.297959907361927,323.22211216242147,0.13679281811980437,0.4376509679528823,1597.4608499783828,6.4470658786561215,0.0018158221958612577,1.4218842063311878,285.50303492754983,1.507440436858181,0.909719314154661,0.909719314154661,0.4376509679528823
